node_id,zone_id,x_coord,y_coord,original_node_id,activity_type,is_boundary
9500,,-112.04056,33.46129,95,motorway,0
21500,,-112.0376,33.45175,215,motorway,0
600,,-112.08555,33.4607,6,motorway,0
2600,,-112.08148,33.42959,26,motorway,1
2500,,-112.08146,33.42884,25,motorway,1
8100,,-112.06561,33.46187,81,motorway,0
1600,,-112.09887,33.42858,16,motorway,1
47600,,-112.09621,33.42895,476,motorway,0
47700,,-112.05054,33.46167,477,motorway,0
41700,,-112.03018,33.46216,417,motorway,0
20900,,-112.03679,33.45116,209,motorway,0
5100,,-112.03895,33.48349,51,motorway,1
49100,,-112.04128,33.48573,491,motorway,1
31000,,-112.04125,33.48566,310,motorway,0
6100,,-112.02854,33.42652,61,motorway,0
25600,,-112.02988,33.42691,256,motorway,0
25601,,-112.02991,33.42681,256,motorway,0
6101,,-112.02858,33.42644,61,motorway,0
44400,,-112.03807,33.4772,444,motorway,0
40000,,-112.06498,33.46326,400,motorway,0
7101,,-112.04234,33.46148,71,motorway,0
19200,,-112.03687,33.46254,192,motorway,0
39200,,-112.03841,33.46459,392,motorway,0
45800,,-112.03832,33.4652,458,motorway,0
39800,,-112.04778,33.46263,398,motorway,1
47800,,-112.0484,33.46262,478,motorway,0
40600,,-112.06528,33.46214,406,motorway,0
24000,,-112.06476,33.46253,240,motorway,0
9800,,-112.03036,33.46287,98,motorway,1
10000,,-112.03189,33.46143,100,motorway,0
37500,,-112.03038,33.46143,375,motorway,1
10500,,-112.03761,33.46517,105,motorway,0
50900,,-112.03791,33.46566,509,motorway,0
34400,,-112.03832,33.46578,344,motorway,1
50901,,-112.03827,33.4658,509,motorway,0
44800,,-112.03876,33.46807,448,motorway,0
33200,,-112.03871,33.46595,332,motorway,1
34900,,-112.0379,33.46586,349,motorway,1
50902,,-112.03791,33.46586,509,motorway,0
11400,,-112.03903,33.46572,114,motorway,1
11500,,-112.043,33.46196,115,motorway,0
23200,,-112.02959,33.46211,232,motorway,0
12500,,-112.03677,33.45501,125,motorway,0
6300,,-112.03712,33.44154,63,motorway,0
19300,,-112.03711,33.44337,193,motorway,0
20100,,-112.0382,33.44463,201,motorway,0
13600,,-112.03682,33.44126,136,motorway,1
39600,,-112.03661,33.44381,396,motorway,0
20400,,-112.03733,33.44707,204,motorway,0
43700,,-112.06855,33.46246,437,motorway,0
31200,,-112.06926,33.46236,312,motorway,1
14400,,-112.07801,33.46168,144,motorway,1
14500,,-112.07981,33.46143,145,motorway,0
14501,,-112.0798,33.46137,145,motorway,0
14401,,-112.07799,33.46162,144,motorway,1
14700,,-112.08168,33.46106,147,motorway,0
14900,,-112.07815,33.46194,149,motorway,0
15200,,-112.08216,33.46138,152,motorway,0
15500,,-112.08316,33.46061,155,motorway,0
16600,,-112.04214,33.42745,166,motorway,0
16000,,-112.03732,33.43684,160,motorway,1
36100,,-112.03829,33.43676,361,motorway,0
50500,,-112.03697,33.43659,505,motorway,1
900,,-112.04271,33.42722,9,motorway,0
100,,-112.03868,33.42707,1,motorway,0
101,,-112.03867,33.42716,1,motorway,0
901,,-112.04271,33.42731,9,motorway,0
902,,-112.04276,33.42724,9,motorway,0
16700,,-112.03719,33.4312,167,motorway,0
2100,,-112.04975,33.42779,21,motorway,1
17100,,-112.04903,33.4269,171,motorway,1
18000,,-112.06419,33.42938,180,motorway,1
2000,,-112.06613,33.42917,20,motorway,1
18100,,-112.06615,33.42834,181,motorway,1
1400,,-112.08319,33.429,14,motorway,1
18800,,-112.08333,33.42975,188,motorway,1
28000,,-112.10011,33.42896,280,motorway,0
19400,,-112.03699,33.44411,194,motorway,0
19500,,-112.03688,33.44467,195,motorway,0
32400,,-112.03668,33.44582,324,motorway,0
14001,,-112.03713,33.44475,140,motorway,0
20300,,-112.03712,33.44707,203,motorway,0
13400,,-112.0376,33.44476,134,motorway,0
19700,,-112.0376,33.44413,197,motorway,0
1201,,-112.03761,33.44302,12,motorway,0
3200,,-112.03758,33.44154,32,motorway,0
19901,,-112.03772,33.44411,199,motorway,0
45100,,-112.03817,33.44243,451,motorway,0
20001,,-112.03819,33.44383,200,motorway,0
48400,,-112.02841,33.42667,484,motorway,0
2800,,-112.03709,33.44772,28,motorway,0
14100,,-112.03732,33.44852,141,motorway,0
20501,,-112.03739,33.44706,205,motorway,0
20601,,-112.03758,33.44706,206,motorway,0
21100,,-112.03711,33.45117,211,motorway,0
21300,,-112.03732,33.45116,213,motorway,0
13800,,-112.03638,33.45154,138,motorway,0
21000,,-112.03673,33.45166,210,motorway,0
21200,,-112.0371,33.45176,212,motorway,0
6501,,-112.03704,33.4565,65,motorway,0
14200,,-112.0367,33.45498,142,motorway,0
12601,,-112.03738,33.44853,126,motorway,0
300,,-112.03764,33.45119,3,motorway,0
20701,,-112.03758,33.44857,207,motorway,0
