link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,original_link_id,original_node_id,main_node_id,movement_str,TMC
14,25601,6101,,,130.30932653039795,2,nan,104.0,motorway,1,,"LINESTRING (-112.02991 33.42681,-112.02955 33.42673,-112.02915 33.42662,-112.02858 33.42644)",14,,,,
15,4202,44400,,,370.38441315732786,1,nan,120.0,motorway,1,,"LINESTRING (-112.03845 33.47387,-112.03838 33.4743,-112.03837 33.47472,-112.03834 33.47514,-112.03828 33.47559,-112.03819 33.47615,-112.03811 33.47678,-112.03807 33.4772)",15,,,,
16,8602,40000,,,148.04182637273945,2,nan,120.0,motorway,1,,"LINESTRING (-112.06368 33.46269,-112.06386 33.46273,-112.06408 33.46278,-112.06429 33.46281,-112.06453 33.46286,-112.06465 33.46288,-112.06476 33.46292,-112.06483 33.46297,-112.06489 33.46302,-112.06491 33.46305,-112.06495 33.46311,-112.06497 33.46319,-112.06498 33.46326)",16,,,,
17,7202,7101,,,308.7674606319961,3,nan,104.0,motorway,1,,"LINESTRING (-112.04563 33.46181,-112.04418 33.46177,-112.0439 33.46175,-112.04374 33.46173,-112.04355 33.46171,-112.04234 33.46148)",17,,,,
18,4501,19200,,,289.5277060331882,1,nan,104.0,motorway,1,,"LINESTRING (-112.03381 33.46252,-112.0345 33.4626,-112.03533 33.46272,-112.03585 33.46276,-112.03615 33.46274,-112.0364 33.46269,-112.03662 33.46263,-112.03687 33.46254)",18,,,,
19,9202,39200,,,24.257505536788212,1,nan,72.0,motorway,1,,"LINESTRING (-112.03836 33.46481,-112.03841 33.46459)",19,,,,
20,3702,45800,,,38.39683134258949,2,nan,72.0,motorway,1,,"LINESTRING (-112.03822 33.46554,-112.03832 33.46522,-112.03832 33.4652)",20,,,,
21,39800,47800,,,57.84893588803024,2,nan,120.0,motorway,1,,"LINESTRING (-112.04778 33.46263,-112.0478 33.46263,-112.04792 33.46263,-112.0484 33.46262)",21,,,,
22,8100,40600,,,42.62299016436298,2,nan,120.0,motorway,1,,"LINESTRING (-112.06561 33.46187,-112.06553 33.46193,-112.06546 33.46198,-112.06537 33.46206,-112.06533 33.46209,-112.06528 33.46214)",22,,,,
23,8602,24000,,,104.67981376019112,2,nan,120.0,motorway,1,,"LINESTRING (-112.06368 33.46269,-112.06388 33.4627,-112.06397 33.4627,-112.06406 33.46271,-112.06416 33.46271,-112.06425 33.4627,-112.06434 33.46269,-112.06442 33.46267,-112.06453 33.46263,-112.06462 33.46259,-112.06469 33.46256,-112.06476 33.46253)",23,,,,
