link_id,from_node_id,to_node_id,time_period,duration_in_sec,state,state_name
4092,2375,2378,0600:00.000_0600:50.000,50,0,r
4092,2375,2378,0600:50.000_0601:11.000,21,1,g
4092,2375,2378,0601:11.000_0602:30.000,79,0,r
4092,2375,2378,0602:30.000_0602:51.000,21,1,g
4092,2375,2378,0602:51.000_0604:10.000,79,0,r
4092,2375,2378,0604:10.000_0604:31.000,21,1,g
4092,2375,2378,0604:31.000_0605:50.000,79,0,r
4092,2375,2378,0605:50.000_0606:11.000,21,1,g
4092,2375,2378,0606:11.000_0607:30.000,79,0,r
4092,2375,2378,0607:30.000_0607:51.000,21,1,g
4092,2375,2378,0607:51.000_0609:10.000,79,0,r
4092,2375,2378,0609:10.000_0609:31.000,21,1,g
4092,2375,2378,0609:31.000_0610:50.000,79,0,r
4092,2375,2378,0610:50.000_0611:11.000,21,1,g
4092,2375,2378,0611:11.000_0612:30.000,79,0,r
4092,2375,2378,0612:30.000_0612:51.000,21,1,g
4092,2375,2378,0612:51.000_0614:10.000,79,0,r
4092,2375,2378,0614:10.000_0614:31.000,21,1,g
4092,2375,2378,0614:31.000_0615:50.000,79,0,r
4092,2375,2378,0615:50.000_0616:11.000,21,1,g
4092,2375,2378,0616:11.000_0617:30.000,79,0,r
4092,2375,2378,0617:30.000_0617:51.000,21,1,g
4092,2375,2378,0617:51.000_0619:10.000,79,0,r
4092,2375,2378,0619:10.000_0619:31.000,21,1,g
4092,2375,2378,0619:31.000_0620:50.000,79,0,r
4092,2375,2378,0620:50.000_0621:11.000,21,1,g
4092,2375,2378,0621:11.000_0622:30.000,79,0,r
4092,2375,2378,0622:30.000_0622:51.000,21,1,g
4092,2375,2378,0622:51.000_0624:10.000,79,0,r
4092,2375,2378,0624:10.000_0624:31.000,21,1,g
4092,2375,2378,0624:31.000_0625:50.000,79,0,r
4092,2375,2378,0625:50.000_0626:11.000,21,1,g
4092,2375,2378,0626:11.000_0627:30.000,79,0,r
4092,2375,2378,0627:30.000_0627:51.000,21,1,g
4092,2375,2378,0627:51.000_0629:10.000,79,0,r
4092,2375,2378,0629:10.000_0629:31.000,21,1,g
4092,2375,2378,0629:31.000_0630:50.000,79,0,r
4092,2375,2378,0630:50.000_0631:11.000,21,1,g
4092,2375,2378,0631:11.000_0632:30.000,79,0,r
4092,2375,2378,0632:30.000_0632:51.000,21,1,g
4092,2375,2378,0632:51.000_0634:10.000,79,0,r
4092,2375,2378,0634:10.000_0634:31.000,21,1,g
4092,2375,2378,0634:31.000_0635:50.000,79,0,r
4092,2375,2378,0635:50.000_0636:11.000,21,1,g
4092,2375,2378,0636:11.000_0637:30.000,79,0,r
4092,2375,2378,0637:30.000_0637:51.000,21,1,g
4092,2375,2378,0637:51.000_0639:10.000,79,0,r
4092,2375,2378,0639:10.000_0639:31.000,21,1,g
4092,2375,2378,0639:31.000_0640:50.000,79,0,r
4092,2375,2378,0640:50.000_0641:11.000,21,1,g
4092,2375,2378,0641:11.000_0642:30.000,79,0,r
4092,2375,2378,0642:30.000_0642:51.000,21,1,g
4092,2375,2378,0642:51.000_0644:10.000,79,0,r
4092,2375,2378,0644:10.000_0644:31.000,21,1,g
4092,2375,2378,0644:31.000_0645:50.000,79,0,r
4092,2375,2378,0645:50.000_0646:11.000,21,1,g
4092,2375,2378,0646:11.000_0647:30.000,79,0,r
4092,2375,2378,0647:30.000_0647:51.000,21,1,g
4092,2375,2378,0647:51.000_0649:10.000,79,0,r
4092,2375,2378,0649:10.000_0649:31.000,21,1,g
4092,2375,2378,0649:31.000_0650:50.000,79,0,r
4092,2375,2378,0650:50.000_0651:11.000,21,1,g
4092,2375,2378,0651:11.000_0652:30.000,79,0,r
4092,2375,2378,0652:30.000_0652:51.000,21,1,g
4092,2375,2378,0652:51.000_0654:10.000,79,0,r
4092,2375,2378,0654:10.000_0654:31.000,21,1,g
4092,2375,2378,0654:31.000_0655:50.000,79,0,r
4092,2375,2378,0655:50.000_0656:11.000,21,1,g
4092,2375,2378,0656:11.000_0657:30.000,79,0,r
4092,2375,2378,0657:30.000_0657:51.000,21,1,g
4092,2375,2378,0657:51.000_0659:10.000,79,0,r
4092,2375,2378,0659:10.000_0659:31.000,21,1,g
4092,2375,2378,0659:31.000_0659:59.000,28,0,r
4106,2376,2379,0600:00.000_0600:50.000,50,0,r
4106,2376,2379,0600:50.000_0601:11.000,21,1,g
4106,2376,2379,0601:11.000_0602:30.000,79,0,r
4106,2376,2379,0602:30.000_0602:51.000,21,1,g
4106,2376,2379,0602:51.000_0604:10.000,79,0,r
4106,2376,2379,0604:10.000_0604:31.000,21,1,g
4106,2376,2379,0604:31.000_0605:50.000,79,0,r
4106,2376,2379,0605:50.000_0606:11.000,21,1,g
4106,2376,2379,0606:11.000_0607:30.000,79,0,r
4106,2376,2379,0607:30.000_0607:51.000,21,1,g
4106,2376,2379,0607:51.000_0609:10.000,79,0,r
4106,2376,2379,0609:10.000_0609:31.000,21,1,g
4106,2376,2379,0609:31.000_0610:50.000,79,0,r
4106,2376,2379,0610:50.000_0611:11.000,21,1,g
4106,2376,2379,0611:11.000_0612:30.000,79,0,r
4106,2376,2379,0612:30.000_0612:51.000,21,1,g
4106,2376,2379,0612:51.000_0614:10.000,79,0,r
4106,2376,2379,0614:10.000_0614:31.000,21,1,g
4106,2376,2379,0614:31.000_0615:50.000,79,0,r
4106,2376,2379,0615:50.000_0616:11.000,21,1,g
4106,2376,2379,0616:11.000_0617:30.000,79,0,r
4106,2376,2379,0617:30.000_0617:51.000,21,1,g
4106,2376,2379,0617:51.000_0619:10.000,79,0,r
4106,2376,2379,0619:10.000_0619:31.000,21,1,g
4106,2376,2379,0619:31.000_0620:50.000,79,0,r
4106,2376,2379,0620:50.000_0621:11.000,21,1,g
4106,2376,2379,0621:11.000_0622:30.000,79,0,r
4106,2376,2379,0622:30.000_0622:51.000,21,1,g
4106,2376,2379,0622:51.000_0624:10.000,79,0,r
4106,2376,2379,0624:10.000_0624:31.000,21,1,g
4106,2376,2379,0624:31.000_0625:50.000,79,0,r
4106,2376,2379,0625:50.000_0626:11.000,21,1,g
4106,2376,2379,0626:11.000_0627:30.000,79,0,r
4106,2376,2379,0627:30.000_0627:51.000,21,1,g
4106,2376,2379,0627:51.000_0629:10.000,79,0,r
4106,2376,2379,0629:10.000_0629:31.000,21,1,g
4106,2376,2379,0629:31.000_0630:50.000,79,0,r
4106,2376,2379,0630:50.000_0631:11.000,21,1,g
4106,2376,2379,0631:11.000_0632:30.000,79,0,r
4106,2376,2379,0632:30.000_0632:51.000,21,1,g
4106,2376,2379,0632:51.000_0634:10.000,79,0,r
4106,2376,2379,0634:10.000_0634:31.000,21,1,g
4106,2376,2379,0634:31.000_0635:50.000,79,0,r
4106,2376,2379,0635:50.000_0636:11.000,21,1,g
4106,2376,2379,0636:11.000_0637:30.000,79,0,r
4106,2376,2379,0637:30.000_0637:51.000,21,1,g
4106,2376,2379,0637:51.000_0639:10.000,79,0,r
4106,2376,2379,0639:10.000_0639:31.000,21,1,g
4106,2376,2379,0639:31.000_0640:50.000,79,0,r
4106,2376,2379,0640:50.000_0641:11.000,21,1,g
4106,2376,2379,0641:11.000_0642:30.000,79,0,r
4106,2376,2379,0642:30.000_0642:51.000,21,1,g
4106,2376,2379,0642:51.000_0644:10.000,79,0,r
4106,2376,2379,0644:10.000_0644:31.000,21,1,g
4106,2376,2379,0644:31.000_0645:50.000,79,0,r
4106,2376,2379,0645:50.000_0646:11.000,21,1,g
4106,2376,2379,0646:11.000_0647:30.000,79,0,r
4106,2376,2379,0647:30.000_0647:51.000,21,1,g
4106,2376,2379,0647:51.000_0649:10.000,79,0,r
4106,2376,2379,0649:10.000_0649:31.000,21,1,g
4106,2376,2379,0649:31.000_0650:50.000,79,0,r
4106,2376,2379,0650:50.000_0651:11.000,21,1,g
4106,2376,2379,0651:11.000_0652:30.000,79,0,r
4106,2376,2379,0652:30.000_0652:51.000,21,1,g
4106,2376,2379,0652:51.000_0654:10.000,79,0,r
4106,2376,2379,0654:10.000_0654:31.000,21,1,g
4106,2376,2379,0654:31.000_0655:50.000,79,0,r
4106,2376,2379,0655:50.000_0656:11.000,21,1,g
4106,2376,2379,0656:11.000_0657:30.000,79,0,r
4106,2376,2379,0657:30.000_0657:51.000,21,1,g
4106,2376,2379,0657:51.000_0659:10.000,79,0,r
4106,2376,2379,0659:10.000_0659:31.000,21,1,g
4106,2376,2379,0659:31.000_0659:59.000,28,0,r
4278,2523,2526,0600:00.000_0600:51.000,51,1,g
