node_id,node_no,node_type,#_of_outgoing_nodes,activity_node_flag,agent_type,zone_id,cell_id,cell_code,info_zone_flag,x_coord,y_coord
0,0,,0,0,,-1,1082130432,,0,-111.952600,33.260930
2,1,,0,0,,-1,1082130432,,0,-111.952570,33.260870
3,2,,0,0,,-1,1082130432,,0,-111.952600,33.260860
4,3,,0,0,,-1,1082130432,,0,-111.952540,33.260820
5,4,,0,0,,-1,1082130432,,0,-111.952570,33.260800
6,5,,0,0,,-1,1082130432,,0,-111.952500,33.260760
7,6,,0,0,,-1,1082130432,,0,-111.952540,33.260740
8,7,,0,0,,-1,1082130432,,0,-111.952470,33.260700
9,8,,0,0,,-1,1082130432,,0,-111.952510,33.260690
14,9,,0,0,,-1,1082130432,,0,-111.952400,33.260580
15,10,,0,0,,-1,1082130432,,0,-111.952430,33.260560
16,11,,0,0,,-1,1082130432,,0,-111.952360,33.260530
17,12,,0,0,,-1,1082130432,,0,-111.952390,33.260510
18,13,,0,0,,-1,1082130432,,0,-111.952320,33.260470
19,14,,0,0,,-1,1082130432,,0,-111.952350,33.260460
20,15,,0,0,,-1,1082130432,,0,-111.952280,33.260420
21,16,,0,0,,-1,1082130432,,0,-111.952310,33.260400
22,17,,0,0,,-1,1082130432,,0,-111.952240,33.260370
23,18,,0,0,,-1,1082130432,,0,-111.952270,33.260350
24,19,,0,0,,-1,1082130432,,0,-111.952200,33.260310
25,20,,0,0,,-1,1082130432,,0,-111.952230,33.260300
26,21,,0,0,,-1,1082130432,,0,-111.952160,33.260260
27,22,,0,0,,-1,1082130432,,0,-111.952190,33.260240
28,23,,0,0,,-1,1082130432,,0,-111.952120,33.260200
29,24,,0,0,,-1,1082130432,,0,-111.952150,33.260190
30,25,,0,0,,-1,1082130432,,0,-111.952080,33.260150
31,26,,0,0,,-1,1082130432,,0,-111.952110,33.260130
32,27,,0,0,,-1,1082130432,,0,-111.952040,33.260100
33,28,,0,0,,-1,1082130432,,0,-111.952070,33.260080
34,29,,0,0,,-1,1082130432,,0,-111.952000,33.260040
35,30,,0,0,,-1,1082130432,,0,-111.952030,33.260030
36,31,,0,0,,-1,1082130432,,0,-111.951960,33.259990
37,32,,0,0,,-1,1082130432,,0,-111.952000,33.259970
38,33,,0,0,,-1,1082130432,,0,-111.951920,33.259940
