od_no,o_zone_id,d_zone_id,o_zone_agent_type_cover_flag,d_zone_agent_type_cover_flag,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,sensor_flag,toll,travel_time,VDF_travel_time,travel_time_without_access_link,distance_km
1,1,2,0,0,0,0,sov,AM,5.20,5,1,0,0.0,12.6,1.3335,1.3335,2.5033
2,1,2,0,0,6,0,sov,AM,2.60,3,1,0,0.0,15.6,1.3377,1.3377,2.5090
3,1,2,0,0,5,0,sov,AM,2.60,3,1,0,0.0,15.8,1.3346,1.3346,2.5207
4,1,2,0,0,7,0,sov,AM,2.60,3,1,0,0.0,13.8,1.3104,1.3104,2.6412
5,1,2,0,0,1,0,sov,AM,5.20,5,1,0,0.0,13.7,1.2670,1.2670,2.5066
6,1,2,0,0,4,0,sov,AM,2.60,3,1,0,0.0,8.9,1.3058,1.3058,2.6661
7,1,2,0,0,3,0,sov,AM,2.60,3,1,0,0.0,10.3,1.3063,1.3063,2.6778
8,1,2,0,0,2,0,sov,AM,2.60,3,1,0,0.0,16.2,1.2665,1.2665,2.5309
9,1,3,0,0,6,0,sov,AM,34.80,35,1,0,0.0,11.9,1.3897,1.3897,2.9400
10,1,3,0,0,0,0,sov,AM,69.60,70,1,0,0.0,12.2,1.3856,1.3856,2.9337
11,1,3,0,0,5,0,sov,AM,34.80,35,1,0,0.0,11.9,1.3853,1.3853,2.9370
12,1,3,0,0,7,0,sov,AM,34.80,35,1,0,0.0,10.0,1.3630,1.3630,3.0728
13,1,3,0,0,1,0,sov,AM,69.60,70,1,0,0.0,13.5,1.3206,1.3206,2.9404
14,1,3,0,0,2,0,sov,AM,34.80,35,1,0,0.0,12.1,1.3179,1.3179,2.9487
15,1,3,0,0,4,0,sov,AM,34.80,35,1,0,0.0,6.8,1.3566,1.3566,3.0825
16,1,3,0,0,3,0,sov,AM,34.80,35,1,0,0.0,7.9,1.3571,1.3571,3.0942
17,1,4,0,0,6,0,sov,AM,200.00,200,1,0,0.0,15.1,9.8449,9.8449,2.9140
18,1,4,0,0,5,0,sov,AM,200.00,200,1,0,0.0,16.0,9.8493,9.8493,2.9104
19,1,4,0,0,0,0,sov,AM,400.00,400,1,0,0.0,15.9,9.9091,9.9091,2.8096
20,1,4,0,0,1,0,sov,AM,400.00,400,1,0,0.0,15.4,9.8568,9.8568,2.8189
21,1,4,0,0,4,0,sov,AM,200.00,200,1,0,0.0,10.6,9.8104,9.8104,3.0566
22,1,4,0,0,7,0,sov,AM,200.00,200,1,0,0.0,13.6,9.8950,9.8950,2.9510
23,1,4,0,0,3,0,sov,AM,200.00,200,1,0,0.0,10.3,9.8083,9.8083,3.0723
24,1,4,0,0,2,0,sov,AM,200.00,200,1,0,0.0,13.7,9.6904,9.6904,2.9261
25,1,2,0,0,0,0,hov2,AM,1.04,1,1,0,0.0,1.3,1.3335,1.3335,2.5033
26,1,2,0,0,6,0,hov2,AM,0.52,1,1,0,0.0,1.3,1.3377,1.3377,2.5090
27,1,2,0,0,5,0,hov2,AM,0.52,1,1,0,0.0,1.3,1.3346,1.3346,2.5207
28,1,2,0,0,7,0,hov2,AM,0.52,1,1,0,0.0,1.3,1.3104,1.3104,2.6412
29,1,2,0,0,1,0,hov2,AM,1.04,1,1,0,0.0,1.3,1.2670,1.2670,2.5066
30,1,2,0,0,4,0,hov2,AM,0.52,1,1,0,0.0,1.3,1.3058,1.3058,2.6661
31,1,2,0,0,3,0,hov2,AM,0.52,1,1,0,0.0,1.3,1.3063,1.3063,2.6778
32,1,2,0,0,2,0,hov2,AM,0.52,1,1,0,0.0,1.3,1.2665,1.2665,2.5309
33,1,3,0,0,6,0,hov2,AM,2.00,2,1,0,0.0,15.9,1.3897,1.3897,2.9400
34,1,3,0,0,0,0,hov2,AM,4.00,4,1,0,0.0,12.6,1.3856,1.3856,2.9337
35,1,3,0,0,5,0,hov2,AM,2.00,2,1,0,0.0,16.0,1.3853,1.3853,2.9370
36,1,3,0,0,7,0,hov2,AM,2.00,2,1,0,0.0,13.8,1.3630,1.3630,3.0728
37,1,3,0,0,1,0,hov2,AM,4.00,4,1,0,0.0,12.7,1.3206,1.3206,2.9404
38,1,3,0,0,2,0,hov2,AM,2.00,2,1,0,0.0,16.0,1.3179,1.3179,2.9487
39,1,3,0,0,4,0,hov2,AM,2.00,2,1,0,0.0,9.1,1.3566,1.3566,3.0825
40,1,3,0,0,3,0,hov2,AM,2.00,2,1,0,0.0,11.0,1.3571,1.3571,3.0942
41,1,4,0,0,6,0,hov2,AM,2.00,2,1,0,0.0,20.1,9.8449,9.8449,2.9140
42,1,4,0,0,5,0,hov2,AM,2.00,2,1,0,0.0,21.3,9.8493,9.8493,2.9104
43,1,4,0,0,0,0,hov2,AM,4.00,4,1,0,0.0,15.2,9.9091,9.9091,2.8096
44,1,4,0,0,1,0,hov2,AM,4.00,4,1,0,0.0,14.7,9.8568,9.8568,2.8189
45,1,4,0,0,4,0,hov2,AM,2.00,2,1,0,0.0,13.0,9.8104,9.8104,3.0566
46,1,4,0,0,7,0,hov2,AM,2.00,2,1,0,0.0,18.3,9.8950,9.8950,2.9510
47,1,4,0,0,3,0,hov2,AM,2.00,2,1,0,0.0,14.0,9.8083,9.8083,3.0723
48,1,4,0,0,2,0,hov2,AM,2.00,2,1,0,0.0,18.0,9.6904,9.6904,2.9261
49,1,2,0,0,0,0,mut,AM,10.00,10,1,0,0.0,10.4,1.3335,1.3335,2.5033
50,1,2,0,0,6,0,mut,AM,5.00,5,1,0,0.0,12.5,1.3377,1.3377,2.5090
51,1,2,0,0,5,0,mut,AM,5.00,5,1,0,0.0,12.7,1.3346,1.3346,2.5207
52,1,2,0,0,7,0,mut,AM,5.00,5,1,0,0.0,10.6,1.3104,1.3104,2.6412
53,1,2,0,0,1,0,mut,AM,10.00,10,1,0,0.0,11.4,1.2670,1.2670,2.5066
54,1,2,0,0,4,0,mut,AM,5.00,5,1,0,0.0,6.9,1.3058,1.3058,2.6661
55,1,2,0,0,3,0,mut,AM,5.00,5,1,0,0.0,7.8,1.3063,1.3063,2.6778
56,1,2,0,0,2,0,mut,AM,5.00,5,1,0,0.0,13.2,1.2665,1.2665,2.5309
57,1,3,0,0,6,0,mut,AM,5.00,5,1,0,0.0,13.6,1.3897,1.3897,2.9400
58,1,3,0,0,0,0,mut,AM,10.00,10,1,0,0.0,11.1,1.3856,1.3856,2.9337
59,1,3,0,0,5,0,mut,AM,5.00,5,1,0,0.0,13.6,1.3853,1.3853,2.9370
60,1,3,0,0,7,0,mut,AM,5.00,5,1,0,0.0,11.7,1.3630,1.3630,3.0728
61,1,3,0,0,1,0,mut,AM,10.00,10,1,0,0.0,12.1,1.3206,1.3206,2.9404
62,1,3,0,0,2,0,mut,AM,5.00,5,1,0,0.0,14.0,1.3179,1.3179,2.9487
63,1,3,0,0,4,0,mut,AM,5.00,5,1,0,0.0,7.5,1.3566,1.3566,3.0825
64,1,3,0,0,3,0,mut,AM,5.00,5,1,0,0.0,8.8,1.3571,1.3571,3.0942
65,1,4,0,0,6,0,mut,AM,5.00,5,1,0,0.0,17.0,9.8449,9.8449,2.9140
66,1,4,0,0,5,0,mut,AM,5.00,5,1,0,0.0,17.6,9.8493,9.8493,2.9104
67,1,4,0,0,0,0,mut,AM,10.00,10,1,0,0.0,14.6,9.9091,9.9091,2.8096
68,1,4,0,0,1,0,mut,AM,10.00,10,1,0,0.0,14.0,9.8568,9.8568,2.8189
69,1,4,0,0,4,0,mut,AM,5.00,5,1,0,0.0,11.7,9.8104,9.8104,3.0566
70,1,4,0,0,7,0,mut,AM,5.00,5,1,0,0.0,15.5,9.8950,9.8950,2.9510
71,1,4,0,0,3,0,mut,AM,5.00,5,1,0,0.0,11.2,9.8083,9.8083,3.0723
72,1,4,0,0,2,0,mut,AM,5.00,5,1,0,0.0,15.9,9.6904,9.6904,2.9261
73,2,1,0,0,1,0,sov,AM,56.00,56,1,0,0.0,2.4,1.0018,1.0018,1.9951
74,2,1,0,0,0,0,sov,AM,44.80,45,1,0,0.0,2.4,1.0007,1.0007,1.9924
75,2,1,0,0,2,0,sov,AM,11.20,11,1,0,0.0,2.4,1.0007,1.0007,1.9926
76,2,3,0,0,2,0,sov,AM,57.60,58,1,0,0.0,2.5,1.0480,1.0480,2.1097
77,2,3,0,0,1,0,sov,AM,38.40,38,1,0,0.0,2.5,1.0484,1.0484,2.1111
78,2,3,0,0,0,0,sov,AM,38.40,38,1,0,0.0,2.5,1.0476,1.0476,2.1083
79,2,3,0,0,3,0,sov,AM,38.40,38,1,0,0.0,2.6,1.0475,1.0475,2.1084
80,2,3,0,0,4,0,sov,AM,19.20,19,1,0,0.0,2.6,1.0474,1.0474,2.1082
81,2,4,0,0,1,0,sov,AM,800.00,800,1,0,0.0,3.0,0.9508,0.9508,1.9925
82,2,4,0,0,0,0,sov,AM,800.00,800,1,0,0.0,3.1,0.8895,0.8895,1.9924
