tmc_code,measurement_tstamp,speed,average_speed,reference_speed,travel_time_seconds,confidence_score,cvalue
115P07707,2019-01-01 00:00:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 00:05:00,71.00,67.00,67.00,36.00,30.00,95.00
115P07707,2019-01-01 00:10:00,71.00,67.00,67.00,36.00,30.00,99.20
115P07707,2019-01-01 00:15:00,71.00,67.00,67.00,36.00,30.00,99.80
115P07707,2019-01-01 00:20:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 00:25:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 00:30:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 00:35:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 00:40:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 00:45:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 00:50:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 00:55:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 01:00:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 01:05:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 01:10:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 01:15:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 01:20:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 01:25:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 01:30:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 01:35:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 01:40:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 01:45:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 01:50:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 01:55:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 02:00:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 02:05:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 02:10:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 02:15:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 02:20:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 02:25:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 02:30:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 02:35:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 02:40:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 02:45:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 02:50:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 02:55:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 03:00:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 03:05:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 03:10:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 03:15:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 03:20:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 03:25:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 03:30:00,67.00,67.00,67.00,38.15,10.00,
115P07707,2019-01-01 03:35:00,67.00,67.00,67.00,38.15,10.00,
