first_column,link_id,name,from_node_id,to_node_id,facility_type,link_type,vdf_code,dir_flag,cell_type,length_in_mile,length,lanes,free_speed,cutoff_speed,capacity,geometry,opposite_link_id,ID,Dir,From ID,To ID,FT,AT,volume_group,VDF_type,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_sequence,VDF_cap1,VDF_fftt1,VDF_plf1,VDF_fftt2,VDF_cap2,VDF_plf2,VDF_alpha1,VDF_beta1,QVDF_alpha1,QVDF_beta1,SA_lanes_change1,SA_lanes_change2,SA_lanes_change3,VDF_alpha2,VDF_beta2,VDF_fftt3,VDF_cap3,VDF_plf3,VDF_alpha3,VDF_beta3,VDF_fftt4,VDF_cap4,VDF_alpha4,VDF_beta4,VDF_preload1,VDF_preload2,VDF_preload3,VDF_preload4,VDF_allowed_uses1,VDF_allowed_uses2,VDF_allowed_uses3,VDF_allowed_uses4,ATR_count,screenline,screenline2,screenline3,terrain,VDF_pcesov,VDF_pcehov2,VDF_pcehov3,VDF_pcesut,VDF_pcemut,subarea_id,VDF_s4,VDF_sav4,transcad_vol_total,end,time_period,volume
,200917AB,,602,202908,,9,9,1,0,2.19148,3526.09132,9,20,17,99999,"LINESTRING (-112.480474 33.610543, -112.460163 33.637420)",200917BA,200917,0,602,202908,9,3,-1,309,,,,,2702675.676,6.574437,0.333,6.574437,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,6.574437,2699973,0.037037037,0.078977,1.695,6.574437,10799892,0.078977,1.695,0,0,0,0,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,7.115797,36.46885,end,1500_1800,298.927
,200917BA,,202908,602,,9,9,1,0,2.19148,3526.09132,9,20,17,99999,"LINESTRING (-112.462721 33.639352, -112.483032 33.612475)",200917AB,200917,0,602,202908,9,3,-1,309,,,,,2702675.676,6.574437,0.333,6.574437,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,6.574437,2699973,0.037037037,0.078977,1.695,6.574437,10799892,0.078977,1.695,0,0,0,0,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,7.638274,35.036863,end,1500_1800,77.979
,200932AB,,2166,202855,,9,9,1,0,1.50161,2416.09049,9,20,17,99999,"LINESTRING (-112.469541 33.660154, -112.474036 33.638693)",200932BA,200932,0,2166,202855,9,3,-1,309,,,,,2702675.676,4.504833,0.333,4.504833,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,4.504833,2699973,0.037037037,0.078977,1.695,4.504833,10799892,0.078977,1.695,2.113056,5.506672,3.091516,3.82667,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,474.227539,2664.140695,end,1500_1800,595.681
,200932BA,,202855,2166,,9,9,1,0,1.50161,2416.09049,9,20,17,99999,"LINESTRING (-112.470898 33.638035, -112.466403 33.659496)",200932AB,200932,0,2166,202855,9,3,-1,309,,,,,2702675.676,4.504833,0.333,4.504833,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,4.504833,2699973,0.037037037,0.078977,1.695,4.504833,10799892,0.078977,1.695,2.238453,5.833458,3.274978,4.053759,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,514.813601,2115.216465,end,1500_1800,86.232
,200947AB,,202855,202908,,3,3,1,0,0.63556,1022.61604,2,43,36.55,700,"LINESTRING (-112.472464 33.636761, -112.461439 33.636783)",200947BA,200947,0,202855,202908,3,3,-1,303,,,,,4204.204204,0.886832093,0.333,0.886832093,8400,0.083333333,0.078977,1.695,,,,,,0.078977,1.695,0.886832093,4200,0.166666667,0.078977,1.695,0.886832093,16800,0.078977,1.695,6.886654,17.946766,10.075547,12.471481,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,1410.932729,8051.343338,end,1500_1800,1340.652
,200947BA,,202908,202855,,3,3,1,0,0.63556,1022.61604,2,43,36.55,700,"LINESTRING (-112.461445 33.639989, -112.472470 33.639967)",200947AB,200947,0,202855,202908,3,3,-1,303,,,,,4204.204204,0.886832093,0.333,0.886832093,8400,0.083333333,0.078977,1.695,,,,,,0.078977,1.695,0.886832093,4200,0.166666667,0.078977,1.695,0.886832093,16800,0.078977,1.695,6.919564,18.032533,10.123698,12.531082,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,1402.768558,5678.129532,end,1500_1800,2437.718
,200984AB,,2146,202923,,9,9,1,0,0.60134,967.55606,9,20,17,99999,"LINESTRING (-112.463197 33.716484, -112.459532 33.724654)",200984BA,200984,0,2146,202923,9,3,-1,309,,,,,2702675.676,1.804032,0.333,1.804032,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,1.804032,2699973,0.037037037,0.078977,1.695,1.804032,10799892,0.078977,1.695,0.001694,0.004414,0.002478,0.003067,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,0.04068,0.154565,end,1500_1800,333.89
,200984BA,,202923,2146,,9,9,1,0,0.60134,967.55606,9,20,17,99999,"LINESTRING (-112.462456 33.725966, -112.466121 33.717796)",200984AB,200984,0,2146,202923,9,3,-1,309,,,,,2702675.676,1.804032,0.333,1.804032,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,1.804032,2699973,0.037037037,0.078977,1.695,1.804032,10799892,0.078977,1.695,0.001694,0.004414,0.002478,0.003067,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,0.04068,0.154593,end,1500_1800,91.001
,200985AB,,202924,202831,,4,4,1,0,0.49513,796.66417,1,40,34,500,"LINESTRING (-112.461529 33.711342, -112.461529 33.718526)",200985BA,200985,0,202924,202831,4,3,-1,304,,,,,1501.501502,0.742689,0.333,0.742689,3000,0.166666667,0.078977,1.695,,,,,,0.078977,1.695,0.742689,1500,0.333333333,0.078977,1.695,0.742689,6000,0.078977,1.695,0.026154,0.068157,0.038264,0.047363,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,0.711052,2.701315,end,1500_1800,123.362
,200985BA,,202831,202924,,4,4,1,0,0.49513,796.66417,1,40,34,500,"LINESTRING (-112.464735 33.718526, -112.464735 33.711342)",200985AB,200985,0,202924,202831,4,3,-1,304,,,,,1501.501502,0.742689,0.333,0.742689,3000,0.166666667,0.078977,1.695,,,,,,0.078977,1.695,0.742689,1500,0.333333333,0.078977,1.695,0.742689,6000,0.078977,1.695,0.026147,0.06814,0.038255,0.047352,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,0.71104,2.701297,end,1500_1800,167.067
,200989AB,,2146,202831,,9,9,1,0,0.12984,208.91256,9,20,17,99999,"LINESTRING (-112.463582 33.715953, -112.462055 33.717339)",200989BA,200989,0,2146,202831,9,3,-1,309,,,,,2702675.676,0.389532,0.333,0.389532,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,0.389532,2699973,0.037037037,0.078977,1.695,0.389532,10799892,0.078977,1.695,0.026147,0.06814,0.038255,0.047352,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,0.71104,2.701297,end,1500_1800,167.067
,200989BA,,202831,2146,,9,9,1,0,0.12984,208.91256,9,20,17,99999,"LINESTRING (-112.464209 33.719713, -112.465736 33.718327)",200989AB,200989,0,2146,202831,9,3,-1,309,,,,,2702675.676,0.389532,0.333,0.389532,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,0.389532,2699973,0.037037037,0.078977,1.695,0.389532,10799892,0.078977,1.695,0.026154,0.068157,0.038264,0.047363,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,0.711052,2.701315,end,1500_1800,123.362
,200997AB,,615,202825,,9,9,1,0,1.26201,2030.57409,9,20,17,99999,"LINESTRING (-112.460447 33.693294, -112.462520 33.711523)",200997BA,200997,0,615,202825,9,3,-1,309,,,,,2702675.676,3.786042,0.333,3.786042,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,3.786042,2699973,0.037037037,0.078977,1.695,3.786042,10799892,0.078977,1.695,0.992647,2.586857,1.452294,1.797647,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,121.103057,679.891222,end,1500_1800,106.784
,200997BA,,202825,615,,9,9,1,0,1.26201,2030.57409,9,20,17,99999,"LINESTRING (-112.465706 33.711161, -112.463633 33.692932)",200997AB,200997,0,615,202825,9,3,-1,309,,,,,2702675.676,3.786042,0.333,3.786042,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,3.786042,2699973,0.037037037,0.078977,1.695,3.786042,10799892,0.078977,1.695,1.031055,2.686952,1.508489,1.867203,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,132.323343,530.100098,end,1500_1800,164.632
,200998AB,,202824,202894,,4,4,1,0,0.50808,817.50072,1,40,34,500,"LINESTRING (-112.469722 33.712942, -112.478543 33.712949)",200998BA,200998,0,202824,202894,4,3,-1,304,,,,,1501.501502,0.7621185,0.333,0.7621185,3000,0.166666667,0.078977,1.695,,,,,,0.078977,1.695,0.7621185,1500,0.333333333,0.078977,1.695,0.7621185,6000,0.078977,1.695,0.036608,0.095401,0.053559,0.066296,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,9.745754,38.50843,end,1500_1800,134.456
,200998BA,,202894,202824,,4,4,1,0,0.50808,817.50072,1,40,34,500,"LINESTRING (-112.478543 33.709743, -112.469722 33.709736)",200998AB,200998,0,202824,202894,4,3,-1,304,,,,,1501.501502,0.7621185,0.333,0.7621185,3000,0.166666667,0.078977,1.695,,,,,,0.078977,1.695,0.7621185,1500,0.333333333,0.078977,1.695,0.7621185,6000,0.078977,1.695,0.036599,0.095378,0.053547,0.06628,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,9.532359,51.440584,end,1500_1800,163.708
,201000AB,,202825,202824,,4,4,1,0,0.32307,519.81963,2,40,34,500,"LINESTRING (-112.464113 33.712945, -112.469722 33.712942)",201000BA,201000,0,202825,202824,4,3,-1,304,,,,,3003.003003,0.484605,0.333,0.484605,6000,0.083333333,0.078977,1.695,,,,,,0.078977,1.695,0.484605,3000,0.166666667,0.078977,1.695,0.484605,12000,0.078977,1.695,0.036608,0.095401,0.053559,0.066296,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,9.745754,38.50843,end,1500_1800,134.456
,201000BA,,202824,202825,,4,4,1,0,0.32307,519.81963,2,40,34,500,"LINESTRING (-112.469722 33.709736, -112.464113 33.709739)",201000AB,201000,0,202825,202824,4,3,-1,304,,,,,3003.003003,0.484605,0.333,0.484605,6000,0.083333333,0.078977,1.695,,,,,,0.078977,1.695,0.484605,3000,0.166666667,0.078977,1.695,0.484605,12000,0.078977,1.695,0.036599,0.095378,0.053547,0.06628,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,9.532359,51.440584,end,1500_1800,163.708
,201001AB,,202924,202825,,4,4,1,0,0.0565,90.9085,2,40,34,500,"LINESTRING (-112.463132 33.712945, -112.464113 33.712945)",201001BA,201001,0,202924,202825,4,3,-1,304,,,,,3003.003003,0.084756,0.333,0.084756,6000,0.083333333,0.078977,1.695,,,,,,0.078977,1.695,0.084756,3000,0.166666667,0.078977,1.695,0.084756,12000,0.078977,1.695,1.067663,2.782353,1.562049,1.933499,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,141.714734,566.945936,end,1500_1800,297.088
,201001BA,,202825,202924,,4,4,1,0,0.0565,90.9085,2,40,34,500,"LINESTRING (-112.464113 33.709739, -112.463132 33.709739)",201001AB,201001,0,202924,202825,4,3,-1,304,,,,,3003.003003,0.084756,0.333,0.084756,6000,0.083333333,0.078977,1.695,,,,,,0.078977,1.695,0.084756,3000,0.166666667,0.078977,1.695,0.084756,12000,0.078977,1.695,1.029246,2.682235,1.505841,1.863926,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,130.281052,729.669212,end,1500_1800,268.492
,201003AB,,202926,202923,,2,2,1,0,1.54515,2486.14635,2,56,47.6,900,"LINESTRING (-112.481667 33.739270, -112.461974 33.724042)",201003BA,201003,0,202926,202923,2,3,-1,302,,,,,5405.405405,1.6555125,0.333,1.6555125,10800,0.083333333,0.078977,1.695,,,,,,0.078977,1.695,1.6555125,5400,0.166666667,0.078977,1.695,1.6555125,21600,0.078977,1.695,453.86076,1182.770858,664.022885,821.925511,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,9663,,,,1,1,1,1,1.2,1.5,,0.47,3531.640108,17414.21595,end,1500_1800,3333.357
,201003BA,,202923,202926,,2,2,1,0,1.54515,2486.14635,2,56,47.6,900,"LINESTRING (-112.460014 33.726578, -112.479707 33.741806)",201003AB,201003,0,202926,202923,2,3,-1,302,,,,,5405.405405,1.6555125,0.333,1.6555125,10800,0.083333333,0.078977,1.695,,,,,,0.078977,1.695,1.6555125,5400,0.166666667,0.078977,1.695,1.6555125,21600,0.078977,1.695,429.105146,1118.257199,627.804081,777.093986,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,9663,,,,1,1,1,1,1.2,1.5,,0.47,3423.132093,13492.71415,end,1500_1800,3941.44
,201005AB,,2125,202923,,9,9,1,0,0.83476,1343.12884,9,20,17,99999,"LINESTRING (-112.474933 33.728367, -112.461511 33.723793)",201005BA,201005,0,2125,202923,9,3,-1,309,,,,,2702675.676,2.504271,0.333,2.504271,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,2.504271,2699973,0.037037037,0.078977,1.695,2.504271,10799892,0.078977,1.695,0.244653,0.637571,0.357941,0.443058,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,53.810412,282.92237,end,1500_1800,387.975
,201005BA,,202923,2125,,9,9,1,0,0.83476,1343.12884,9,20,17,99999,"LINESTRING (-112.460477 33.726827, -112.473899 33.731401)",201005AB,201005,0,2125,202923,9,3,-1,309,,,,,2702675.676,2.504271,0.333,2.504271,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,2.504271,2699973,0.037037037,0.078977,1.695,2.504271,10799892,0.078977,1.695,0.32237,0.840101,0.471644,0.583799,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,54.089637,238.275227,end,1500_1800,144.972
,201046AB,,620,202809,,9,9,1,0,1.23456,1986.40704,9,20,17,99999,"LINESTRING (-112.432978 33.682542, -112.411802 33.685278)",201046BA,201046,0,620,202809,9,3,-1,309,,,,,2702675.676,3.703674,0.333,3.703674,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,3.703674,2699973,0.037037037,0.078977,1.695,3.703674,10799892,0.078977,1.695,0.341342,0.889544,0.499402,0.618158,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,1,0.47,742.456293,4058.620743,end,1500_1800,882.208
,201046BA,,202809,620,,9,9,1,0,1.23456,1986.40704,9,20,17,99999,"LINESTRING (-112.412212 33.688458, -112.433388 33.685722)",201046AB,201046,0,620,202809,9,3,-1,309,,,,,2702675.676,3.703674,0.333,3.703674,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,3.703674,2699973,0.037037037,0.078977,1.695,3.703674,10799892,0.078977,1.695,0.506426,1.319759,0.74093,0.91712,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,1,0.47,781.601096,3399.223598,end,1500_1800,939.087
,201047AB,,645,202808,,9,9,1,0,0.48839,785.81951,9,20,17,99999,"LINESTRING (-112.333336 33.629608, -112.324881 33.629169)",201047BA,201047,0,645,202808,9,2,-1,209,,,,,2702675.676,1.465161,0.333,1.465161,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,1.465161,2699973,0.037037037,0.078977,1.695,1.465161,10799892,0.078977,1.695,18.678302,48.676056,27.327368,33.825734,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,1,0.47,1584.372067,8267.134467,end,1500_1800,1907.758
,201047BA,,202808,645,,9,9,1,0,0.48839,785.81951,9,20,17,99999,"LINESTRING (-112.324715 33.632371, -112.333170 33.632810)",201047AB,201047,0,645,202808,9,2,-1,209,,,,,2702675.676,1.465161,0.333,1.465161,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,1.465161,2699973,0.037037037,0.078977,1.695,1.465161,10799892,0.078977,1.695,19.378282,50.500219,28.351477,35.093373,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,1,0.47,1551.188767,8007.315272,end,1500_1800,1287.186
,201048AB,,647,202807,,9,9,1,0,0.37139,597.56651,9,20,17,99999,"LINESTRING (-112.341904 33.687787, -112.343809 33.682639)",201048BA,201048,0,647,202807,9,3,-1,309,,,,,2702675.676,1.114173,0.333,1.114173,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,1.114173,2699973,0.037037037,0.078977,1.695,1.114173,10799892,0.078977,1.695,5.687485,14.821708,8.3211,10.299832,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,1,0.47,1406.153055,7317.196296,end,1500_1800,2183.764
