first_column,link_id,name,from_node_id,to_node_id,facility_type,link_type,vdf_code,dir_flag,cell_type,length_in_mile,length,lanes,free_speed,cutoff_speed,capacity,geometry,opposite_link_id,ID,Dir,From ID,To ID,FT,AT,volume_group,VDF_type,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_sequence,VDF_cap1,VDF_fftt1,VDF_plf1,VDF_fftt2,VDF_cap2,VDF_plf2,VDF_alpha1,VDF_beta1,QVDF_alpha1,QVDF_beta1,SA_lanes_change1,SA_lanes_change2,SA_lanes_change3,VDF_alpha2,VDF_beta2,VDF_fftt3,VDF_cap3,VDF_plf3,VDF_alpha3,VDF_beta3,VDF_fftt4,VDF_cap4,VDF_alpha4,VDF_beta4,VDF_preload1,VDF_preload2,VDF_preload3,VDF_preload4,VDF_allowed_uses1,VDF_allowed_uses2,VDF_allowed_uses3,VDF_allowed_uses4,ATR_count,screenline,screenline2,screenline3,terrain,VDF_pcesov,VDF_pcehov2,VDF_pcehov3,VDF_pcesut,VDF_pcemut,subarea_id,VDF_s4,VDF_sav4,transcad_vol_total,end,time_period,volume
,200820AB,,202925,202924,,4,4,1,0,1.02635,1651.39715,1,39,33.15,500,"LINESTRING (-112.446534 33.715240, -112.463350 33.712930)",200820BA,200820,0,202925,202924,4,3,-1,304,,,,,1501.501502,1.579001538,0.333,1.579001538,3000,0.166666667,0.078977,1.695,,,,,,0.078977,1.695,1.579001538,1500,0.333333333,0.078977,1.695,1.579001538,6000,0.078977,1.695,1.093816,2.85051,1.600313,1.980862,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,142.424413,569.642033,end,1500_1800,366.707
,200820BA,,202924,202925,,4,4,1,0,1.02635,1651.39715,1,39,33.15,500,"LINESTRING (-112.462914 33.709754, -112.446098 33.712064)",200820AB,200820,0,202925,202924,4,3,-1,304,,,,,1501.501502,1.579001538,0.333,1.579001538,3000,0.166666667,0.078977,1.695,,,,,,0.078977,1.695,1.579001538,1500,0.333333333,0.078977,1.695,1.579001538,6000,0.078977,1.695,1.055393,2.750375,1.544096,1.911278,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,130.990719,732.365294,end,1500_1800,381.816
,200821AB,,202925,202923,,2,2,1,0,1.16628,1876.54452,2,56,47.6,900,"LINESTRING (-112.445319 33.714907, -112.459997 33.726565)",200821BA,200821,0,202925,202923,2,3,-1,302,,,,,5405.405405,1.249580357,0.333,1.249580357,10800,0.083333333,0.078977,1.695,,,,,,0.078977,1.695,1.249580357,5400,0.166666667,0.078977,1.695,1.249580357,21600,0.078977,1.695,429.394279,1119.010686,628.227098,777.617595,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,9710,,,,2,1,1,1,2,2.5,,0.47,3459.345638,13644.56045,end,1500_1800,4038.306
,200821BA,,202923,202925,,2,2,1,0,1.16628,1876.54452,2,56,47.6,900,"LINESTRING (-112.461991 33.724055, -112.447313 33.712397)",200821AB,200821,0,202925,202923,2,3,-1,302,,,,,5405.405405,1.249580357,0.333,1.249580357,10800,0.083333333,0.078977,1.695,,,,,,0.078977,1.695,1.249580357,5400,0.166666667,0.078977,1.695,1.249580357,21600,0.078977,1.695,454.072177,1183.321815,664.332199,822.308379,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,9710,,,,2,1,1,1,2,2.5,,0.47,3567.574429,17610.70937,end,1500_1800,3916.114
,200831AB,,202909,202908,,2,2,1,0,0.50498,812.51282,2,39,33.15,900,"LINESTRING (-112.452710 33.640116, -112.461465 33.639989)",200831BA,200831,0,202909,202908,2,3,-1,302,,,,,5405.405405,0.776893846,0.333,0.776893846,10800,0.083333333,0.078977,1.695,,,,,,0.078977,1.695,0.776893846,5400,0.166666667,0.078977,1.695,0.776893846,21600,0.078977,1.695,6.919564,18.032533,10.123698,12.531082,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,1405.784152,5690.860291,end,1500_1800,2511.594
,200831BA,,202908,202909,,2,2,1,0,0.50498,812.51282,2,39,33.15,900,"LINESTRING (-112.461419 33.636783, -112.452664 33.636910)",200831AB,200831,0,202909,202908,2,3,-1,302,,,,,5405.405405,0.776893846,0.333,0.776893846,10800,0.083333333,0.078977,1.695,,,,,,0.078977,1.695,0.776893846,5400,0.166666667,0.078977,1.695,0.776893846,21600,0.078977,1.695,6.886654,17.946766,10.075547,12.471481,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,1413.425845,8065.506084,end,1500_1800,1635.476
,200833AB,,202905,202904,,4,4,1,0,2.17705,3502.87345,1,40,34,500,"LINESTRING (-112.478596 33.680470, -112.440812 33.680415)",200833BA,200833,0,202905,202904,4,3,-1,304,,,,,1501.501502,3.2655705,0.333,3.2655705,3000,0.166666667,0.078977,1.695,,,,,,0.078977,1.695,3.2655705,1500,0.333333333,0.078977,1.695,3.2655705,6000,0.078977,1.695,0,0,0,0,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,1,0.47,6.197876,35.46404,end,1500_1800,100.903
,200833BA,,202904,202905,,4,4,1,0,2.17705,3502.87345,1,40,34,500,"LINESTRING (-112.440808 33.683621, -112.478592 33.683676)",200833AB,200833,0,202905,202904,4,3,-1,304,,,,,1501.501502,3.2655705,0.333,3.2655705,3000,0.166666667,0.078977,1.695,,,,,,0.078977,1.695,3.2655705,1500,0.333333333,0.078977,1.695,3.2655705,6000,0.078977,1.695,0,0,0,0,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,1,0.47,7.376766,30.158514,end,1500_1800,17.404
,200846AB,,615,202905,,9,9,1,0,1.22007,1963.09263,9,20,17,99999,"LINESTRING (-112.462929 33.694446, -112.479483 33.683406)",200846BA,200846,0,615,202905,9,3,-1,309,,,,,2702675.676,3.660216,0.333,3.660216,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,3.660216,2699973,0.037037037,0.078977,1.695,3.660216,10799892,0.078977,1.695,0,0,0,0,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,5.954333,34.103633,end,1500_1800,100.903
,200846BA,,202905,615,,9,9,1,0,1.22007,1963.09263,9,20,17,99999,"LINESTRING (-112.477705 33.680740, -112.461151 33.691780)",200846AB,200846,0,615,202905,9,3,-1,309,,,,,2702675.676,3.660216,0.333,3.660216,5399946,0.018518519,0.078977,1.695,,,,,,0.078977,1.695,3.660216,2699973,0.037037037,0.078977,1.695,3.660216,10799892,0.078977,1.695,0,0,0,0,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,sov;hov2;hov3;sut;mut,,,,,1,1,1,1,1.2,1.5,,0.47,7.106017,29.071087,end,1500_1800,17.404
