measurement_id,measurement_type,o_zone_id,d_zone_id,upper_bound_flag3,link_id,from_node_id,to_node_id,lanes,count3,count1
52,link,,,0,201067BA,202788,202807,1,1494.621673,1793.546008
53,link,,,0,201069AB,202785,202784,1,2383.404003,2860.084804
54,link,,,0,201069BA,202784,202785,1,2064.796475,2477.75577
55,link,,,0,201070AB,202783,202782,3,7756.564355,9307.877226
56,link,,,0,201070BA,202782,202783,3,7057.924885,8469.509862
57,link,,,0,201078AB,202768,202767,2,6612.505526,7935.006631
58,link,,,0,201080AB,202764,202763,1,1727.190025,2072.62803
59,link,,,0,201080BA,202763,202764,1,1526.536743,1831.844092
60,link,,,0,201081AB,202762,202761,1,173.390227,208.0682724
61,link,,,0,201081BA,202761,202762,1,146.584024,175.9008288
62,link,,,0,201082AB,202760,202759,2,581.47663,697.771956
63,link,,,0,201082BA,202759,202760,2,535.533343,642.6400116
64,link,,,0,201084AB,202756,202755,1,118.491476,142.1897712
65,link,,,0,201084BA,202755,202756,1,120.282734,144.3392808
66,link,,,0,201086AB,202753,202752,2,5458.624753,6550.349704
67,link,,,,201088AB,202750,202749,2,7624.848957,9149.818748
68,link,,,,201089AB,202748,202747,2,5771.697803,6926.037364
69,link,,,,201090AB,202788,202789,3,2824.286287,3389.143544
70,link,,,,201090BA,202789,202788,3,2579.554842,3095.46581
71,link,,,,201093AB,633,202744,9,1987.534273,2385.041128
72,link,,,,201093BA,202744,633,9,2582.324225,3098.78907
73,link,,,,201102AB,202735,202734,3,3935.774141,4722.928969
74,link,,,,201102BA,202734,202735,3,4256.099912,5107.319894
75,link,,,,201103AB,202733,202732,2,1708.636997,2050.364396
76,link,,,,201103BA,202732,202733,2,1592.472365,1910.966838
77,link,,,,201104AB,202733,202731,2,3500.957357,4201.148828
78,link,,,,201104BA,202731,202733,2,2923.939405,3508.727286
79,link,,,,201105AB,202730,202729,3,5244.342909,6293.211491
80,link,,,,201105BA,202729,202730,3,5937.221984,7124.666381
81,link,,,,201264AB,622,202623,9,0,0
82,link,,,,201264BA,202623,622,9,0,0
83,link,,,,201265AB,622,202622,9,0,0
84,link,,,,201265BA,202622,622,9,0,0
85,link,,,,201266AB,624,202732,9,461.502205,553.802646
86,link,,,,201266BA,202732,624,9,461.32232,553.586784
87,link,,,,201267AB,628,202621,9,945.234815,1134.281778
88,link,,,,201267BA,202621,628,9,1427.633957,1713.160748
89,link,,,,201268AB,202620,202623,1,601.621298,721.9455576
90,link,,,,201268BA,202623,202620,1,554.173645,665.008374
91,link,,,,201269AB,202620,202622,1,924.469257,1109.363108
92,link,,,,201269BA,202622,202620,1,959.937252,1151.924702
93,link,,,,201270AB,202732,202619,2,998.765221,1198.518265
94,link,,,,201270BA,202619,202732,2,1103.474721,1324.169665
95,link,,,,201271AB,202618,202617,3,6572.728064,7887.273677
96,link,,,,201271BA,202617,202618,3,5362.84287,6435.411444
97,link,,,,201273AB,202616,202615,1,601.621298,721.9455576
98,link,,,,201273BA,202615,202616,1,554.173645,665.008374
99,link,,,,201274AB,202614,202613,2,1284.997696,1541.997235
100,link,,,,201274BA,202613,202614,2,1075.923339,1291.108007
101,link,,,,201275AB,202612,202611,3,6391.157625,7669.38915
102,link,,,,201276AB,202610,202609,2,1284.997696,1541.997235
103,link,,,,201276BA,202609,202610,2,1075.923339,1291.108007
104,link,,,,201277AB,202608,202607,3,6713.941889,8056.730267
105,link,,,,201278AB,628,202617,9,2469.616828,2963.540194
106,link,,,,201278BA,202617,628,9,2592.126216,3110.551459
107,link,,,,201279AB,628,202746,9,0,0
108,link,,,,201279BA,202746,628,9,0,0
109,link,,,,201280AB,202606,202909,3,2147.455914,2576.947097
110,link,,,,201280BA,202909,202606,3,1496.955662,1796.346794
111,link,,,,201283AB,628,202745,9,1402.453424,1682.944109
112,link,,,,201283BA,202745,628,9,2188.389135,2626.066962
113,link,,,,201284AB,622,202617,9,715.805627,858.9667524
114,link,,,,201284BA,202617,622,9,1143.591832,1372.310198
115,link,,,,201285AB,202606,202615,1,2199.079716,2638.895659
116,link,,,,201285BA,202615,202606,1,2189.990366,2627.988439
117,link,,,,201286AB,202617,202606,3,4140.893313,4969.071976
118,link,,,,201286BA,202606,202617,3,3481.303711,4177.564453
119,link,,,,201287AB,622,202615,9,2744.164011,3292.996813
120,link,,,,201287BA,202615,622,9,2800.701013,3360.841216
121,link,,,,201288AB,202623,202616,1,601.621298,721.9455576
122,link,,,,201288BA,202616,202623,1,554.173645,665.008374
123,link,,,,201289AB,202613,202610,2,1284.997696,1541.997235
124,link,,,,201289BA,202610,202613,2,1075.923339,1291.108007
125,link,,,,201290AB,620,202904,9,71.629376,85.9552512
126,link,,,,201290BA,202904,620,9,68.661199,82.3934388
127,link,,,,201291AB,633,202730,9,1134.667748,1361.601298
128,link,,,,201291BA,202730,633,9,1299.540821,1559.448985
129,link,,,,201292AB,202618,202621,1,1549.119614,1858.943537
130,link,,,,201292BA,202621,202618,1,1219.247195,1463.096634
131,link,,,,201293AB,202604,202603,2,150.544841,180.6538092
132,link,,,,201293BA,202603,202604,2,47.842294,57.4107528
133,link,,,,201294AB,202604,202602,3,5889.603197,7067.523836
134,link,,,,201294BA,202602,202604,3,5822.04755,6986.45706
135,link,,,,201296AB,202600,202599,3,8636.22868,10363.47442
136,link,,,,201298AB,202597,202596,3,7451.342984,8941.611581
137,link,,,,201299AB,633,202603,9,0,0
138,link,,,,201299BA,202603,633,9,0,0
139,link,,,,201300AB,202621,202705,1,1565.314354,1878.377225
140,link,,,,201300BA,202705,202621,1,1717.841077,2061.409292
141,link,,,,201316AB,202618,202622,1,959.937252,1151.924702
142,link,,,,201316BA,202622,202618,1,924.469257,1109.363108
143,link,,,,201317AB,202602,202588,3,7269.777691,8723.733229
144,link,,,,201317BA,202588,202602,3,4957.150988,5948.581186
145,link,,,,201318AB,202588,202587,1,2855.636212,3426.763454
146,link,,,,201319AB,202607,202586,1,2118.235117,2541.88214
147,link,,,,201320AB,202618,202588,3,5490.763945,6588.916734
148,link,,,,201320BA,202588,202618,3,7065.989552,8479.187462
149,link,,,,201321AB,202585,202588,2,2118.235117,2541.88214
150,link,,,,201322AB,202586,202585,1,2118.235117,2541.88214
151,link,,,,201323AB,202599,202612,3,5022.154707,6026.585648
152,link,,,,201324AB,202607,202597,3,4595.706772,5514.848126
153,link,,,,201325AB,202602,202584,1,1369.002919,1642.803503
154,link,,,,201326AB,202599,202583,1,3614.073974,4336.888769
155,link,,,,201327AB,202587,202597,1,2855.636212,3426.763454
156,link,,,,201328AB,202582,202602,2,3614.073974,4336.888769
157,link,,,,201329AB,202583,202582,1,3614.073974,4336.888769
158,link,,,,201330AB,202584,202612,1,1369.002919,1642.803503
159,link,,,,201331AB,633,202743,9,828.407322,994.0887864
160,link,,,,201331BA,202743,633,9,1092.56618,1311.079416
161,link,,,,201333AB,624,202730,9,1680.148435,2016.178122
162,link,,,,201333BA,202730,624,9,1933.186743,2319.824092
163,link,,,,201334AB,202730,202619,2,1103.474721,1324.169665
164,link,,,,201334BA,202619,202730,2,998.765221,1198.518265
165,link,,,,201335AB,202604,202730,3,5762.909335,6915.491202
166,link,,,,201335BA,202730,202604,3,5933.16753,7119.801036
167,link,,,,201336AB,202614,202732,2,735.764126,882.9169512
168,link,,,,201336BA,202732,202614,2,956.818142,1148.18177
169,link,,,,201337AB,202609,202581,2,1284.997696,1541.997235
170,link,,,,201337BA,202581,202609,2,1075.923339,1291.108007
171,link,,,,201338AB,202581,202731,2,1521.506006,1825.807207
172,link,,,,201338BA,202731,202581,2,1819.785307,2183.742368
173,link,,,,201339AB,202620,202614,1,1514.110897,1816.933076
174,link,,,,201339BA,202614,202620,1,1526.090555,1831.308666
175,link,,,,201340AB,621,202581,9,2110.294477,2532.353372
176,link,,,,201340BA,202581,621,9,2617.648135,3141.177762
177,link,,,,201341AB,623,202731,9,2180.650824,2616.780989
178,link,,,,201341BA,202731,623,9,2459.389476,2951.267371
179,link,,,,201342AB,202580,202734,3,4256.099912,5107.319894
180,link,,,,201342BA,202734,202580,3,3935.774141,4722.928969
181,link,,,,201343AB,202611,202580,1,2713.154654,3255.785585
182,link,,,,201344AB,202611,202579,3,3678.002971,4413.603565
183,link,,,,201345AB,202767,202578,3,6612.505526,7935.006631
184,link,,,,201346AB,202790,202577,2,3982.865974,4779.439169
185,link,,,,201346BA,202577,202790,2,6802.196002,8162.635202
186,link,,,,201347AB,202790,202608,1,2308.55929,2770.271148
187,link,,,,201348AB,202578,202608,3,4405.382599,5286.459119
188,link,,,,201349AB,202579,202753,3,5458.624753,6550.349704
189,link,,,,201350AB,202576,202579,1,1780.621781,2136.746137
190,link,,,,201351AB,202577,202575,2,4889.233735,5867.080482
191,link,,,,201351BA,202575,202577,2,5501.440837,6601.729004
192,link,,,,201352AB,202578,202577,1,2207.122927,2648.547512
193,link,,,,201353AB,202575,202576,3,4889.233735,5867.080482
194,link,,,,201353BA,202576,202575,3,5501.440837,6601.729004
195,link,,,,201354AB,202576,202580,3,3880.009046,4656.010855
196,link,,,,201354BA,202580,202576,3,6272.837928,7527.405514
197,link,,,,201490AB,627,202525,9,2813.965962,3376.759154
198,link,,,,201490BA,202525,627,9,2694.642331,3233.570797
199,link,,,,201491AB,649,202764,9,343.947401,412.7368812
200,link,,,,201491BA,202764,649,9,455.919084,547.1029008
201,link,,,,201492AB,651,202524,9,1277.285472,1532.742566
202,link,,,,201492BA,202524,651,9,1257.591263,1509.109516
203,link,,,,201493AB,651,202523,9,2533.854628,3040.625554
204,link,,,,201493BA,202523,651,9,2130.68485,2556.82182
205,link,,,,201494AB,202523,202522,3,4447.307589,5336.769107
206,link,,,,201494BA,202522,202523,3,2772.586957,3327.104348
207,link,,,,201495AB,2197,202521,9,873.422555,1048.107066
208,link,,,,201495BA,202521,2197,9,576.411789,691.6941468
209,link,,,,201496AB,202520,202519,2,237.714806,285.2577672
210,link,,,,201496BA,202519,202520,2,1414.348815,1697.218578
211,link,,,,201497AB,202518,202517,2,1052.074651,1262.489581
212,link,,,,201497BA,202517,202518,2,1730.527278,2076.632734
213,link,,,,201498AB,202784,202522,2,1072.201461,1286.641753
214,link,,,,201498BA,202522,202784,2,2386.401823,2863.682188
215,link,,,,201499AB,202524,202517,3,430.124585,516.149502
216,link,,,,201499BA,202517,202524,3,1000.589832,1200.707798
217,link,,,,201500AB,202516,202525,3,4924.215121,5909.058145
218,link,,,,201500BA,202525,202516,3,4779.175521,5735.010625
219,link,,,,201501AB,202515,202514,3,2908.409173,3490.091008
220,link,,,,201501BA,202514,202515,3,2368.417624,2842.101149
221,link,,,,201502AB,202513,202512,3,4051.131725,4861.35807
222,link,,,,201502BA,202512,202513,3,4519.034267,5422.84112
223,link,,,,201504AB,626,202514,9,361.024526,433.2294312
224,link,,,,201504BA,202514,626,9,373.496511,448.1958132
225,link,,,,201505AB,637,202511,9,90.427216,108.5126592
226,link,,,,201505BA,202511,637,9,223.02218,267.626616
227,link,,,,201506AB,637,202510,9,967.747093,1161.296512
228,link,,,,201506BA,202510,637,9,1178.385034,1414.062041
229,link,,,,201507AB,2197,202513,9,70.933629,85.1203548
230,link,,,,201507BA,202513,2197,9,59.685797,71.6229564
231,link,,,,201508AB,202729,202744,2,2730.073791,3276.088549
232,link,,,,201508BA,202744,202729,2,2520.46469,3024.557628
233,link,,,,201509AB,202509,202508,3,4091.386633,4909.66396
234,link,,,,201509BA,202508,202509,3,4632.459958,5558.95195
235,link,,,,201510AB,202508,202510,2,2105.229993,2526.275992
236,link,,,,201510BA,202510,202508,2,1897.539581,2277.047497
237,link,,,,201512AB,637,202744,9,1451.584539,1741.901447
238,link,,,,201512BA,202744,637,9,1027.846317,1233.41558
239,link,,,,201513AB,637,202739,9,408.431522,490.1178264
240,link,,,,201513BA,202739,637,9,173.057342,207.6688104
241,link,,,,201514AB,202744,202728,2,2653.58575,3184.3029
242,link,,,,201514BA,202728,202744,2,2615.02838,3138.034056
243,link,,,,201517AB,202729,202511,3,4223.678226,5068.413871
244,link,,,,201517BA,202511,202729,3,4632.156587,5558.587904
245,link,,,,201518AB,202729,202514,3,2074.566002,2489.479202
246,link,,,,201518BA,202514,202729,3,2568.575817,3082.29098
247,link,,,,201519AB,625,202514,9,474.63273,569.559276
248,link,,,,201519BA,202514,625,9,508.142479,609.7709748
249,link,,,,201520AB,202511,202509,3,4091.386633,4909.66396
250,link,,,,201520BA,202509,202511,3,4632.459958,5558.95195
251,link,,,,201525AB,627,202513,9,2149.928941,2579.914729
252,link,,,,201525BA,202513,627,9,2017.397973,2420.877568
253,link,,,,201526AB,202508,202513,3,4887.312963,5864.775556
254,link,,,,201526BA,202513,202508,3,5498.994304,6598.793165
255,link,,,,201527AB,626,202508,9,2151.315587,2581.578704
256,link,,,,201527BA,202508,626,9,2014.233191,2417.079829
257,link,,,,201528AB,650,202506,9,1042.743952,1251.292742
258,link,,,,201528BA,202506,650,9,557.705639,669.2467668
259,link,,,,201529AB,2061,202515,9,1507.595851,1809.115021
260,link,,,,201529BA,202515,2061,9,1599.882444,1919.858933
261,link,,,,201530AB,202519,202518,2,436.583993,523.9007916
262,link,,,,201530BA,202518,202519,2,1455.533383,1746.64006
263,link,,,,201531AB,202519,202505,2,1166.05029,1399.260348
264,link,,,,201531BA,202505,202519,2,1323.734909,1588.481891
265,link,,,,201532AB,202735,202733,2,4073.172651,4887.807181
266,link,,,,201532BA,202733,202735,2,3379.990067,4055.98808
267,link,,,,201533AB,202735,202504,3,3733.366724,4480.040069
268,link,,,,201533BA,202504,202735,3,4065.915634,4879.098761
269,link,,,,201534AB,649,202505,9,1466.029956,1759.235947
270,link,,,,201534BA,202505,649,9,1753.075747,2103.690896
271,link,,,,201535AB,649,202761,9,146.584024,175.9008288
272,link,,,,201535BA,202761,649,9,173.390227,208.0682724
273,link,,,,201536AB,202505,202506,2,1647.994342,1977.59321
274,link,,,,201536BA,202506,202505,2,2092.724751,2511.269701
275,link,,,,201537AB,202735,202506,2,2650.43039,3180.516468
276,link,,,,201537BA,202506,202735,2,2690.738293,3228.885952
277,link,,,,201538AB,650,202518,9,996.219542,1195.46345
278,link,,,,201538BA,202518,650,9,655.722779,786.8673348
279,link,,,,201539AB,650,202524,9,1760.092723,2112.111268
280,link,,,,201539BA,202524,650,9,1240.385528,1488.462634
281,link,,,,201540AB,202524,202503,3,3795.292051,4554.350461
282,link,,,,201540BA,202503,202524,3,2685.4254,3222.51048
283,link,,,,201541AB,202516,202504,3,4779.175521,5735.010625
284,link,,,,201541BA,202504,202516,3,4924.215121,5909.058145
285,link,,,,201542AB,202515,202504,3,2802.92159,3363.505908
286,link,,,,201542BA,202504,202515,3,3435.199732,4122.239678
287,link,,,,201543AB,202504,202503,3,2685.4254,3222.51048
288,link,,,,201543BA,202503,202504,3,3795.292051,4554.350461
289,link,,,,201544AB,640,202502,9,1142.495007,1370.994008
290,link,,,,201544BA,202502,640,9,1308.600238,1570.320286
291,link,,,,201546AB,645,202782,9,366.040384,439.2484608
292,link,,,,201546BA,202782,645,9,384.144742,460.9736904
293,link,,,,201547AB,651,202522,9,0,0
294,link,,,,201547BA,202522,651,9,0,0
295,link,,,,201548AB,202512,202521,2,2265.880118,2719.056142
296,link,,,,201548BA,202521,202512,2,2018.507608,2422.20913
297,link,,,,201549AB,202500,202499,3,5842.763285,7011.315942
298,link,,,,201549BA,202499,202500,3,5042.34347,6050.812164
299,link,,,,201550AB,202500,202498,2,2859.415508,3431.29861
300,link,,,,201550BA,202498,202500,2,2700.784584,3240.941501
301,link,,,,201551AB,202499,202497,3,4807.389844,5768.867813
302,link,,,,201551BA,202497,202499,3,4623.987081,5548.784497
303,link,,,,201553AB,640,202521,9,50.628261,60.7539132
304,link,,,,201553BA,202521,640,9,63.610734,76.3328808
305,link,,,,201557AB,202521,202496,2,2385.846521,2863.015825
306,link,,,,201557BA,202496,202521,2,1854.445717,2225.33486
307,link,,,,201558AB,202525,202499,3,5970.076357,7164.091628
308,link,,,,201558BA,202499,202525,3,5705.713126,6846.855751
309,link,,,,201559AB,202499,202502,3,5956.599511,7147.919413
310,link,,,,201559BA,202502,202499,3,5075.219228,6090.263074
311,link,,,,201560AB,202512,202502,3,5321.040113,6385.248136
312,link,,,,201560BA,202502,202512,3,6036.315165,7243.578198
313,link,,,,201561AB,645,202498,9,2065.40635,2478.48762
314,link,,,,201561BA,202498,645,9,1751.778108,2102.13373
315,link,,,,201562AB,202498,202495,1,1017.271949,1220.726339
316,link,,,,201562BA,202495,202498,1,829.11973,994.943676
317,link,,,,201563AB,202497,202501,2,3819.582888,4583.499466
318,link,,,,201563BA,202501,202497,2,3544.334926,4253.201911
319,link,,,,201564AB,202497,202780,3,3451.276753,4141.532104
320,link,,,,201564BA,202780,202497,3,3259.015005,3910.818006
321,link,,,,201568AB,202498,202497,2,4149.833008,4979.79961
322,link,,,,201568BA,202497,202498,2,3865.726061,4638.871273
323,link,,,,201572AB,654,202522,9,417.452997,500.9435964
324,link,,,,201572BA,202522,654,9,499.457639,599.3491668
325,link,,,,201573AB,202522,202782,2,4006.576012,4807.891214
326,link,,,,201573BA,202782,202522,2,3728.060386,4473.672463
327,link,,,,201574AB,202782,202500,3,8702.178793,10442.61455
328,link,,,,201574BA,202500,202782,3,7743.128054,9291.753665
329,link,,,,201575AB,652,202520,9,0,0
330,link,,,,201575BA,202520,652,9,1162.051055,1394.461266
331,link,,,,201576AB,652,202784,9,826.086641,991.3039692
332,link,,,,201576BA,202784,652,9,2432.135066,2918.562079
333,link,,,,201577AB,202807,202764,1,2183.109109,2619.730931
334,link,,,,201577BA,202764,202807,1,1870.484144,2244.580973
335,link,,,,201578AB,202520,202493,2,252.29776,302.757312
336,link,,,,201578BA,202493,202520,2,237.714806,285.2577672
337,link,,,,201579AB,202493,202784,2,375.84744,451.016928
338,link,,,,201579BA,202784,202493,2,402.606906,483.1282872
339,link,,,,201580AB,652,202492,9,2520.468728,3024.562474
340,link,,,,201580BA,202492,652,9,0,0
341,link,,,,201581AB,202517,202523,3,2337.535169,2805.042203
342,link,,,,201581BA,202523,202517,3,1065.984316,1279.181179
343,link,,,,201582AB,202492,202517,1,2520.468728,3024.562474
344,link,,,,201583AB,653,202493,9,606.353883,727.6246596
345,link,,,,201583BA,202493,653,9,647.696302,777.2355624
346,link,,,,201589AB,202488,202768,2,6612.505526,7935.006631
347,link,,,,201590AB,202752,202487,2,5458.624753,6550.349704
348,link,,,,201592AB,202485,202484,1,99.203872,119.0446464
349,link,,,,201592BA,202484,202485,1,133.002219,159.6026628
350,link,,,,201594AB,619,202484,9,2.276769,2.7321228
351,link,,,,201594BA,202484,619,9,2.14487,2.573844
352,link,,,,201595AB,202925,202796,2,4072.361248,4886.833498
353,link,,,,201595BA,202796,202925,2,3998.98881,4798.786572
354,link,,,,201596AB,202482,202481,1,545.063431,654.0761172
355,link,,,,201596BA,202481,202482,1,406.422399,487.7068788
356,link,,,,201597AB,202482,202480,2,965.04241,1158.050892
357,link,,,,201597BA,202480,202482,2,1316.145895,1579.375074
358,link,,,,201600AB,202481,202479,1,0,0
359,link,,,,201600BA,202479,202481,1,0,0
360,link,,,,201601AB,202477,202481,1,406.422399,487.7068788
361,link,,,,201601BA,202481,202477,1,545.063431,654.0761172
362,link,,,,201602AB,617,202477,9,406.422399,487.7068788
363,link,,,,201602BA,202477,617,9,545.063431,654.0761172
364,link,,,,201603AB,2142,202796,9,325.27492,390.329904
365,link,,,,201603BA,202796,2142,9,424.630341,509.5564092
366,link,,,,201604AB,202476,202809,2,1108.971338,1330.765606
367,link,,,,201604BA,202809,202476,2,1501.467735,1801.761282
368,link,,,,201605AB,202476,202480,2,1501.467735,1801.761282
369,link,,,,201605BA,202480,202476,2,1108.971338,1330.765606
370,link,,,,201606AB,202796,202809,2,4294.696908,5153.63629
371,link,,,,201606BA,202809,202796,2,4319.082948,5182.899538
372,link,,,,201607AB,619,202480,9,163.493449,196.1921388
373,link,,,,201607BA,202480,619,9,204.88636,245.863632
374,link,,,,201610AB,202482,202475,1,153.651851,184.3822212
375,link,,,,201610BA,202475,202482,1,113.657879,136.3894548
376,link,,,,201611AB,202478,202482,1,460.942575,553.13109
377,link,,,,201611BA,202482,202478,1,633.411056,760.0932672
378,link,,,,201613AB,2136,202474,9,17.073338,20.4880056
379,link,,,,201613BA,202474,2136,9,23.400863,28.0810356
380,link,,,,201614AB,202474,202484,1,131.287513,157.5450156
381,link,,,,201614BA,202484,202474,1,97.621066,117.1452792
382,link,,,,201615AB,202474,202475,1,113.657879,136.3894548
383,link,,,,201615BA,202475,202474,1,153.651851,184.3822212
384,link,,,,201633AB,2147,202485,9,28.762292,34.5147504
385,link,,,,201633BA,202485,2147,9,40.148577,48.1782924
386,link,,,,201634AB,202487,202467,2,5458.624753,6550.349704
387,link,,,,201635AB,202466,202488,2,6612.505526,7935.006631
388,link,,,,201636AB,202763,202762,1,1822.99436,2187.593232
389,link,,,,201636BA,202762,202763,1,1632.246118,1958.695342
390,link,,,,201637AB,202465,202464,1,507.939711,609.5276532
391,link,,,,201637BA,202464,202465,1,553.882951,664.6595412
392,link,,,,201638AB,646,202762,9,1805.636345,2166.763614
393,link,,,,201638BA,202762,646,9,1969.578384,2363.494061
394,link,,,,201639AB,2137,202485,9,71.819104,86.1829248
395,link,,,,201639BA,202485,2137,9,94.231165,113.077398
396,link,,,,201640AB,647,202763,9,95.804335,114.965202
397,link,,,,201640BA,202763,647,9,105.709375,126.85125
398,link,,,,201641AB,767,202463,9,0,0
399,link,,,,201641BA,202463,767,9,0,0
400,link,,,,201642AB,202467,202748,2,5458.624753,6550.349704
401,link,,,,201643AB,202463,202464,1,0,0
402,link,,,,201643BA,202464,202463,1,0,0
403,link,,,,201644AB,202749,202466,2,6612.505526,7935.006631
404,link,,,,201645AB,202788,202748,3,3619.637579,4343.565095
405,link,,,,201645BA,202748,202788,3,4318.90796,5182.689552
406,link,,,,201646AB,202748,202749,3,1653.209741,1983.851689
407,link,,,,201646BA,202749,202748,3,2665.553172,3198.663806
408,link,,,,201647AB,767,202759,9,28.701352,34.4416224
409,link,,,,201647BA,202759,767,9,28.701399,34.4416788
410,link,,,,201648AB,202759,202464,2,553.882951,664.6595412
411,link,,,,201648BA,202464,202759,2,507.939711,609.5276532
412,link,,,,201649AB,2148,202465,9,0.140982,0.1691784
413,link,,,,201649BA,202465,2148,9,0.140982,0.1691784
414,link,,,,201650AB,766,202465,9,627.111273,752.5335276
415,link,,,,201650BA,202465,766,9,671.263254,805.5159048
416,link,,,,201651AB,202465,202462,1,120.282734,144.3392808
417,link,,,,201651BA,202462,202465,1,118.491476,142.1897712
418,link,,,,201652AB,202462,202755,1,120.282734,144.3392808
419,link,,,,201652BA,202755,202462,1,118.491476,142.1897712
420,link,,,,201810AB,202803,202370,2,2145.818323,2574.981988
421,link,,,,201810BA,202370,202803,2,2683.275056,3219.930067
422,link,,,,201823AB,202783,202354,3,9262.626429,11115.15171
423,link,,,,201823BA,202354,202783,3,10369.34521,12443.21425
424,link,,,,201824AB,202353,202808,2,3415.676851,4098.812221
425,link,,,,201824BA,202808,202353,2,3545.054277,4254.065132
426,link,,,,201827AB,202783,202370,2,2683.275056,3219.930067
427,link,,,,201827BA,202370,202783,2,2145.818323,2574.981988
428,link,,,,201828AB,202783,202353,3,3415.676851,4098.812221
429,link,,,,201828BA,202353,202783,3,3545.054277,4254.065132
430,link,,,,201844AB,202785,202804,2,3837.098232,4604.517878
431,link,,,,201844BA,202804,202785,2,3679.473244,4415.367893
432,link,,,,201847AB,202785,202803,2,1985.740935,2382.889122
433,link,,,,201847BA,202803,202785,2,2461.973453,2954.368144
434,link,,,,201848AB,202789,202806,2,3809.431756,4571.318107
435,link,,,,201848BA,202806,202789,2,3662.794487,4395.353384
436,link,,,,201849AB,202789,202804,2,4096.089094,4915.306913
437,link,,,,201849BA,202804,202789,2,4046.122855,4855.347426
438,link,,,,202429AB,202766,202756,2,118.491476,142.1897712
439,link,,,,202429BA,202756,202766,2,120.282734,144.3392808
