measurement_id,measurement_type,o_zone_id,d_zone_id,upper_bound_flag3,link_id,from_node_id,to_node_id,lanes,count3,count1
1,link,,,0,200820AB,202925,202924,1,195.784272,234.9411264
2,link,,,0,200820BA,202924,202925,1,146.298693,175.5584316
3,link,,,0,200821AB,202925,202923,2,3833.200902,4599.841082
4,link,,,0,200821BA,202923,202925,2,3956.05892,4747.270704
5,link,,,0,200831AB,202909,202908,2,2147.455914,2576.947097
6,link,,,0,200831BA,202908,202909,2,1496.955662,1796.346794
7,link,,,0,200833AB,202905,202904,1,7.835373,9.4024476
8,link,,,0,200833BA,202904,202905,1,9.206607,11.0479284
9,link,,,0,200846AB,615,202905,9,7.536663,9.0439956
10,link,,,0,200846BA,202905,615,9,8.871617,10.6459404
11,link,,,0,200917AB,602,202908,9,10.906313,13.0875756
12,link,,,0,200917BA,202908,602,9,7.964687,9.5576244
13,link,,,0,200932AB,2166,202855,9,541.407288,649.6887456
14,link,,,0,200932BA,202855,2166,9,722.66369,867.196428
15,link,,,0,200947AB,202855,202908,2,1491.962135,1790.354562
16,link,,,0,200947BA,202908,202855,2,2145.404012,2574.484814
17,link,,,0,200984AB,2146,202923,9,0.032876,0.0394512
18,link,,,0,200984BA,202923,2146,9,0.03289,0.039468
19,link,,,0,200985AB,202924,202831,1,0.574424,0.6893088
20,link,,,0,200985BA,202831,202924,1,0.574429,0.6893148
21,link,,,0,200989AB,2146,202831,9,0.574429,0.6893148
22,link,,,0,200989BA,202831,2146,9,0.574424,0.6893088
23,link,,,0,200997AB,615,202825,9,135.820438,162.9845256
24,link,,,0,200997BA,202825,615,9,183.023649,219.6283788
25,link,,,0,200998AB,202824,202894,1,12.60858,15.130296
26,link,,,0,200998BA,202894,202824,1,10.326207,12.3914484
27,link,,,0,201000AB,202825,202824,2,12.60858,15.130296
28,link,,,0,201000BA,202824,202825,2,10.326207,12.3914484
29,link,,,0,201001AB,202924,202825,2,195.210957,234.2531484
30,link,,,0,201001BA,202825,202924,2,145.725373,174.8704476
31,link,,,0,201003AB,202926,202923,2,3901.185898,4681.423078
32,link,,,0,201003BA,202923,202926,2,3796.680263,4556.016316
33,link,,,0,201005AB,2125,202923,9,77.841604,93.4099248
34,link,,,0,201005BA,202923,2125,9,59.489208,71.3870496
35,link,,,0,201046AB,620,202809,9,943.142739,1131.771287
36,link,,,0,201046BA,202809,620,9,1037.031042,1244.43725
37,link,,,0,201047AB,645,202808,9,2245.231094,2694.277313
38,link,,,0,201047BA,202808,645,9,2047.438715,2456.926458
39,link,,,0,201048AB,647,202807,9,1657.814435,1989.377322
40,link,,,0,201048BA,202807,647,9,1847.856344,2217.427613
41,link,,,0,201051AB,653,202804,9,999.551625,1199.46195
42,link,,,0,201051BA,202804,653,9,1207.142851,1448.571421
43,link,,,0,201052AB,654,202803,9,472.753202,567.3038424
44,link,,,0,201052BA,202803,654,9,533.977418,640.7729016
45,link,,,0,201061AB,202796,202904,1,60.825825,72.99099
46,link,,,0,201061BA,202904,202796,1,62.422769,74.9073228
47,link,,,0,201065AB,202809,202790,2,6191.720068,7430.064082
48,link,,,0,201065BA,202790,202809,2,6702.490806,8042.988967
49,link,,,0,201066AB,202807,202789,1,2366.986347,2840.383616
50,link,,,0,201066BA,202789,202807,1,2415.114284,2898.137141
51,link,,,0,201067AB,202807,202788,1,1040.082737,1248.099284
