link_id,link_no,from_node_id,to_node_id,link_type,link_type_name,lanes,link_distance_VDF,free_speed,cutoff_speed,fftt,capacity,allow_uses,BPR_plf,BPR_alpha,BPR_beta,QVDF_qdf,QVDF_alpha,QVDF_beta,QVDF_cd,QVDF_n,geometry
200820AB,0,202925,202924,4,,0,1.026350,39.000000,33.150002,1.579000,500.000000,sov;hov2;hov3;sut;mut,1.000000,0.078977,1.695000,-1.000000,0.272877,1.141574,0.954946,1.141574,"LINESTRING (-112.446534 33.715240, -112.463350 33.712930)",
200820BA,1,202924,202925,4,,0,1.026350,39.000000,33.150002,1.579000,500.000000,sov;hov2;hov3;sut;mut,1.000000,0.078977,1.695000,-1.000000,0.272877,1.141574,0.954946,1.141574,"LINESTRING (-112.462914 33.709754, -112.446098 33.712064)",
200821AB,2,202925,202923,2,,0,1.166280,56.000000,47.599998,1.249586,900.000000,sov;hov2;hov3;sut;mut,1.000000,0.078977,1.695000,-1.000000,0.272877,1.141574,0.954946,1.141574,"LINESTRING (-112.445319 33.714907, -112.459997 33.726565)",
200821BA,3,202923,202925,2,,0,1.166280,56.000000,47.599998,1.249586,900.000000,sov;hov2;hov3;sut;mut,1.000000,0.078977,1.695000,-1.000000,0.272877,1.141574,0.954946,1.141574,"LINESTRING (-112.461991 33.724055, -112.447313 33.712397)",
200831AB,4,202909,202908,2,,0,0.504980,39.000000,33.150002,0.776892,900.000000,sov;hov2;hov3;sut;mut,1.000000,0.078977,1.695000,-1.000000,0.272877,1.141574,0.954946,1.141574,"LINESTRING (-112.452710 33.640116, -112.461465 33.639989)",
200831BA,5,202908,202909,2,,0,0.504980,39.000000,33.150002,0.776892,900.000000,sov;hov2;hov3;sut;mut,1.000000,0.078977,1.695000,-1.000000,0.272877,1.141574,0.954946,1.141574,"LINESTRING (-112.461419 33.636783, -112.452664 33.636910)",
200833AB,6,202905,202904,4,,0,2.177050,40.000000,34.000000,3.265575,500.000000,sov;hov2;hov3;sut;mut,1.000000,0.078977,1.695000,-1.000000,0.272877,1.141574,0.954946,1.141574,"LINESTRING (-112.478596 33.680470, -112.440812 33.680415)",
200833BA,7,202904,202905,4,,0,2.177050,40.000000,34.000000,3.265575,500.000000,sov;hov2;hov3;sut;mut,1.000000,0.078977,1.695000,-1.000000,0.272877,1.141574,0.954946,1.141574,"LINESTRING (-112.440808 33.683621, -112.478592 33.683676)",
200846AB,8,615,202905,9,,0,1.220070,20.000000,17.000000,3.660210,99999.000000,sov;hov2;hov3;sut;mut,1.000000,0.078977,1.695000,-1.000000,0.272877,1.141574,0.954946,1.141574,"LINESTRING (-112.462929 33.694446, -112.479483 33.683406)",
200846BA,9,202905,615,9,,0,1.220070,20.000000,17.000000,3.660210,99999.000000,sov;hov2;hov3;sut;mut,1.000000,0.078977,1.695000,-1.000000,0.272877,1.141574,0.954946,1.141574,"LINESTRING (-112.477705 33.680740, -112.461151 33.691780)",
