link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,macro_node_id,macro_link_id,mvmt_txt_id
0,0,100,,1,183.6,1,1000,30,residential,6,,"LINESTRING (-111.9303716 33.4231908, -111.9303635 33.4232219, -111.9303510 33.4232900, -111.9302737 33.4236834, -111.9302605 33.4237464, -111.9302459 33.4237931, -111.9302114 33.4238492, -111.9301863 33.4238748, -111.9301431 33.4239040, -111.9300963 33.4239248, -111.9299099 33.4239894, -111.9296717 33.4240719, -111.9296489 33.4240797, -111.9292065 33.4242272, -111.9291481 33.4242448)",,0,
1,101,1,,1,190.74,1,1000,30,residential,6,,"LINESTRING (-111.9291735 33.4243042, -111.9292331 33.4242862, -111.9296771 33.4241383, -111.9297003 33.4241303, -111.9299387 33.4240478, -111.9301283 33.4239820, -111.9301847 33.4239570, -111.9302395 33.4239200, -111.9302746 33.4238842, -111.9303167 33.4238159, -111.9303341 33.4237598, -111.9303479 33.4236940, -111.9304254 33.4233000, -111.9304375 33.4232335, -111.9304453 33.4232039)",,1,
2,200,34900,,1,95.31,1,1000,40,residential,6,,"LINESTRING (-111.9411829 33.4243073, -111.9407081 33.4243093, -111.9401577 33.4243129)",,2,
3,34901,201,,1,95.29,1,1000,40,residential,6,,"LINESTRING (-111.9401582 33.4243760, -111.9407085 33.4243725, -111.9411832 33.4243704)",,3,
4,400,500,,1,73.88,1,1000,40,residential,6,,"LINESTRING (-111.9375467 33.4243264, -111.9375407 33.4243265, -111.9373580 33.4243267, -111.9367571 33.4243274, -111.9367520 33.4243274)",,4,
5,501,401,,1,74.0,1,1000,40,residential,6,,"LINESTRING (-111.9367521 33.4243906, -111.9367573 33.4243906, -111.9373582 33.4243899, -111.9375415 33.4243897, -111.9375481 33.4243896)",,5,
6,502,600,,1,140.98,1,1000,40,residential,6,,"LINESTRING (-111.9365797 33.4243280, -111.9365602 33.4243281, -111.9362335 33.4243301, -111.9358558 33.4243323, -111.9355125 33.4243344, -111.9354019 33.4243103, -111.9353889 33.4243090, -111.9353110 33.4243008, -111.9351056 33.4243048, -111.9350963 33.4243050, -111.9350677 33.4243045)",,6,
7,601,503,,1,141.18,1,1000,40,residential,6,,"LINESTRING (-111.9350662 33.4243677, -111.9350965 33.4243682, -111.9351059 33.4243680, -111.9353072 33.4243640, -111.9353835 33.4243720, -111.9353877 33.4243725, -111.9355031 33.4243976, -111.9358564 33.4243955, -111.9362341 33.4243933, -111.9365608 33.4243913, -111.9365802 33.4243912)",,7,
8,700,800,,1,139.88,1,1000,30,residential,6,,"LINESTRING (-111.9412955 33.4218554, -111.9412858 33.4215179, -111.9412853 33.4215009, -111.9412808 33.4213243, -111.9412794 33.4212871, -111.9412780 33.4212291, -111.9412775 33.4211994, -111.9412689 33.4205940)",,8,
9,801,701,,1,140.43,1,1000,30,residential,6,,"LINESTRING (-111.9411936 33.4205949, -111.9412023 33.4212002, -111.9412028 33.4212301, -111.9412042 33.4212887, -111.9412056 33.4213259, -111.9412101 33.4215023, -111.9412106 33.4215195, -111.9412203 33.4218614)",,9,
10,900,1000,,1,115.03,1,1000,30,residential,6,,"LINESTRING (-111.9423034 33.4136873, -111.9423114 33.4142605, -111.9423221 33.4144761, -111.9423366 33.4146547, -111.9423541 33.4147006, -111.9423674 33.4147187)",,10,
11,1001,901,,1,111.21,1,1000,30,residential,6,,"LINESTRING (-111.9424315 33.4146855, -111.9424229 33.4146740, -111.9424110 33.4146427, -111.9423973 33.4144727, -111.9423866 33.4142589, -111.9423786 33.4136866)",,11,
12,1100,1200,,1,0.75,1,1000,30,residential,6,,"LINESTRING (-111.9423701 33.4190231, -111.9423651 33.4190285)",,12,
13,1201,1101,,1,0.4,1,1000,30,residential,6,,"LINESTRING (-111.9424268 33.4190648, -111.9424295 33.4190619)",,13,
14,1202,1300,,1,139.77,1,1000,30,residential,6,,"LINESTRING (-111.9423286 33.4190995, -111.9423226 33.4191322, -111.9423282 33.4196110, -111.9423304 33.4197266, -111.9423335 33.4201220, -111.9423382 33.4203597)",,14,
15,1301,1203,,1,136.22,1,1000,30,residential,6,,"LINESTRING (-111.9424134 33.4203584, -111.9424087 33.4201212, -111.9424056 33.4197258, -111.9424034 33.4196102, -111.9423980 33.4191366, -111.9423992 33.4191299)",,15,
16,35000,1500,,1,145.24,2,1800,80,primary,3,,"LINESTRING (-111.9395163 33.4158756, -111.9394011 33.4157327, -111.9392425 33.4155500, -111.9389322 33.4153003, -111.9388168 33.4152112, -111.9386707 33.4151129, -111.9384028 33.4149776)",,16,
17,1501,1601,,1,79.67,2,1800,80,primary,3,,"LINESTRING (-111.9381764 33.4148740, -111.9381040 33.4148441, -111.9378250 33.4147525, -111.9375837 33.4146896, -111.9373658 33.4146465)",,17,
18,1601,1700,,1,32.19,2,1800,80,primary,3,,"LINESTRING (-111.9373658 33.4146465, -111.9370926 33.4146142, -111.9370226 33.4146085)",,18,
19,1800,1900,,1,49.11,1,1000,40,residential,6,,"LINESTRING (-111.9401639 33.4264935, -111.9406922 33.4264905)",,19,
20,1901,1801,,1,49.11,1,1000,40,residential,6,,"LINESTRING (-111.9406917 33.4264274, -111.9401634 33.4264304)",,20,
21,35100,35200,,1,131.83,3,1800,48,primary,3,,"LINESTRING (-111.9400860 33.4218085, -111.9400874 33.4217822, -111.9400779 33.4214219, -111.9400726 33.4212626, -111.9400612 33.4209214, -111.9400511 33.4206199)",,21,
22,35300,2300,,1,96.76,1,1000,30,residential,6,,"LINESTRING (-111.9401089 33.4190951, -111.9404616 33.4190929, -111.9404885 33.4190924, -111.9406072 33.4190918, -111.9411496 33.4190889)",,22,
23,2301,35301,,1,95.87,1,1000,30,residential,6,,"LINESTRING (-111.9411491 33.4190258, -111.9406068 33.4190286, -111.9404875 33.4190292, -111.9404604 33.4190297, -111.9401180 33.4190319)",,23,
