link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,macro_node_id,macro_link_id,mvmt_txt_id
0,0,100,,1,47.03,1,1000,40,residential,6,,"LINESTRING (24.8348605 60.1890628, 24.8349772 60.1892114, 24.8350085 60.1892512, 24.8351998 60.1894496)",,0,
1,101,1,,1,45.38,1,1000,40,residential,6,,"LINESTRING (24.8350860 60.1894767, 24.8348927 60.1892762, 24.8348478 60.1892192, 24.8347573 60.1891039)",,1,
2,200,300,,1,67.83,1,1000,30,residential,6,,"LINESTRING (24.8322828 60.1837962, 24.8323114 60.1837745, 24.8323382 60.1837408, 24.8323567 60.1837176, 24.8324877 60.1836441, 24.8327473 60.1835127, 24.8329912 60.1833762, 24.8330940 60.1833523)",,2,
3,301,201,,1,67.57,1,1000,30,residential,6,,"LINESTRING (24.8331473 60.1834093, 24.8330682 60.1834276, 24.8328395 60.1835557, 24.8325799 60.1836871, 24.8324659 60.1837510, 24.8324530 60.1837672, 24.8324240 60.1838037, 24.8323585 60.1838533, 24.8323476 60.1838558)",,3,
4,400,500,,1,13.54,4,1600,80,secondary,4,,"LINESTRING (24.8099148 60.1857593, 24.8099312 60.1857646, 24.8101192 60.1858258)",,4,
5,600,700,,1,29.85,1,800,40,unclassified,11,,"LINESTRING (24.8168580 60.1842637, 24.8173869 60.1843131)",,5,
6,701,601,,1,29.85,1,800,40,unclassified,11,,"LINESTRING (24.8173637 60.1843749, 24.8168348 60.1843255)",,6,
7,800,900,,1,53.05,1,1000,30,residential,6,,"LINESTRING (24.8347354 60.1826983, 24.8348851 60.1826240, 24.8351862 60.1824222, 24.8353372 60.1823292)",,7,
8,901,801,,1,53.81,1,1000,30,residential,6,,"LINESTRING (24.8354354 60.1823686, 24.8352860 60.1824608, 24.8349809 60.1826652, 24.8348245 60.1827428)",,8,
9,1001,24600,,1,10.1,1,1200,40,tertiary,5,,"LINESTRING (24.8224307 60.1865340, 24.8223746 60.1864478)",,9,
10,1200,1300,,1,9.72,1,800,30,unclassified,11,,"LINESTRING (24.8249329 60.1893946, 24.8250346 60.1893623, 24.8250806 60.1893477)",,10,
11,1301,1201,,1,9.71,1,800,30,unclassified,11,,"LINESTRING (24.8251483 60.1894007, 24.8251024 60.1894153, 24.8250007 60.1894476)",,11,
12,1400,1500,,1,225.05,1,1200,40,tertiary,5,,"LINESTRING (24.8234735 60.1877524, 24.8235003 60.1877506, 24.8235865 60.1877351, 24.8237342 60.1876953, 24.8242087 60.1875521, 24.8242541 60.1875384, 24.8243743 60.1875021, 24.8247979 60.1873731, 24.8249200 60.1873353, 24.8250132 60.1873088, 24.8254811 60.1871739, 24.8255693 60.1871485, 24.8259161 60.1870483, 24.8264370 60.1868978, 24.8269460 60.1867467, 24.8269775 60.1867374)",,12,
13,1501,1401,,1,227.91,1,1200,40,tertiary,5,,"LINESTRING (24.8269969 60.1868048, 24.8265010 60.1869520, 24.8263914 60.1869836, 24.8256325 60.1872029, 24.8255443 60.1872283, 24.8250762 60.1873632, 24.8249846 60.1873893, 24.8248641 60.1874266, 24.8244399 60.1875557, 24.8243195 60.1875922, 24.8242741 60.1876059, 24.8237970 60.1877499, 24.8236383 60.1877927, 24.8235305 60.1878120, 24.8234664 60.1878163, 24.8234374 60.1878164)",,13,
