node_id,zone_id,x_coord,y_coord,macro_node_id,macro_link_id,activity_type,is_boundary
0,,24.8348605,60.1890628,0,,residential,0
100,,24.8351998,60.1894496,1,,residential,0
101,,24.835086,60.1894767,1,,residential,0
1,,24.8347573,60.1891039,0,,residential,0
200,,24.8322828,60.1837962,2,,unclassified,0
300,,24.833094,60.1833523,3,,residential,-1
301,,24.8331473,60.1834093,3,,residential,1
201,,24.8323476,60.1838558,2,,unclassified,0
400,,24.8099148,60.1857593,4,,secondary,0
500,,24.8101192,60.1858258,5,,secondary,0
600,,24.816858,60.1842637,6,,unclassified,0
700,,24.8173869,60.1843131,7,,unclassified,0
701,,24.8173637,60.1843749,7,,unclassified,0
601,,24.8168348,60.1843255,6,,unclassified,0
800,,24.8347354,60.1826983,8,,residential,1
900,,24.8353372,60.1823292,9,,residential,0
901,,24.8354354,60.1823686,9,,residential,0
801,,24.8348245,60.1827428,8,,residential,-1
24600,,24.8223746,60.1864478,246,,tertiary,0
1200,,24.8249329,60.1893946,12,,unclassified,1
1300,,24.8250806,60.1893477,13,,unclassified,0
1301,,24.8251483,60.1894007,13,,unclassified,0
1201,,24.8250007,60.1894476,12,,unclassified,-1
1400,,24.8234735,60.1877524,14,,tertiary,0
1500,,24.8269775,60.1867374,15,,tertiary,0
1501,,24.8269969,60.1868048,15,,tertiary,0
1401,,24.8234374,60.1878164,14,,tertiary,0
1600,,24.8339941,60.1905491,16,,residential,0
102,,24.8350944,60.1895835,1,,residential,0
103,,24.8352121,60.1896062,1,,residential,0
1601,,24.8340955,60.1905865,16,,residential,0
1700,,24.8373862,60.1801118,17,,secondary,0
1800,,24.8358544,60.1798968,18,,secondary,0
1900,,24.8352008,60.1876372,19,,residential,0
2000,,24.8389939,60.1896952,20,,residential,0
2001,,24.8388851,60.1897271,20,,residential,0
1901,,24.8352134,60.1876998,19,,residential,0
2100,,24.8280841,60.1839843,21,,tertiary,0
2200,,24.8277448,60.1834866,22,,tertiary,0
2201,,24.8278635,60.1834653,22,,tertiary,0
2101,,24.8281492,60.1839189,21,,tertiary,0
2202,,24.827628,60.1833622,22,,tertiary,0
2300,,24.8269641,60.1830148,23,,tertiary,0
2301,,24.827051,60.1829692,23,,tertiary,0
2203,,24.8277369,60.1833305,22,,tertiary,0
2302,,24.8267537,60.1829179,23,,tertiary,0
2400,,24.8252518,60.1822138,24,,tertiary,0
2401,,24.8253403,60.1821689,24,,tertiary,0
2303,,24.8268379,60.182871,23,,tertiary,0
2402,,24.825046,60.1821125,24,,tertiary,0
2500,,24.8245778,60.181903,25,,tertiary,0
2501,,24.8246622,60.1818562,25,,tertiary,0
2403,,24.8251359,60.1820682,24,,tertiary,0
2600,,24.8294565,60.1791973,26,,tertiary,0
2700,,24.8277484,60.1815518,27,,unclassified,0
2701,,24.827623,60.1815414,27,,unclassified,0
2601,,24.8293375,60.1791764,26,,tertiary,0
2702,,24.8277287,60.1816878,27,,unclassified,0
2304,,24.8270459,60.1829099,23,,tertiary,0
2305,,24.8269518,60.1828681,23,,tertiary,0
2703,,24.8275954,60.1816872,27,,unclassified,0
2800,,24.822734,60.1818078,28,,tertiary,0
2900,,24.8231355,60.1821457,29,,unclassified,0
2901,,24.8230297,60.18218,29,,unclassified,0
2801,,24.8226145,60.1818294,28,,tertiary,0
3000,,24.8307356,60.1809515,30,,unclassified,1
3100,,24.8318877,60.179507,31,,tertiary,0
3101,,24.8320059,60.179529,31,,tertiary,0
3001,,24.8308505,60.1809775,30,,unclassified,-1
1701,,24.837834,60.1801016,17,,secondary,0
3200,,24.8385557,60.1801885,32,,secondary,0
3201,,24.8385112,60.1802801,32,,secondary,0
1702,,24.8377895,60.1801932,17,,secondary,0
2704,,24.8275095,60.1816478,27,,unclassified,0
2404,,24.8253339,60.1821059,24,,tertiary,0
2405,,24.8252369,60.1820657,24,,tertiary,0
2705,,24.8275098,60.181585,27,,unclassified,0
3300,,24.8306625,60.1821084,33,,unclassified,0
2204,,24.8279101,60.1833943,22,,tertiary,0
2205,,24.8278395,60.1833422,22,,tertiary,0
3301,,24.8305749,60.182063,33,,unclassified,0
3400,,24.8315776,60.1831469,34,,tertiary,0
3500,,24.8317081,60.1832718,35,,tertiary,0
3501,,24.8315891,60.1832936,35,,tertiary,0
3401,,24.8314645,60.1831749,34,,tertiary,0
3700,,24.8346074,60.1800052,37,,tertiary,0
3800,,24.8345357,60.1801745,38,,tertiary,0
3900,,24.8345305,60.1801835,39,,tertiary,0
3901,,24.8344142,60.1801575,39,,tertiary,0
3801,,24.8344194,60.1801485,38,,tertiary,0
3802,,24.8344757,60.1800508,38,,tertiary,0
4200,,24.8349801,60.1792347,42,,tertiary,0
4300,,24.8103202,60.1874394,43,,unclassified,0
4400,,24.8102706,60.1875005,44,,unclassified,0
4401,,24.8101476,60.1874865,44,,unclassified,0
4301,,24.810212,60.1874071,43,,unclassified,0
4500,,24.8322122,60.1838198,45,,unclassified,0
202,,24.8322285,60.1838322,2,,unclassified,0
203,,24.8321204,60.1838648,2,,unclassified,0
4501,,24.8321041,60.1838524,45,,unclassified,0
204,,24.8323149,60.1839074,2,,unclassified,0
4600,,24.8334208,60.1847122,46,,unclassified,0
4601,,24.8333878,60.1847729,46,,unclassified,0
205,,24.8322048,60.1839381,2,,unclassified,0
1902,,24.834944,60.187714,19,,residential,0
4700,,24.8348597,60.1877351,47,,tertiary,0
4900,,24.8112654,60.1848922,49,,trunk,0
1703,,24.8374738,60.1800888,17,,secondary,0
4201,,24.8350673,60.1792769,42,,tertiary,0
5400,,24.8122982,60.1862983,54,,tertiary,0
5500,,24.8123547,60.1863311,55,,tertiary,0
5501,,24.8124147,60.1864143,55,,tertiary,0
5600,,24.8124258,60.1864354,56,,tertiary,0
5700,,24.8100124,60.1859289,57,,secondary,0
5800,,24.8098247,60.1858607,58,,secondary,0
5900,,24.8351068,60.1791183,59,,tertiary,1
4202,,24.8351065,60.1791443,42,,tertiary,0
4203,,24.8349803,60.1791521,42,,tertiary,0
5901,,24.8349806,60.179118,59,,tertiary,-1
6000,,24.8347649,60.187672,60,,tertiary,0
1903,,24.8349209,60.1876621,19,,residential,0
501,,24.8103318,60.1858935,5,,secondary,0
6100,,24.8107639,60.1860307,61,,secondary,0
6200,,24.8253232,60.1791323,62,,tertiary,0
6300,,24.8254418,60.1790793,63,,tertiary,0
6301,,24.8255216,60.1791279,63,,tertiary,0
6201,,24.8254093,60.1791783,62,,tertiary,0
6400,,24.8218991,60.1789588,64,,tertiary,0
6500,,24.8219738,60.1789632,65,,tertiary,0
6501,,24.8221514,60.178978,65,,tertiary,0
6600,,24.8230642,60.1790874,66,,tertiary,0
6700,,24.8217097,60.1790438,67,,tertiary,0
6800,,24.8214842,60.1790332,68,,tertiary,-1
6900,,24.8238767,60.1813747,69,,tertiary,0
7000,,24.8249191,60.1800911,70,,tertiary,0
7001,,24.8250442,60.1800994,70,,tertiary,0
6901,,24.8239643,60.18142,69,,tertiary,0
7002,,24.8249369,60.1799524,70,,tertiary,0
7100,,24.8246246,60.1795668,71,,tertiary,0
7101,,24.8247483,60.1795542,71,,tertiary,0
7003,,24.8250631,60.179952,70,,tertiary,0
7200,,24.8159204,60.1839062,72,,tertiary,0
7300,,24.8159555,60.183837,73,,tertiary,0
401,,24.8100037,60.1856596,4,,secondary,0
7400,,24.815323,60.182356,74,,trunk,0
5701,,24.8099256,60.1860512,57,,secondary,0
7500,,24.8079766,60.1882346,75,,trunk,-1
7700,,24.8354002,60.1796718,77,,secondary,0
7800,,24.8349571,60.1880126,78,,tertiary,0
7900,,24.8348949,60.1882239,79,,tertiary,0
7901,,24.8347101,60.1882036,79,,tertiary,0
7801,,24.8347681,60.1880204,78,,tertiary,0
7802,,24.8347773,60.1879032,78,,tertiary,0
4701,,24.8346832,60.1877914,47,,tertiary,0
4702,,24.8347984,60.1877658,47,,tertiary,0
7803,,24.8348955,60.1878812,78,,tertiary,0
4703,,24.8346536,60.1877648,47,,tertiary,0
6001,,24.8345911,60.1877183,60,,tertiary,0
6002,,24.8346959,60.1876833,60,,tertiary,0
4704,,24.8347584,60.1877298,47,,tertiary,0
6003,,24.8345522,60.1876932,60,,tertiary,0
8000,,24.8344803,60.1876526,80,,tertiary,0
8001,,24.834575,60.187611,80,,tertiary,0
6004,,24.8346469,60.1876516,60,,tertiary,0
8200,,24.8335335,60.1793379,82,,secondary,0
3803,,24.8345525,60.1800946,38,,tertiary,0
8400,,24.8234544,60.179132,84,,trunk,0
8500,,24.8104022,60.1856032,85,,trunk,0
8501,,24.8102455,60.1857448,85,,trunk,0
502,,24.8101662,60.1858197,5,,secondary,0
8600,,24.8223702,60.178612,86,,residential,1
8700,,24.8223334,60.178639,87,,residential,0
8701,,24.8222291,60.1786036,87,,residential,0
8601,,24.8222658,60.1785767,86,,residential,-1
8800,,24.8314576,60.1840435,88,,tertiary,0
8900,,24.8315346,60.183959,89,,tertiary,0
9000,,24.8311288,60.1842554,90,,tertiary,0
8801,,24.8312824,60.1841505,88,,tertiary,0
8802,,24.8313822,60.184189,88,,tertiary,0
