node_id,node_no,activity_node_flag,zone_id,cell_id,cell_code,info_zone_flag,x_coord,y_coord
1,0,0,-1,-2103472048,M6,0,-112.042260,33.461480
2,1,0,-1,-2103472048,M6,0,-112.042190,33.461470
3,2,0,-1,-2103472048,M6,0,-112.042110,33.461460
4,3,0,-1,-2103472048,M6,0,-112.042040,33.461450
5,4,0,-1,-2103472048,M6,0,-112.041970,33.461440
6,5,0,-1,-2103472048,M6,0,-112.041890,33.461430
7,6,0,-1,-2103472048,M6,0,-112.041820,33.461420
8,7,0,-1,-2103472048,M6,0,-112.041740,33.461410
11,8,0,-1,-2103472048,M6,0,-112.041610,33.461400
12,9,0,-1,-2103472048,M6,0,-112.041530,33.461390
13,10,0,-1,-2103472048,M6,0,-112.041460,33.461380
14,11,0,-1,-2103472048,M6,0,-112.041380,33.461370
15,12,0,-1,-2103472048,M6,0,-112.041310,33.461360
16,13,0,-1,-2103472048,M6,0,-112.041230,33.461350
19,14,0,-1,-2103472048,M6,0,-112.041120,33.461340
20,15,0,-1,-2103472048,M6,0,-112.041040,33.461330
21,16,0,-1,-2103472048,M6,0,-112.040970,33.461330
22,17,0,-1,-2103472048,M6,0,-112.040890,33.461320
23,18,0,-1,-2103472048,M6,0,-112.040820,33.461310
24,19,0,-1,-2103472048,M6,0,-112.040740,33.461310
25,20,0,-1,-2103472048,M6,0,-112.040670,33.461300
26,21,0,-1,-2103472048,M6,0,-112.040560,33.461290
27,22,0,-1,-2103472048,M6,0,-112.041680,33.461410
28,23,0,-1,-2103472048,M6,0,-112.041190,33.461350
30,24,0,-1,1486461544,N8,0,-112.037570,33.452110
31,25,0,-1,1486461544,N8,0,-112.037570,33.452050
32,26,0,-1,1486461544,N8,0,-112.037580,33.451990
33,27,0,-1,1486461544,N8,0,-112.037580,33.451920
34,28,0,-1,1486461544,N8,0,-112.037590,33.451860
35,29,0,-1,1486461544,N8,0,-112.037590,33.451800
36,30,0,-1,1486461544,N8,0,-112.037600,33.451750
43,31,0,-1,-53145008,D6,0,-112.087970,33.461100
44,32,0,-1,-53145008,D6,0,-112.087980,33.461070
45,33,0,-1,-53145008,D6,0,-112.087900,33.461090
46,34,0,-1,-53145008,D6,0,-112.087910,33.461060
47,35,0,-1,-53145008,D6,0,-112.087830,33.461080
48,36,0,-1,-53145008,D6,0,-112.087830,33.461050
49,37,0,-1,-53145008,D6,0,-112.087750,33.461070
50,38,0,-1,-53145008,D6,0,-112.087760,33.461030
51,39,0,-1,-53145008,D6,0,-112.087680,33.461050
52,40,0,-1,-53145008,D6,0,-112.087680,33.461020
53,41,0,-1,-53145008,D6,0,-112.087600,33.461040
54,42,0,-1,-53145008,D6,0,-112.087610,33.461010
55,43,0,-1,-53145008,D6,0,-112.087530,33.461030
56,44,0,-1,-53145008,D6,0,-112.087540,33.461000
57,45,0,-1,-53145008,D6,0,-112.087460,33.461020
58,46,0,-1,-53145008,D6,0,-112.087460,33.460990
59,47,0,-1,-53145008,D6,0,-112.087380,33.461010
60,48,0,-1,-53145008,D6,0,-112.087390,33.460970
61,49,0,-1,-53145008,D6,0,-112.087310,33.460990
62,50,0,-1,-53145008,D6,0,-112.087310,33.460960
63,51,0,-1,-53145008,D6,0,-112.087230,33.460980
64,52,0,-1,-53145008,D6,0,-112.087240,33.460950
65,53,0,-1,-53145008,D6,0,-112.087160,33.460970
66,54,0,-1,-53145008,D6,0,-112.087170,33.460940
67,55,0,-1,-53145008,D6,0,-112.087090,33.460960
68,56,0,-1,-53145008,D6,0,-112.087090,33.460930
69,57,0,-1,-53145008,D6,0,-112.087010,33.460950
70,58,0,-1,-53145008,D6,0,-112.087020,33.460920
71,59,0,-1,-53145008,D6,0,-112.086940,33.460930
72,60,0,-1,-53145008,D6,0,-112.086940,33.460900
73,61,0,-1,-53145008,D6,0,-112.086860,33.460920
74,62,0,-1,-53145008,D6,0,-112.086870,33.460890
75,63,0,-1,-53145008,D6,0,-112.086790,33.460910
76,64,0,-1,-53145008,D6,0,-112.086800,33.460880
77,65,0,-1,-53145008,D6,0,-112.086720,33.460900
78,66,0,-1,-53145008,D6,0,-112.086720,33.460870
79,67,0,-1,-53145008,D6,0,-112.086640,33.460890
80,68,0,-1,-53145008,D6,0,-112.086650,33.460860
81,69,0,-1,-53145008,D6,0,-112.086570,33.460880
82,70,0,-1,-53145008,D6,0,-112.086570,33.460840
83,71,0,-1,-53145008,D6,0,-112.086490,33.460860
84,72,0,-1,-53145008,D6,0,-112.086500,33.460830
85,73,0,-1,-53145008,D6,0,-112.086420,33.460850
86,74,0,-1,-53145008,D6,0,-112.086430,33.460820
87,75,0,-1,-53145008,D6,0,-112.086350,33.460840
88,76,0,-1,-53145008,D6,0,-112.086350,33.460810
89,77,0,-1,-53145008,D6,0,-112.086270,33.460830
90,78,0,-1,-53145008,D6,0,-112.086280,33.460800
91,79,0,-1,-53145008,D6,0,-112.086200,33.460820
92,80,0,-1,-53145008,D6,0,-112.086200,33.460790
93,81,0,-1,-53145008,D6,0,-112.086120,33.460800
94,82,0,-1,-53145008,D6,0,-112.086130,33.460770
95,83,0,-1,-53145008,D6,0,-112.086050,33.460790
96,84,0,-1,-53145008,D6,0,-112.086060,33.460760
97,85,0,-1,-53145008,D6,0,-112.085980,33.460780
98,86,0,-1,-53145008,D6,0,-112.085980,33.460750
99,87,0,-1,-53145008,D6,0,-112.085900,33.460770
100,88,0,-1,-53145008,D6,0,-112.085910,33.460740
101,89,0,-1,-53145008,D6,0,-112.085830,33.460760
102,90,0,-1,-53145008,D6,0,-112.085830,33.460730
103,91,0,-1,-53145008,D6,0,-112.085750,33.460750
104,92,0,-1,-53145008,D6,0,-112.085760,33.460710
