cell_code,geometry
M2,"LINESTRING (-112.045000 33.485000,-112.040000 33.485000,-112.040000 33.480000,-112.045000 33.480000,-112.045000 33.485000,)"
M6,"LINESTRING (-112.045000 33.465000,-112.040000 33.465000,-112.040000 33.460000,-112.045000 33.460000,-112.045000 33.465000,)"
N10,"LINESTRING (-112.040000 33.445000,-112.035000 33.445000,-112.035000 33.440000,-112.040000 33.440000,-112.040000 33.445000,)"
N11,"LINESTRING (-112.040000 33.440000,-112.035000 33.440000,-112.035000 33.435000,-112.040000 33.435000,-112.040000 33.440000,)"
N12,"LINESTRING (-112.040000 33.435000,-112.035000 33.435000,-112.035000 33.430000,-112.040000 33.430000,-112.040000 33.435000,)"
N13,"LINESTRING (-112.040000 33.430000,-112.035000 33.430000,-112.035000 33.425000,-112.040000 33.425000,-112.040000 33.430000,)"
N2,"LINESTRING (-112.040000 33.485000,-112.035000 33.485000,-112.035000 33.480000,-112.040000 33.480000,-112.040000 33.485000,)"
N3,"LINESTRING (-112.040000 33.480000,-112.035000 33.480000,-112.035000 33.475000,-112.040000 33.475000,-112.040000 33.480000,)"
N4,"LINESTRING (-112.040000 33.475000,-112.035000 33.475000,-112.035000 33.470000,-112.040000 33.470000,-112.040000 33.475000,)"
N5,"LINESTRING (-112.040000 33.470000,-112.035000 33.470000,-112.035000 33.465000,-112.040000 33.465000,-112.040000 33.470000,)"
N6,"LINESTRING (-112.040000 33.465000,-112.035000 33.465000,-112.035000 33.460000,-112.040000 33.460000,-112.040000 33.465000,)"
N7,"LINESTRING (-112.040000 33.460000,-112.035000 33.460000,-112.035000 33.455000,-112.040000 33.455000,-112.040000 33.460000,)"
N8,"LINESTRING (-112.040000 33.455000,-112.035000 33.455000,-112.035000 33.450000,-112.040000 33.450000,-112.040000 33.455000,)"
N9,"LINESTRING (-112.040000 33.450000,-112.035000 33.450000,-112.035000 33.445000,-112.040000 33.445000,-112.040000 33.450000,)"
O11,"LINESTRING (-112.035000 33.440000,-112.030000 33.440000,-112.030000 33.435000,-112.035000 33.435000,-112.035000 33.440000,)"
O13,"LINESTRING (-112.035000 33.430000,-112.030000 33.430000,-112.030000 33.425000,-112.035000 33.425000,-112.035000 33.430000,)"
O6,"LINESTRING (-112.035000 33.465000,-112.030000 33.465000,-112.030000 33.460000,-112.035000 33.460000,-112.035000 33.465000,)"
P11,"LINESTRING (-112.030000 33.440000,-112.025000 33.440000,-112.025000 33.435000,-112.030000 33.435000,-112.030000 33.440000,)"
P13,"LINESTRING (-112.030000 33.430000,-112.025000 33.430000,-112.025000 33.425000,-112.030000 33.425000,-112.030000 33.430000,)"
P14,"LINESTRING (-112.030000 33.425000,-112.025000 33.425000,-112.025000 33.420000,-112.030000 33.420000,-112.030000 33.425000,)"
P6,"LINESTRING (-112.030000 33.465000,-112.025000 33.465000,-112.025000 33.460000,-112.030000 33.460000,-112.030000 33.465000,)"
Q11,"LINESTRING (-112.025000 33.440000,-112.020000 33.440000,-112.020000 33.435000,-112.025000 33.435000,-112.025000 33.440000,)"
Q13,"LINESTRING (-112.025000 33.430000,-112.020000 33.430000,-112.020000 33.425000,-112.025000 33.425000,-112.025000 33.430000,)"
Q14,"LINESTRING (-112.025000 33.425000,-112.020000 33.425000,-112.020000 33.420000,-112.025000 33.420000,-112.025000 33.425000,)"
Q6,"LINESTRING (-112.025000 33.465000,-112.020000 33.465000,-112.020000 33.460000,-112.025000 33.460000,-112.025000 33.465000,)"
