cell_code,geometry
A13,"LINESTRING (-112.105000 33.430000,-112.100000 33.430000,-112.100000 33.425000,-112.105000 33.425000,-112.105000 33.430000,)"
A6,"LINESTRING (-112.105000 33.465000,-112.100000 33.465000,-112.100000 33.460000,-112.105000 33.460000,-112.105000 33.465000,)"
B13,"LINESTRING (-112.100000 33.430000,-112.095000 33.430000,-112.095000 33.425000,-112.100000 33.425000,-112.100000 33.430000,)"
B6,"LINESTRING (-112.100000 33.465000,-112.095000 33.465000,-112.095000 33.460000,-112.100000 33.460000,-112.100000 33.465000,)"
C13,"LINESTRING (-112.095000 33.430000,-112.090000 33.430000,-112.090000 33.425000,-112.095000 33.425000,-112.095000 33.430000,)"
C6,"LINESTRING (-112.095000 33.465000,-112.090000 33.465000,-112.090000 33.460000,-112.095000 33.460000,-112.095000 33.465000,)"
D13,"LINESTRING (-112.090000 33.430000,-112.085000 33.430000,-112.085000 33.425000,-112.090000 33.425000,-112.090000 33.430000,)"
D6,"LINESTRING (-112.090000 33.465000,-112.085000 33.465000,-112.085000 33.460000,-112.090000 33.460000,-112.090000 33.465000,)"
E13,"LINESTRING (-112.085000 33.430000,-112.080000 33.430000,-112.080000 33.425000,-112.085000 33.425000,-112.085000 33.430000,)"
E6,"LINESTRING (-112.085000 33.465000,-112.080000 33.465000,-112.080000 33.460000,-112.085000 33.460000,-112.085000 33.465000,)"
E7,"LINESTRING (-112.085000 33.460000,-112.080000 33.460000,-112.080000 33.455000,-112.085000 33.455000,-112.085000 33.460000,)"
F13,"LINESTRING (-112.080000 33.430000,-112.075000 33.430000,-112.075000 33.425000,-112.080000 33.425000,-112.080000 33.430000,)"
F6,"LINESTRING (-112.080000 33.465000,-112.075000 33.465000,-112.075000 33.460000,-112.080000 33.460000,-112.080000 33.465000,)"
G13,"LINESTRING (-112.075000 33.430000,-112.070000 33.430000,-112.070000 33.425000,-112.075000 33.425000,-112.075000 33.430000,)"
G6,"LINESTRING (-112.075000 33.465000,-112.070000 33.465000,-112.070000 33.460000,-112.075000 33.460000,-112.075000 33.465000,)"
H13,"LINESTRING (-112.070000 33.430000,-112.065000 33.430000,-112.065000 33.425000,-112.070000 33.425000,-112.070000 33.430000,)"
H6,"LINESTRING (-112.070000 33.465000,-112.065000 33.465000,-112.065000 33.460000,-112.070000 33.460000,-112.070000 33.465000,)"
I13,"LINESTRING (-112.065000 33.430000,-112.060000 33.430000,-112.060000 33.425000,-112.065000 33.425000,-112.065000 33.430000,)"
I6,"LINESTRING (-112.065000 33.465000,-112.060000 33.465000,-112.060000 33.460000,-112.065000 33.460000,-112.065000 33.465000,)"
J13,"LINESTRING (-112.060000 33.430000,-112.055000 33.430000,-112.055000 33.425000,-112.060000 33.425000,-112.060000 33.430000,)"
J6,"LINESTRING (-112.060000 33.465000,-112.055000 33.465000,-112.055000 33.460000,-112.060000 33.460000,-112.060000 33.465000,)"
K13,"LINESTRING (-112.055000 33.430000,-112.050000 33.430000,-112.050000 33.425000,-112.055000 33.425000,-112.055000 33.430000,)"
K6,"LINESTRING (-112.055000 33.465000,-112.050000 33.465000,-112.050000 33.460000,-112.055000 33.460000,-112.055000 33.465000,)"
L13,"LINESTRING (-112.050000 33.430000,-112.045000 33.430000,-112.045000 33.425000,-112.050000 33.425000,-112.050000 33.430000,)"
L6,"LINESTRING (-112.050000 33.465000,-112.045000 33.465000,-112.045000 33.460000,-112.050000 33.460000,-112.050000 33.465000,)"
M1,"LINESTRING (-112.045000 33.490000,-112.040000 33.490000,-112.040000 33.485000,-112.045000 33.485000,-112.045000 33.490000,)"
M13,"LINESTRING (-112.045000 33.430000,-112.040000 33.430000,-112.040000 33.425000,-112.045000 33.425000,-112.045000 33.430000,)"
