name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
East 6th Street,0,5591077,0,1,1,203.17,1,30,1000,residential,6,"LINESTRING (-111.9304264 33.4231268, -111.9304120 33.4231839, -111.9304005 33.4232277, -111.9303882 33.4232950, -111.9303108 33.4236887, -111.9302973 33.4237531, -111.9302813 33.4238045, -111.9302430 33.4238667, -111.9302129 33.4238974, -111.9301639 33.4239305, -111.9301123 33.4239534, -111.9299243 33.4240186, -111.9296860 33.4241011, -111.9296630 33.4241090, -111.9292198 33.4242567, -111.9290798 33.4242989)",auto,1,0,,
East 6th Street,1,5591077,1,0,1,203.17,1,30,1000,residential,6,"LINESTRING (-111.9290798 33.4242989, -111.9292198 33.4242567, -111.9296630 33.4241090, -111.9296860 33.4241011, -111.9299243 33.4240186, -111.9301123 33.4239534, -111.9301639 33.4239305, -111.9302129 33.4238974, -111.9302430 33.4238667, -111.9302813 33.4238045, -111.9302973 33.4237531, -111.9303108 33.4236887, -111.9303882 33.4232950, -111.9304005 33.4232277, -111.9304120 33.4231839, -111.9304264 33.4231268)",auto,1,0,,
West 6th Street,2,5591085,2,349,1,111.3,1,40,1000,residential,6,"LINESTRING (-111.9412691 33.4243385, -111.9407083 33.4243409, -111.9400719 33.4243450)",auto,1,0,,
West 6th Street,3,5591085,349,2,1,111.3,1,40,1000,residential,6,"LINESTRING (-111.9400719 33.4243450, -111.9407083 33.4243409, -111.9412691 33.4243385)",auto,1,0,,
East 6th Street,4,5591100,4,5,1,89.94,1,40,1000,residential,6,"LINESTRING (-111.9376334 33.4243567, -111.9375411 33.4243581, -111.9373581 33.4243583, -111.9367572 33.4243590, -111.9366660 33.4243591)",auto,1,0,,
East 6th Street,5,5591100,5,4,1,89.94,1,40,1000,residential,6,"LINESTRING (-111.9366660 33.4243591, -111.9367572 33.4243590, -111.9373581 33.4243583, -111.9375411 33.4243581, -111.9376334 33.4243567)",auto,1,0,,
East 6th Street,6,5591100,5,6,1,157.08,1,40,1000,residential,6,"LINESTRING (-111.9366660 33.4243591, -111.9365605 33.4243597, -111.9362338 33.4243617, -111.9358561 33.4243639, -111.9355078 33.4243660, -111.9353948 33.4243414, -111.9353091 33.4243324, -111.9350964 33.4243366, -111.9349809 33.4243346)",auto,1,0,,
East 6th Street,7,5591100,6,5,1,157.08,1,40,1000,residential,6,"LINESTRING (-111.9349809 33.4243346, -111.9350964 33.4243366, -111.9353091 33.4243324, -111.9353948 33.4243414, -111.9355078 33.4243660, -111.9358561 33.4243639, -111.9362338 33.4243617, -111.9365605 33.4243597, -111.9366660 33.4243591)",auto,1,0,,
South Maple Avenue,8,5591429,7,8,1,156.16,1,30,1000,residential,6,"LINESTRING (-111.9412608 33.4219305, -111.9412597 33.4219207, -111.9412482 33.4215187, -111.9412477 33.4215016, -111.9412432 33.4213251, -111.9412418 33.4212879, -111.9412404 33.4212296, -111.9412399 33.4211998, -111.9412309 33.4205714, -111.9412300 33.4205223)",auto,1,0,,
South Maple Avenue,9,5591429,8,7,1,156.16,1,30,1000,residential,6,"LINESTRING (-111.9412300 33.4205223, -111.9412309 33.4205714, -111.9412399 33.4211998, -111.9412404 33.4212296, -111.9412418 33.4212879, -111.9412432 33.4213251, -111.9412477 33.4215016, -111.9412482 33.4215187, -111.9412597 33.4219207, -111.9412608 33.4219305)",auto,1,0,,
South Ash Avenue,10,5594960,9,10,1,121.22,1,30,1000,residential,6,"LINESTRING (-111.9423400 33.4136148, -111.9423490 33.4142597, -111.9423597 33.4144744, -111.9423738 33.4146487, -111.9423885 33.4146873, -111.9424000 33.4147029)",auto,1,0,,
South Ash Avenue,11,5594960,10,9,1,121.22,1,30,1000,residential,6,"LINESTRING (-111.9424000 33.4147029, -111.9423885 33.4146873, -111.9423738 33.4146487, -111.9423597 33.4144744, -111.9423490 33.4142597, -111.9423400 33.4136148)",auto,1,0,,
South Ash Avenue,12,5594960,11,12,1,0.83,1,30,1000,residential,6,"LINESTRING (-111.9424000 33.4190423, -111.9423945 33.4190482)",auto,1,0,,
South Ash Avenue,13,5594960,12,11,1,0.83,1,30,1000,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9424000 33.4190423)",auto,1,0,,
South Ash Avenue,14,5594960,12,13,1,154.0,1,30,1000,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9423684 33.4190899, -111.9423603 33.4191344, -111.9423658 33.4196106, -111.9423680 33.4197262, -111.9423711 33.4201216, -111.9423768 33.4204094, -111.9423773 33.4204312)",auto,1,0,,
South Ash Avenue,15,5594960,13,12,1,154.0,1,30,1000,residential,6,"LINESTRING (-111.9423773 33.4204312, -111.9423768 33.4204094, -111.9423711 33.4201216, -111.9423680 33.4197262, -111.9423658 33.4196106, -111.9423603 33.4191344, -111.9423684 33.4190899, -111.9423945 33.4190482)",auto,1,0,,
East Apache Boulevard,16,5602753,350,15,1,169.24,2,80,1800,primary,3,"LINESTRING (-111.9395884 33.4159654, -111.9395362 33.4159003, -111.9394011 33.4157327, -111.9392425 33.4155500, -111.9389322 33.4153003, -111.9388168 33.4152112, -111.9386707 33.4151129, -111.9382922 33.4149218)",auto,0,0,,
East Apache Boulevard,17,5602753,15,16,1,91.57,2,80,1800,primary,3,"LINESTRING (-111.9382922 33.4149218, -111.9381040 33.4148441, -111.9378250 33.4147525, -111.9375837 33.4146896, -111.9373669 33.4146466)",auto,0,0,,
East Apache Boulevard,18,5602753,16,17,1,32.39,2,80,1800,primary,3,"LINESTRING (-111.9373669 33.4146466, -111.9370926 33.4146142, -111.9370216 33.4146084)",auto,0,0,,
West 4th Street,19,5603481,18,19,1,65.11,1,40,1000,residential,6,"LINESTRING (-111.9400776 33.4264624, -111.9407780 33.4264585)",auto,1,0,,
West 4th Street,20,5603481,19,18,1,65.11,1,40,1000,residential,6,"LINESTRING (-111.9407780 33.4264585, -111.9400776 33.4264624)",auto,1,0,,
South Mill Avenue,21,5607328,351,352,1,159.83,3,48,1800,primary,3,"LINESTRING (-111.9400804 33.4219347, -111.9400823 33.4218803, -111.9400874 33.4217822, -111.9400779 33.4214219, -111.9400726 33.4212626, -111.9400612 33.4209214, -111.9400495 33.4205725, -111.9400474 33.4204936)",auto,0,0,,
West 10th Street,22,5608313,353,23,1,112.31,1,30,1000,residential,6,"LINESTRING (-111.9400280 33.4190552, -111.9401097 33.4190635, -111.9404610 33.4190613, -111.9404880 33.4190608, -111.9406070 33.4190602, -111.9412354 33.4190569)",auto,1,0,,
West 10th Street,23,5608313,23,353,1,112.31,1,30,1000,residential,6,"LINESTRING (-111.9412354 33.4190569, -111.9406070 33.4190602, -111.9404880 33.4190608, -111.9404610 33.4190613, -111.9401097 33.4190635, -111.9400280 33.4190552)",auto,1,0,,
West 10th Street,24,5608313,23,12,1,107.77,1,30,1000,residential,6,"LINESTRING (-111.9412354 33.4190569, -111.9417794 33.4190532, -111.9418437 33.4190521, -111.9423945 33.4190482)",auto,1,0,,
West 10th Street,25,5608313,12,23,1,107.77,1,30,1000,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9418437 33.4190521, -111.9417794 33.4190532, -111.9412354 33.4190569)",auto,1,0,,
West 10th Street,26,5608313,12,24,1,0.51,1,30,1000,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9424000 33.4190481)",auto,1,0,,
West 10th Street,27,5608313,24,12,1,0.51,1,30,1000,residential,6,"LINESTRING (-111.9424000 33.4190481, -111.9423945 33.4190482)",auto,1,0,,
West Hudson Lane,28,5611840,25,9,1,227.54,1,30,1000,residential,6,"LINESTRING (-111.9398928 33.4136273, -111.9400289 33.4136266, -111.9404614 33.4136244, -111.9412969 33.4136201, -111.9421721 33.4136157, -111.9423400 33.4136148)",auto,1,0,,
West Hudson Lane,29,5611840,9,25,1,227.54,1,30,1000,residential,6,"LINESTRING (-111.9423400 33.4136148, -111.9421721 33.4136157, -111.9412969 33.4136201, -111.9404614 33.4136244, -111.9400289 33.4136266, -111.9398928 33.4136273)",auto,1,0,,
West Hudson Lane,30,5611840,9,26,1,5.58,1,30,1000,residential,6,"LINESTRING (-111.9423400 33.4136148, -111.9424000 33.4136138)",auto,1,0,,
West Hudson Lane,31,5611840,26,9,1,5.58,1,30,1000,residential,6,"LINESTRING (-111.9424000 33.4136138, -111.9423400 33.4136148)",auto,1,0,,
East University Drive,32,5614812,354,355,1,157.33,2,56,1600,secondary,4,"LINESTRING (-111.9366614 33.4219091, -111.9365630 33.4219081, -111.9358451 33.4219117, -111.9356492 33.4219101, -111.9350652 33.4219170, -111.9349692 33.4219161)",auto,0,0,,
East 5th Street,33,5619424,29,30,1,116.68,1,48,1200,tertiary,5,"LINESTRING (-111.9394161 33.4254973, -111.9392877 33.4254971, -111.9390426 33.4254967, -111.9388368 33.4254969, -111.9382883 33.4254956, -111.9382749 33.4254956, -111.9381610 33.4254954)",auto,1,0,,
East 5th Street,34,5619424,30,29,1,116.68,1,48,1200,tertiary,5,"LINESTRING (-111.9381610 33.4254954, -111.9382749 33.4254956, -111.9382883 33.4254956, -111.9388368 33.4254969, -111.9390426 33.4254967, -111.9392877 33.4254971, -111.9394161 33.4254973)",auto,1,0,,
East 5th Street,35,5619424,30,31,1,138.39,1,48,1200,tertiary,5,"LINESTRING (-111.9381610 33.4254954, -111.9380281 33.4254952, -111.9367711 33.4254993, -111.9366724 33.4254992)",auto,1,0,,
East 5th Street,36,5619424,31,30,1,138.39,1,48,1200,tertiary,5,"LINESTRING (-111.9366724 33.4254992, -111.9367711 33.4254993, -111.9380281 33.4254952, -111.9381610 33.4254954)",auto,1,0,,
South McAllister Avenue,37,5624529,32,33,1,168.98,1,40,1200,tertiary,5,"LINESTRING (-111.9288440 33.4180457, -111.9288373 33.4178241, -111.9288571 33.4176455, -111.9288750 33.4175250, -111.9288928 33.4174421, -111.9289116 33.4173734, -111.9289319 33.4173116, -111.9289833 33.4171900, -111.9290438 33.4170786, -111.9290870 33.4170020, -111.9291424 33.4169279, -111.9292592 33.4167849, -111.9294043 33.4166443)",auto,1,0,,
South McAllister Avenue,38,5624529,33,32,1,168.98,1,40,1200,tertiary,5,"LINESTRING (-111.9294043 33.4166443, -111.9292592 33.4167849, -111.9291424 33.4169279, -111.9290870 33.4170020, -111.9290438 33.4170786, -111.9289833 33.4171900, -111.9289319 33.4173116, -111.9289116 33.4173734, -111.9288928 33.4174421, -111.9288750 33.4175250, -111.9288571 33.4176455, -111.9288373 33.4178241, -111.9288440 33.4180457)",auto,1,0,,
East 14th Street,39,5627987,34,35,1,198.8,1,30,1000,residential,6,"LINESTRING (-111.9370709 33.4135303, -111.9350416 33.4135466, -111.9349328 33.4135475)",auto,1,0,,
