first_column,agent_id,o_zone_id,d_zone_id,path_id,display_code,agent_type,PCE_unit,demand_period,volume,toll,travel_time,distance_km,node_sequence,time_sequence
,25,1,2,0,sov,sov,1,AM,1,0.0,11.6493,18.6107,3;4;5;6;7;8;9;10;11;12;,361.750000;362.966675;364.091675;365.383331;366.583344;367.862488;368.920837;370.116669;371.049988;371.662506;
,26,1,2,0,sov,sov,1,AM,1,0.0,11.6653,18.6107,3;4;5;6;7;8;9;10;11;12;,361.750000;362.983337;364.108337;365.399994;366.600006;367.879181;368.937500;370.133331;371.066681;371.679169;
,27,1,2,0,sov,sov,1,AM,1,0.0,11.6812,18.6107,3;4;5;6;7;8;9;10;11;12;,361.766663;363.000000;364.125000;365.416656;366.600006;367.883331;368.950012;370.149994;371.083344;371.695831;
,28,1,2,0,sov,sov,1,AM,1,0.0,11.6931,18.6107,3;4;5;6;7;8;9;10;11;12;,361.766663;363.000000;364.125000;365.433319;366.616669;367.895844;368.954163;370.166656;371.100006;371.712494;
,29,1,2,0,sov,sov,1,AM,1,0.0,11.7090,18.6107,3;4;5;6;7;8;9;10;11;12;,361.783325;363.016663;364.141663;365.450012;366.633331;367.912506;368.970825;370.183319;371.116669;371.729156;
,30,1,2,0,sov,sov,1,AM,1,0.0,11.8375,18.6107,3;4;5;6;7;8;9;10;11;12;,361.850006;363.083344;364.208344;365.533325;366.716675;367.995819;369.054169;370.316681;371.245819;371.858337;
,31,1,2,0,sov,sov,1,AM,1,0.0,11.8535,18.6107,3;4;5;6;7;8;9;10;11;12;,361.866669;363.100006;364.225006;365.533325;366.733337;368.012512;369.070831;370.333344;371.262512;371.875000;
,32,1,2,0,sov,sov,1,AM,1,0.0,11.8694,18.6107,3;4;5;6;7;8;9;10;11;12;,361.866669;363.100006;364.233337;365.549988;366.750000;368.029175;369.087494;370.350006;371.279175;371.891663;
,33,1,2,0,sov,sov,1,AM,1,0.0,11.8854,18.6107,3;4;5;6;7;8;9;10;11;12;,361.883331;363.116669;364.241669;365.566681;366.750000;368.029175;369.100006;370.366669;371.295837;371.908325;
,34,1,2,0,sov,sov,1,AM,1,0.0,11.9014,18.6107,3;4;5;6;7;8;9;10;11;12;,361.899994;363.116669;364.250000;365.583344;366.766663;368.045837;369.104156;370.383331;371.312500;371.924988;
,35,1,2,0,sov,sov,1,AM,1,0.0,11.9174,18.6107,3;4;5;6;7;8;9;10;11;12;,361.899994;363.133331;364.266663;365.583344;366.783325;368.062500;369.120819;370.399994;371.329163;371.941681;
,36,1,2,0,sov,sov,1,AM,1,0.0,12.0333,18.6107,3;4;5;6;7;8;9;10;11;12;,361.983337;363.250000;364.375000;365.666656;366.866669;368.145844;369.216675;370.516663;371.445831;372.058319;
,37,1,2,0,sov,sov,1,AM,1,0.0,12.0493,18.6107,3;4;5;6;7;8;9;10;11;12;,362.000000;363.266663;364.391663;365.683319;366.883331;368.162506;369.233337;370.533325;371.462494;372.075012;
,38,1,2,0,sov,sov,1,AM,1,0.0,12.0653,18.6107,3;4;5;6;7;8;9;10;11;12;,362.000000;363.283325;364.408325;365.695831;366.899994;368.179169;369.237488;370.549988;371.479156;372.091675;
,39,1,2,0,sov,sov,1,AM,1,0.0,12.0813,18.6107,3;4;5;6;7;8;9;10;11;12;,362.016663;363.283325;364.408325;365.700012;366.899994;368.183319;369.250000;370.566681;371.495819;372.108337;
,40,1,2,0,sov,sov,1,AM,1,0.0,12.0972,18.6107,3;4;5;6;7;8;9;10;11;12;,362.033325;363.299988;364.424988;365.716675;366.916656;368.200012;369.258331;370.583344;371.512512;372.125000;
,41,1,2,0,sov,sov,1,AM,1,0.0,12.1132,18.6107,3;4;5;6;7;8;9;10;11;12;,362.033325;363.299988;364.433319;365.720825;366.916656;368.200012;369.266663;370.600006;371.529175;372.141663;
,42,1,2,0,sov,sov,1,AM,1,0.0,12.2417,18.6107,3;4;5;6;7;8;9;10;11;12;,362.116669;363.399994;364.524994;365.812500;367.000000;368.279175;369.358337;370.716675;371.658325;372.270844;
,43,1,2,0,sov,sov,1,AM,1,0.0,12.2535,18.6107,3;4;5;6;7;8;9;10;11;12;,362.116669;363.399994;364.533325;365.820831;367.000000;368.283325;369.358337;370.733337;371.666656;372.279175;
,44,1,2,0,sov,sov,1,AM,1,0.0,12.2653,18.6107,3;4;5;6;7;8;9;10;11;12;,362.133331;363.416656;364.541656;365.833344;367.016663;368.299988;369.399994;370.750000;371.683319;372.295837;
,45,1,2,0,sov,sov,1,AM,1,0.0,12.2812,18.6107,3;4;5;6;7;8;9;10;11;12;,362.133331;363.433319;364.558319;365.850006;367.024994;368.304169;369.399994;370.766663;371.700012;372.312500;
,46,1,2,0,sov,sov,1,AM,1,0.0,12.2972,18.6107,3;4;5;6;7;8;9;10;11;12;,362.149994;363.433319;364.566681;365.866669;367.041656;368.466675;369.533325;370.783325;371.716675;372.329163;
