agent_id,o_zone_id,d_zone_id,OD_index,path_id,#_of_links,diversion_flag,agent_type,demand_period,volume,toll,travel_time,distance,speed,departure_time_in_min
0,1,2,1->2,0,13,0,sov,AM,1,0,71,11,9.2958,540
1,1,2,1->2,0,13,0,sov,AM,1,0,53.0979,11,12.4299,480.0021
2,1,2,1->2,0,13,0,sov,AM,1,0,81.0792,11,8.1402,525.0042
3,1,2,1->2,0,13,0,sov,AM,1,0,12.2437,11,53.9051,390.0063
4,1,2,1->2,0,13,0,sov,AM,1,0,81.075,11,8.1406,525.0083
5,1,2,1->2,0,13,0,sov,AM,1,0,12.2896,11,53.7041,390.0104
6,1,2,1->2,0,13,0,sov,AM,1,0,74.2708,11,8.8864,510.0125
7,1,2,1->2,0,13,0,sov,AM,1,0,71.0021,11,9.2955,540.0146
8,1,2,1->2,0,13,0,sov,AM,1,0,57.9667,11,11.3859,555.0167
9,1,2,1->2,0,13,0,sov,AM,1,0,57.9646,11,11.3863,555.0187
10,1,2,1->2,0,13,0,sov,AM,1,0,14.0292,11,47.0449,405.0208
11,1,2,1->2,0,13,0,sov,AM,1,0,44.0437,11,14.9851,465.0229
12,1,2,1->2,0,13,0,sov,AM,1,0,34.9917,11,18.8617,450.025
13,1,2,1->2,0,13,0,sov,AM,1,0,12.3563,11,53.4143,390.0271
14,1,2,1->2,0,13,0,sov,AM,1,0,26.7208,11,24.6999,435.0292
15,1,2,1->2,0,13,0,sov,AM,1,0,64.2188,11,10.2774,495.0312
16,1,2,1->2,0,13,0,sov,AM,1,0,53.1167,11,12.4255,480.0333
17,1,2,1->2,0,13,0,sov,AM,1,0,44.8479,11,14.7164,570.0354
18,1,2,1->2,0,13,0,sov,AM,1,0,70.9792,11,9.2985,540.0375
19,1,2,1->2,0,13,0,sov,AM,1,0,12.0104,11,54.9524,375.0396
20,1,2,1->2,0,13,0,sov,AM,1,0,70.975,11,9.2991,540.0417
21,1,2,1->2,0,13,0,sov,AM,1,0,26.7396,11,24.6825,435.0438
22,1,2,1->2,0,13,0,sov,AM,1,0,74.2542,11,8.8884,510.0458
23,1,2,1->2,0,13,0,sov,AM,1,0,19.5354,11,33.7848,420.0479
24,1,2,1->2,0,13,0,sov,AM,1,0,12.5833,11,52.4504,390.05
25,1,2,1->2,0,13,0,sov,AM,1,0,14.0146,11,47.0939,405.0521
26,1,2,1->2,0,13,0,sov,AM,1,0,19.5625,11,33.7381,420.0542
27,1,2,1->2,0,13,0,sov,AM,1,0,14.0271,11,47.0519,405.0562
28,1,2,1->2,0,13,0,sov,AM,1,0,70.9583,11,9.3012,540.0583
29,1,2,1->2,0,13,0,sov,AM,1,0,74.2729,11,8.8862,510.0604
30,1,2,1->2,0,13,0,sov,AM,1,0,31.2708,11,21.106,585.0625
31,1,2,1->2,0,13,0,sov,AM,1,0,31.2688,11,21.1074,585.0646
32,1,2,1->2,0,13,0,sov,AM,1,0,81.0333,11,8.1448,525.0667
33,1,2,1->2,0,13,0,sov,AM,1,0,26.7646,11,24.6595,435.0688
34,1,2,1->2,0,13,0,sov,AM,1,0,19.5792,11,33.7094,420.0708
35,1,2,1->2,0,13,0,sov,AM,1,0,44.8104,11,14.7287,570.0729
36,1,2,1->2,0,13,0,sov,AM,1,0,14.025,11,47.0589,405.075
37,1,2,1->2,0,13,0,sov,AM,1,0,64.2229,11,10.2767,495.0771
38,1,2,1->2,0,13,0,sov,AM,1,0,44.0542,11,14.9816,465.0792
39,1,2,1->2,0,13,0,sov,AM,1,0,14.0354,11,47.024,405.0812
40,1,2,1->2,0,13,0,sov,AM,1,0,74.2833,11,8.8849,510.0833
41,1,2,1->2,0,13,0,sov,AM,1,0,31.2479,11,21.1214,585.0854
42,1,2,1->2,0,13,0,sov,AM,1,0,14.0458,11,46.9891,405.0875
43,1,2,1->2,0,13,0,sov,AM,1,0,12.5771,11,52.4765,390.0896
44,1,2,1->2,0,13,0,sov,AM,1,0,14.0583,11,46.9473,405.0917
45,1,2,1->2,0,13,0,sov,AM,1,0,44.7896,11,14.7356,570.0938
46,1,2,1->2,0,13,0,sov,AM,1,0,12.5875,11,52.4331,390.0958
