mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,mvmt_txt_id,geometry,volume,free_speed,allowed_uses
53,31,,,30,2,2,38,3,3,1,,,right,,,,EBR,"LINESTRING (-112.1616143 33.6543674, -112.1615947 33.6543359)",,,
54,31,,,36,1,1,31,1,1,1,,,left,,,,SBL,"LINESTRING (-112.1615954 33.6544226, -112.1614417 33.6543686)",,,
55,31,,,36,2,2,38,3,3,1,,,right,,,,SBR,"LINESTRING (-112.1615954 33.6544226, -112.1615947 33.6543359)",,,
56,31,,,36,3,3,54,3,3,1,,,right,,,,SBR,"LINESTRING (-112.1615954 33.6544226, -112.1616143 33.6543904)",,,
57,31,,,39,3,3,31,2,2,1,,,right,,,,NBR,"LINESTRING (-112.1615806 33.6543189, -112.1614417 33.6543686)",,,
58,31,,,39,2,2,37,3,3,1,,,left,,,,NBL,"LINESTRING (-112.1615806 33.6543189, -112.1615814 33.6544395)",,,
59,31,,,39,1,1,54,1,1,1,,,left,,,,NBL,"LINESTRING (-112.1615806 33.6543189, -112.1616143 33.6543904)",,,
60,31,,,53,3,3,37,3,3,1,,,right,,,,WBR,"LINESTRING (-112.1614417 33.6543916, -112.1615814 33.6544395)",,,
61,31,,,53,1,1,38,1,1,1,,,left,,,,WBL,"LINESTRING (-112.1614417 33.6543916, -112.1615947 33.6543359)",,,
62,31,,,53,2,2,54,3,3,1,,,thru,,,,WBT,"LINESTRING (-112.1614417 33.6543916, -112.1616143 33.6543904)",,,
63,32,,,31,1,2,32,1,2,2,,,thru,,,,EBT,"LINESTRING (-112.1365743 33.6545404, -112.1364017 33.6545416)",,,
64,32,,,52,1,3,53,1,3,3,,,thru,,,,WBT,"LINESTRING (-112.1364017 33.6545636, -112.1365743 33.6545625)",,,
65,33,,,32,2,2,34,2,2,1,,,thru,,,,EBT,"LINESTRING (-112.1151263 33.6546765, -112.1149537 33.6546777)",,,
66,33,,,32,1,1,41,1,1,1,,,left,,,,EBL,"LINESTRING (-112.1151263 33.6546765, -112.1150522 33.6547607)",,,
67,33,,,32,2,2,42,3,3,1,,,right,,,,EBR,"LINESTRING (-112.1151263 33.6546765, -112.1150548 33.6546159)",,,
