mvmt_id,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,mvmt_txt_id,geometry,node_id,osm_node_id,name,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,volume,free_speed,allowed_uses,,
0,55,3,3,1,3,3,1,WBR,"LINESTRING (-112.216327 33.653928, -112.216358 33.653983)",1,,,,,right,,,,,,,,
1,55,1,2,11,1,2,2,WBL,"LINESTRING (-112.216327 33.653928, -112.216360 33.653870)",1,,,,,left,,,,,,,,
2,27,1,2,49,1,2,2,NBL,"LINESTRING (-112.029923 33.655231, -112.029953 33.655287)",2,,,,,left,,,,,,,,
3,27,3,3,70,1,1,1,NBR,"LINESTRING (-112.029923 33.655231, -112.029781 33.655285)",2,,,,,right,,,,,,,,
4,28,4,4,49,3,3,1,EBR,"LINESTRING (-112.029929 33.655336, -112.029953 33.655287)",2,,,,,right,,,,,,,,
5,28,1,1,70,1,1,1,EBT,"LINESTRING (-112.029929 33.655336, -112.029781 33.655285)",2,,,,,thru,,,,,,,,
6,33,1,1,70,1,1,1,EBT,"LINESTRING (-112.029953 33.655285, -112.029781 33.655285)",2,,,,,thru,,,,,,,,
7,71,1,1,49,1,1,1,WBT,"LINESTRING (-112.029781 33.655286, -112.029953 33.655287)",2,,,,,thru,,,,,,,,
8,1,1,3,2,1,3,3,NBR,"LINESTRING (-112.203166 33.667500, -112.203026 33.667556)",3,,,,,right,,,,,,,,
9,2,1,2,3,1,2,2,EBT,"LINESTRING (-112.182790 33.667637, -112.182618 33.667638)",4,,,,,thru,,,,,,,,
10,2,3,3,48,2,2,1,EBT,"LINESTRING (-112.182790 33.667637, -112.182630 33.667600)",4,,,,,thru,,,,,,,,
11,3,1,3,4,1,3,3,EBT,"LINESTRING (-112.163202 33.667771, -112.163030 33.667773)",5,,,,,thru,,,,,,,,
12,4,1,3,5,1,3,3,EBT,"LINESTRING (-112.140787 33.667925, -112.140615 33.667927)",6,,,,,thru,,,,,,,,
13,5,2,2,6,3,3,1,EBT,"LINESTRING (-112.120392 33.668066, -112.120220 33.668068)",7,,,,,thru,,,,,,,,
14,5,3,3,56,1,1,1,EBR,"LINESTRING (-112.120392 33.668066, -112.120273 33.668000)",7,,,,,right,,,,,,,,
15,5,1,1,60,1,1,1,EBL,"LINESTRING (-112.120392 33.668066, -112.120291 33.668138)",7,,,,,left,,,,,,,,
