link_id,from_node_id,to_node_id,from_cell_code,time_period,volume,background_volume,major_path_volume,ratio_of_major_path_flow,geometry,notes
60,7,42,,0600_1000,202.000,1.000,201.000,0.995,"LINESTRING (-112.1202950 33.6680650, -112.1196100 33.6714100)",
61,42,7,,0600_1000,200.000,0.000,200.000,1.000,"LINESTRING (-112.1196330 33.6714140, -112.1203170 33.6680690)",
62,23,43,,0600_1000,202.000,1.000,201.000,0.995,"LINESTRING (-112.1173510 33.6398690, -112.1169600 33.6348570)",
63,43,23,,0600_1000,200.000,0.000,200.000,1.000,"LINESTRING (-112.1169370 33.6348590, -112.1173290 33.6398710)",
64,11,44,,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.0461960 33.6685660, -112.0057270 33.6687410)",
65,44,11,,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.0057270 33.6687640, -112.0461960 33.6685890)",
66,44,45,,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.0057270 33.6687410, -111.9637300 33.6676120)",
67,45,44,,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-111.9637300 33.6676350, -112.0057270 33.6687640)",
68,45,46,,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-111.9637320 33.6676120, -111.9328960 33.6627590)",
69,46,45,,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-111.9328920 33.6627820, -111.9637280 33.6676350)",
70,2,47,,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.0298670 33.6552750, -112.0024700 33.6548840)",
71,47,2,,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.0024700 33.6549070, -112.0298670 33.6552980)",
72,47,48,,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.0024700 33.6548840, -111.9642080 33.6536280)",
73,48,47,,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-111.9642070 33.6536510, -112.0024700 33.6549070)",
74,48,49,,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-111.9642070 33.6536280, -111.9297020 33.6539670)",
75,49,48,,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-111.9297020 33.6539900, -111.9642080 33.6536510)",
76,44,47,,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.0057380 33.6687500, -112.0024800 33.6548930)",
77,47,44,,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.0024600 33.6548970, -112.0057170 33.6687540)",
78,47,50,,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.0024810 33.6548950, -112.0018380 33.6391970)",
79,50,47,,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.0018150 33.6391970, -112.0024590 33.6548950)",
