link_id,tmc_corridor_name,link_type_name,from_node_id,to_node_id,from_cell_code,lanes,link_distance_in_km,free_speed,FFTT,time_period,volume,CA,CD,density,queue_link_distance_in_km,discharge_rate_per_period,travel_time,waiting_time_in_min,RT_speed,speed,geometry,notes
1,,,1,3,,3,1.950,60.000,1.212,0600:00.000_0700:00.000,3566.000,3628.000,3566.000,10.596,62.000,5700.000,1.212,0.000,60.000,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",simulation-based
1,,,1,3,,3,1.950,60.000,1.212,0700:00.000_0800:00.000,3507.000,7253.000,7073.000,30.763,180.000,5700.000,1.212,0.000,60.000,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",simulation-based
1,,,1,3,,3,1.950,60.000,1.212,0800:00.000_0900:00.000,3513.000,10875.000,10586.000,49.392,289.000,5700.000,1.212,0.000,60.000,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",simulation-based
1,,,1,3,,3,1.950,60.000,1.212,0900:00.000_1000:00.000,3612.000,14500.000,14198.000,51.613,302.000,5700.000,1.212,0.000,60.000,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",simulation-based
1,,,1,3,,3,1.950,60.000,1.212,1000:00.000_1100:00.000,302.000,14500.000,14500.000,0.000,0.000,5700.000,1.212,0.000,60.000,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",simulation-based
2,,,3,4,,3,1.892,60.000,1.176,0600:00.000_0700:00.000,3235.000,3566.000,3235.000,58.317,331.000,5400.000,1.198,0.022,58.894,"LINESTRING (-112.2031120 33.6675560, -112.1827040 33.6676370)",simulation-based
2,,,3,4,,3,1.892,60.000,1.176,0700:00.000_0800:00.000,3323.000,7073.000,6558.000,90.735,515.000,5400.000,1.230,0.054,57.376,"LINESTRING (-112.2031120 33.6675560, -112.1827040 33.6676370)",simulation-based
2,,,3,4,,3,1.892,60.000,1.176,0800:00.000_0900:00.000,3406.000,10586.000,9964.000,109.587,622.000,5400.000,1.240,0.064,56.900,"LINESTRING (-112.2031120 33.6675560, -112.1827040 33.6676370)",simulation-based
2,,,3,4,,3,1.892,60.000,1.176,0900:00.000_1000:00.000,3311.000,14198.000,13275.000,162.618,923.000,5400.000,1.176,0.000,60.000,"LINESTRING (-112.2031120 33.6675560, -112.1827040 33.6676370)",simulation-based
2,,,3,4,,3,1.892,60.000,1.176,1000:00.000_1100:00.000,1225.000,14500.000,14500.000,0.000,0.000,5400.000,1.176,0.000,60.000,"LINESTRING (-112.2031120 33.6675560, -112.1827040 33.6676370)",simulation-based
