link_id,tmc_corridor_name,link_type_name,from_node_id,to_node_id,from_cell_code,lanes,link_distance_in_km,free_speed,FFTT,time_period,volume,CA,CD,density,queue_link_distance_in_km,discharge_rate_per_period,travel_time,waiting_time_in_min,RT_speed,speed,geometry,notes
1,,,1,3,,3,1.950,60.000,1.212,0600:00.000_1000:00.000,14198.000,14500.000,14198.000,51.613,302.000,5700.000,2.807,1.595,25.912,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",simulation-based
2,,,3,4,,3,1.892,60.000,1.176,0600:00.000_1000:00.000,13275.000,14198.000,13275.000,162.618,923.000,5400.000,8.306,7.130,8.494,"LINESTRING (-112.2031120 33.6675560, -112.1827040 33.6676370)",simulation-based
3,,,4,5,,3,1.816,60.000,1.129,0600:00.000_1000:00.000,13219.000,13278.000,13219.000,10.830,59.000,5400.000,1.146,0.017,59.100,"LINESTRING (-112.1827040 33.6676370, -112.1631160 33.6677720)",simulation-based
4,,,5,6,,3,2.078,60.000,1.292,0600:00.000_1000:00.000,13142.000,13219.000,13142.000,12.351,77.000,5400.000,1.308,0.016,59.259,"LINESTRING (-112.1631160 33.6677720, -112.1407010 33.6679260)",simulation-based
5,,,6,7,,3,1.891,60.000,1.175,0600:00.000_1000:00.000,13089.000,13142.000,13089.000,9.344,53.000,5400.000,1.193,0.017,59.125,"LINESTRING (-112.1407010 33.6679260, -112.1203060 33.6680670)",simulation-based
6,,,7,8,,3,2.059,60.000,1.280,0600:00.000_1000:00.000,11896.000,12996.000,11896.000,178.051,1100.000,5400.000,11.441,10.162,6.712,"LINESTRING (-112.1203060 33.6680670, -112.0980930 33.6682200)",simulation-based
7,,,8,9,,3,1.704,60.000,1.059,0600:00.000_1000:00.000,11835.000,11896.000,11835.000,11.935,61.000,5400.000,1.080,0.021,58.829,"LINESTRING (-112.0980930 33.6682200, -112.0797170 33.6683470)",simulation-based
8,,,10,11,,2,1.498,60.000,0.931,0600:00.000_1000:00.000,11727.000,11779.000,11727.000,17.360,52.000,3600.000,0.942,0.011,59.282,"LINESTRING (-112.0623510 33.6684660, -112.0461960 33.6685780)",simulation-based
9,,,11,12,,3,0.987,60.000,0.614,0600:00.000_1000:00.000,11695.000,11727.000,11695.000,10.803,32.000,5400.000,0.613,-0.001,60.050,"LINESTRING (-112.0461960 33.6685780, -112.0386420 33.6623000)",simulation-based
10,,,9,10,,2,1.610,60.000,1.001,0600:00.000_1000:00.000,11779.000,11835.000,11779.000,17.392,56.000,3600.000,1.183,0.182,50.758,"LINESTRING (-112.0797170 33.6683470, -112.0623510 33.6684660)",simulation-based
11,,,1,14,,3,0.768,60.000,0.478,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,0.478,0.000,60.000,"LINESTRING (-112.2164130 33.6539270, -112.2113330 33.6484510)",simulation-based
12,,,14,15,,3,0.633,60.000,0.394,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,0.394,0.000,60.000,"LINESTRING (-112.2113330 33.6484510, -112.2070350 33.6440130)",simulation-based
13,,,15,16,,3,0.681,60.000,0.423,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,0.423,0.000,60.000,"LINESTRING (-112.2070350 33.6440130, -112.2023290 33.6392980)",simulation-based
14,,,16,17,,3,1.068,60.000,0.663,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,0.663,0.000,60.000,"LINESTRING (-112.2023290 33.6392980, -112.1908180 33.6393780)",simulation-based
15,,,17,18,,3,1.011,60.000,0.628,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,0.628,0.000,60.000,"LINESTRING (-112.1908180 33.6393780, -112.1799140 33.6394530)",simulation-based
16,,,18,19,,3,1.086,60.000,0.675,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,0.675,0.000,60.000,"LINESTRING (-112.1799140 33.6394530, -112.1682020 33.6395340)",simulation-based
