link_id,tmc_corridor_name,link_type_name,from_node_id,to_node_id,from_cell_code,lanes,link_distance_in_km,free_speed,FFTT,time_period,volume,CA,CD,density,queue_link_distance_in_km,discharge_rate_per_period,travel_time,waiting_time_in_min,RT_speed,speed,geometry,notes
17,,,19,20,,3,1.199,60.000,0.745,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,0.745,0.000,60.000,"LINESTRING (-112.1682020 33.6395340, -112.1552780 33.6396230)",simulation-based
18,,,20,21,,3,1.124,60.000,0.698,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,0.698,0.000,60.000,"LINESTRING (-112.1552780 33.6396230, -112.1431620 33.6397060)",simulation-based
19,,,21,22,,3,1.330,60.000,0.826,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,0.826,0.000,60.000,"LINESTRING (-112.1431620 33.6397060, -112.1288240 33.6398050)",simulation-based
20,,,22,23,,3,1.065,60.000,0.662,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,0.662,0.000,60.000,"LINESTRING (-112.1288240 33.6398050, -112.1173400 33.6398700)",simulation-based
21,,,23,24,,3,1.369,60.000,0.851,0600:00.000_1000:00.000,98.000,98.000,98.000,0.000,0.000,5400.000,0.850,-0.001,60.082,"LINESTRING (-112.1173400 33.6398700, -112.1025730 33.6399860)",simulation-based
22,,,24,25,,3,1.386,60.000,0.861,0600:00.000_1000:00.000,98.000,98.000,98.000,0.000,0.000,5400.000,0.858,-0.003,60.210,"LINESTRING (-112.1025730 33.6399860, -112.0876300 33.6400890)",simulation-based
23,,,25,26,,3,1.405,60.000,0.873,0600:00.000_1000:00.000,98.000,98.000,98.000,0.000,0.000,5400.000,0.871,-0.002,60.147,"LINESTRING (-112.0876300 33.6400890, -112.0724850 33.6401930)",simulation-based
24,,,26,27,,3,1.161,60.000,0.722,0600:00.000_1000:00.000,98.000,98.000,98.000,0.000,0.000,5400.000,0.721,-0.001,60.066,"LINESTRING (-112.0724850 33.6401930, -112.0599650 33.6402790)",simulation-based
25,,,27,28,,3,1.255,60.000,0.780,0600:00.000_1000:00.000,98.000,98.000,98.000,0.000,0.000,5400.000,0.779,-0.001,60.052,"LINESTRING (-112.0599650 33.6402790, -112.0464350 33.6403720)",simulation-based
26,,,28,29,,3,0.984,60.000,0.611,0600:00.000_1000:00.000,98.000,98.000,98.000,0.000,0.000,5400.000,0.611,0.000,60.000,"LINESTRING (-112.0464350 33.6403720, -112.0388420 33.6465680)",simulation-based
27,,,29,2,,3,1.275,60.000,0.793,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,0.793,0.000,60.000,"LINESTRING (-112.0388420 33.6465680, -112.0298670 33.6552860)",simulation-based
28,,,12,2,,4,1.125,60.000,0.699,0600:00.000_1000:00.000,5833.000,5844.000,5833.000,2.443,11.000,7200.000,0.699,0.000,60.000,"LINESTRING (-112.0386420 33.6623000, -112.0298670 33.6552860)",simulation-based
29,,,1,30,,2,2.580,30.000,3.207,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,3600.000,3.207,0.000,30.000,"LINESTRING (-112.2164130 33.6539160, -112.1885870 33.6541820)",simulation-based
30,,,30,31,,2,2.509,30.000,3.119,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1800.000,3.119,0.000,30.000,"LINESTRING (-112.1885870 33.6541820, -112.1615280 33.6543680)",simulation-based
31,,,31,32,,2,2.322,30.000,2.886,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,3600.000,2.886,0.000,30.000,"LINESTRING (-112.1615280 33.6543680, -112.1364880 33.6545410)",simulation-based
32,,,32,33,,2,1.989,30.000,2.472,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1800.000,2.472,0.000,30.000,"LINESTRING (-112.1364880 33.6545410, -112.1150400 33.6546770)",simulation-based
33,,,34,2,,2,3.108,20.000,5.795,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,3600.000,5.795,0.000,20.000,"LINESTRING (-112.0633880 33.6550440, -112.0298670 33.6552750)",simulation-based
34,,,33,35,,2,2.449,30.000,3.044,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1800.000,3.044,0.000,30.000,"LINESTRING (-112.1150400 33.6546770, -112.0886300 33.6548700)",simulation-based
35,,,35,34,,2,2.341,10.000,8.728,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1800.000,8.728,0.000,10.000,"LINESTRING (-112.0886300 33.6548700, -112.0633880 33.6550440)",simulation-based
36,,,36,31,,3,0.974,30.000,1.211,0600:00.000_1000:00.000,1.000,1.000,1.000,0.000,0.000,3000.000,1.208,-0.003,30.068,"LINESTRING (-112.1688870 33.6606500, -112.1615350 33.6543710)",simulation-based
37,,,31,36,,3,0.974,65.000,0.559,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.559,0.000,65.000,"LINESTRING (-112.1615210 33.6543880, -112.1688730 33.6606660)",simulation-based
38,,,31,37,,3,0.964,65.000,0.553,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.553,0.000,65.000,"LINESTRING (-112.1615350 33.6543880, -112.1687240 33.6481020)",simulation-based
39,,,37,31,,3,0.964,65.000,0.553,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.553,0.000,65.000,"LINESTRING (-112.1687100 33.6480850, -112.1615210 33.6543710)",simulation-based
40,,,38,33,,3,0.893,65.000,0.512,0600:00.000_1000:00.000,99.000,99.000,99.000,0.000,0.000,5700.000,0.508,-0.004,65.502,"LINESTRING (-112.1175340 33.6624650, -112.1150510 33.6546850)",simulation-based
41,,,33,38,,3,0.893,65.000,0.512,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.512,0.000,65.000,"LINESTRING (-112.1150300 33.6546910, -112.1175130 33.6624720)",simulation-based
42,,,33,39,,3,0.871,65.000,0.500,0600:00.000_1000:00.000,99.000,99.000,99.000,0.000,0.000,5700.000,0.496,-0.004,65.546,"LINESTRING (-112.1150520 33.6546880, -112.1153660 33.6468330)",simulation-based
43,,,39,33,,3,0.871,65.000,0.500,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.500,0.000,65.000,"LINESTRING (-112.1153430 33.6468330, -112.1150290 33.6546880)",simulation-based
44,,,40,35,,3,0.812,65.000,0.466,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.466,0.000,65.000,"LINESTRING (-112.0943640 33.6604190, -112.0886370 33.6548730)",simulation-based
45,,,35,40,,3,0.812,65.000,0.466,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.466,0.000,65.000,"LINESTRING (-112.0886230 33.6548900, -112.0943490 33.6604350)",simulation-based
46,,,35,41,,3,1.281,65.000,0.735,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.735,0.000,65.000,"LINESTRING (-112.0886360 33.6548910, -112.0996530 33.6479270)",simulation-based
47,,,41,35,,3,1.280,65.000,0.735,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.735,0.000,65.000,"LINESTRING (-112.0996410 33.6479090, -112.0886240 33.6548720)",simulation-based
48,,,4,36,,2,1.497,30.000,1.861,0600:00.000_1000:00.000,1.000,1.000,1.000,0.000,0.000,1400.000,1.867,0.006,29.907,"LINESTRING (-112.1827040 33.6676370, -112.1688800 33.6606580)",simulation-based
49,,,2,34,,3,3.108,65.000,1.783,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,1.783,0.000,65.000,"LINESTRING (-112.0298670 33.6552980, -112.0633880 33.6550670)",simulation-based
50,,,34,35,,3,2.341,65.000,1.343,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,1.343,0.000,65.000,"LINESTRING (-112.0633880 33.6550670, -112.0886300 33.6548930)",simulation-based
51,,,35,33,,3,2.449,65.000,1.405,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,1.405,0.000,65.000,"LINESTRING (-112.0886300 33.6548930, -112.1150410 33.6546990)",simulation-based
52,,,33,32,,3,1.989,65.000,1.141,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,1.141,0.000,65.000,"LINESTRING (-112.1150410 33.6546990, -112.1364880 33.6545630)",simulation-based
53,,,32,31,,3,2.322,65.000,1.332,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,1.332,0.000,65.000,"LINESTRING (-112.1364880 33.6545630, -112.1615280 33.6543910)",simulation-based
54,,,31,30,,3,2.509,65.000,1.439,0600:00.000_1000:00.000,1.000,1.000,1.000,0.000,0.000,5700.000,1.439,0.000,65.000,"LINESTRING (-112.1615280 33.6543910, -112.1885880 33.6542040)",simulation-based
55,,,30,1,,3,2.580,65.000,1.480,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,1.480,0.000,65.000,"LINESTRING (-112.1885880 33.6542040, -112.2164130 33.6539380)",simulation-based
56,,,7,38,,1,0.672,65.000,0.386,0600:00.000_1000:00.000,99.000,99.000,99.000,0.000,0.000,1900.000,0.393,0.008,63.742,"LINESTRING (-112.1203160 33.6680620, -112.1175340 33.6624630)",simulation-based
57,,,38,7,,1,0.672,65.000,0.386,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,0.386,0.000,65.000,"LINESTRING (-112.1175130 33.6624740, -112.1202960 33.6680720)",simulation-based
58,,,39,23,,1,0.794,65.000,0.455,0600:00.000_1000:00.000,99.000,99.000,99.000,0.000,0.000,1900.000,0.455,0.000,65.000,"LINESTRING (-112.1153650 33.6468360, -112.1173500 33.6398730)",simulation-based
59,,,23,39,,1,0.794,65.000,0.455,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,0.455,0.000,65.000,"LINESTRING (-112.1173300 33.6398670, -112.1153440 33.6468300)",simulation-based
60,,,7,42,,1,0.376,65.000,0.216,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,0.216,0.000,65.000,"LINESTRING (-112.1202950 33.6680650, -112.1196100 33.6714100)",simulation-based
61,,,42,7,,1,0.376,65.000,0.216,0600:00.000_1000:00.000,98.000,100.000,98.000,5.316,2.000,1900.000,0.226,0.010,62.196,"LINESTRING (-112.1196330 33.6714140, -112.1203170 33.6680690)",simulation-based
62,,,23,43,,1,0.557,65.000,0.319,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,0.319,0.000,65.000,"LINESTRING (-112.1173510 33.6398690, -112.1169600 33.6348570)",simulation-based
63,,,43,23,,1,0.557,65.000,0.319,0600:00.000_1000:00.000,98.000,100.000,98.000,3.592,2.000,1900.000,0.333,0.013,62.422,"LINESTRING (-112.1169370 33.6348590, -112.1173290 33.6398710)",simulation-based
64,,,11,44,,1,3.752,65.000,2.152,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,2.152,0.000,65.000,"LINESTRING (-112.0461960 33.6685660, -112.0057270 33.6687410)",simulation-based
65,,,44,11,,1,3.752,65.000,2.152,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,2.152,0.000,65.000,"LINESTRING (-112.0057270 33.6687640, -112.0461960 33.6685890)",simulation-based
66,,,44,45,,1,3.895,65.000,2.235,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,2.235,0.000,65.000,"LINESTRING (-112.0057270 33.6687410, -111.9637300 33.6676120)",simulation-based
67,,,45,44,,1,3.895,65.000,2.235,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,2.235,0.000,65.000,"LINESTRING (-111.9637300 33.6676350, -112.0057270 33.6687640)",simulation-based
68,,,45,46,,1,2.909,65.000,1.669,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,1.669,0.000,65.000,"LINESTRING (-111.9637320 33.6676120, -111.9328960 33.6627590)",simulation-based
69,,,46,45,,1,2.909,65.000,1.669,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,1.669,0.000,65.000,"LINESTRING (-111.9328920 33.6627820, -111.9637280 33.6676350)",simulation-based
70,,,2,47,,1,2.541,65.000,1.458,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,1.458,0.000,65.000,"LINESTRING (-112.0298670 33.6552750, -112.0024700 33.6548840)",simulation-based
71,,,47,2,,1,2.541,65.000,1.458,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,1.458,0.000,65.000,"LINESTRING (-112.0024700 33.6549070, -112.0298670 33.6552980)",simulation-based
72,,,47,48,,1,3.550,65.000,2.037,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,2.037,0.000,65.000,"LINESTRING (-112.0024700 33.6548840, -111.9642080 33.6536280)",simulation-based
73,,,48,47,,1,3.550,65.000,2.037,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,2.037,0.000,65.000,"LINESTRING (-111.9642070 33.6536510, -112.0024700 33.6549070)",simulation-based
74,,,48,49,,1,3.200,65.000,1.836,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,1.836,0.000,65.000,"LINESTRING (-111.9642070 33.6536280, -111.9297020 33.6539670)",simulation-based
75,,,49,48,,1,3.200,65.000,1.836,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,1.836,0.000,65.000,"LINESTRING (-111.9297020 33.6539900, -111.9642080 33.6536510)",simulation-based
76,,,44,47,,1,1.566,65.000,0.898,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,0.898,0.000,65.000,"LINESTRING (-112.0057380 33.6687500, -112.0024800 33.6548930)",simulation-based
77,,,47,44,,1,1.566,65.000,0.898,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,0.898,0.000,65.000,"LINESTRING (-112.0024600 33.6548970, -112.0057170 33.6687540)",simulation-based
78,,,47,50,,1,1.741,65.000,0.999,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,0.999,0.000,65.000,"LINESTRING (-112.0024810 33.6548950, -112.0018380 33.6391970)",simulation-based
79,,,50,47,,1,1.741,65.000,0.999,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1900.000,0.999,0.000,65.000,"LINESTRING (-112.0018150 33.6391970, -112.0024590 33.6548950)",simulation-based
