link_id,from_node_id,to_node_id,link_type_name,link_type_code,time_period,volume,travel_time,speed,speed_ratio,VOC,capacity,queue,avg_waiting_time_in_min,congestion_duration_in_h,geometry,TT_0,notes
1,1,3,,,0600_1000,29000.000,1.688,43.085,0.718,1.3,1900.000,0.000,0.000,1.361,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",1.21,period-based
2,3,4,,,0600_1000,29000.000,1.749,40.339,0.672,1.3,1800.000,0.000,0.000,1.458,"LINESTRING (-112.2031120 33.6675560, -112.1827040 33.6676370)",1.18,period-based
3,4,5,,,0600_1000,29006.000,1.679,40.328,0.672,1.3,1800.000,0.000,0.000,1.458,"LINESTRING (-112.1827040 33.6676370, -112.1631160 33.6677720)",1.13,period-based
4,5,6,,,0600_1000,29006.000,1.922,40.328,0.672,1.3,1800.000,0.000,0.000,1.458,"LINESTRING (-112.1631160 33.6677720, -112.1407010 33.6679260)",1.29,period-based
5,6,7,,,0600_1000,29006.000,1.748,40.328,0.672,1.3,1800.000,0.000,0.000,1.458,"LINESTRING (-112.1407010 33.6679260, -112.1203060 33.6680670)",1.18,period-based
6,7,8,,,0600_1000,28802.000,1.887,40.700,0.678,1.3,1800.000,0.000,0.000,1.445,"LINESTRING (-112.1203060 33.6680670, -112.0980930 33.6682200)",1.28,period-based
7,8,9,,,0600_1000,28802.000,1.561,40.700,0.678,1.3,1800.000,0.000,0.000,1.445,"LINESTRING (-112.0980930 33.6682200, -112.0797170 33.6683470)",1.06,period-based
8,10,11,,,0600_1000,28802.000,3.165,17.644,0.294,2.0,1800.000,0.000,0.000,2.429,"LINESTRING (-112.0623510 33.6684660, -112.0461960 33.6685780)",0.93,period-based
9,11,12,,,0600_1000,28802.000,0.905,40.700,0.678,1.3,1800.000,0.000,0.000,1.445,"LINESTRING (-112.0461960 33.6685780, -112.0386420 33.6623000)",0.61,period-based
10,9,10,,,0600_1000,28802.000,3.403,17.644,0.294,2.0,1800.000,0.000,0.000,2.429,"LINESTRING (-112.0797170 33.6683470, -112.0623510 33.6684660)",1.00,period-based
11,1,14,,,0600_1000,0.000,0.478,60.000,1.000,0.0,1800.000,0.000,0.000,0.000,"LINESTRING (-112.2164130 33.6539270, -112.2113330 33.6484510)",0.48,period-based
12,14,15,,,0600_1000,0.000,0.394,60.000,1.000,0.0,1800.000,0.000,0.000,0.000,"LINESTRING (-112.2113330 33.6484510, -112.2070350 33.6440130)",0.39,period-based
13,15,16,,,0600_1000,0.000,0.423,60.000,1.000,0.0,1800.000,0.000,0.000,0.000,"LINESTRING (-112.2070350 33.6440130, -112.2023290 33.6392980)",0.42,period-based
14,16,17,,,0600_1000,0.000,0.663,60.000,1.000,0.0,1800.000,0.000,0.000,0.000,"LINESTRING (-112.2023290 33.6392980, -112.1908180 33.6393780)",0.66,period-based
15,17,18,,,0600_1000,0.000,0.628,60.000,1.000,0.0,1800.000,0.000,0.000,0.000,"LINESTRING (-112.1908180 33.6393780, -112.1799140 33.6394530)",0.63,period-based
16,18,19,,,0600_1000,0.000,0.675,60.000,1.000,0.0,1800.000,0.000,0.000,0.000,"LINESTRING (-112.1799140 33.6394530, -112.1682020 33.6395340)",0.68,period-based
17,19,20,,,0600_1000,0.000,0.745,60.000,1.000,0.0,1800.000,0.000,0.000,0.000,"LINESTRING (-112.1682020 33.6395340, -112.1552780 33.6396230)",0.74,period-based
18,20,21,,,0600_1000,0.000,0.698,60.000,1.000,0.0,1800.000,0.000,0.000,0.000,"LINESTRING (-112.1552780 33.6396230, -112.1431620 33.6397060)",0.70,period-based
19,21,22,,,0600_1000,0.000,0.826,60.000,1.000,0.0,1800.000,0.000,0.000,0.000,"LINESTRING (-112.1431620 33.6397060, -112.1288240 33.6398050)",0.83,period-based
20,22,23,,,0600_1000,0.000,0.662,60.000,1.000,0.0,1800.000,0.000,0.000,0.000,"LINESTRING (-112.1288240 33.6398050, -112.1173400 33.6398700)",0.66,period-based
21,23,24,,,0600_1000,200.000,0.851,60.000,1.000,0.0,1800.000,0.000,0.000,0.002,"LINESTRING (-112.1173400 33.6398700, -112.1025730 33.6399860)",0.85,period-based
22,24,25,,,0600_1000,200.000,0.861,60.000,1.000,0.0,1800.000,0.000,0.000,0.002,"LINESTRING (-112.1025730 33.6399860, -112.0876300 33.6400890)",0.86,period-based
23,25,26,,,0600_1000,200.000,0.873,60.000,1.000,0.0,1800.000,0.000,0.000,0.002,"LINESTRING (-112.0876300 33.6400890, -112.0724850 33.6401930)",0.87,period-based
