first_column,path_no,o_zone_id,d_zone_id,within_OD_path_no,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,sensor_flag,toll,#_of_nodes,travel_time,VDF_travel_time,VDF_travel_time_without_access_link,distance_km,node_sequence,link_sequence,geometry,link_type_name_sequence,link_code_sequence,link_link_distance_in_km_sequence,link_FFTT_sequence,
,1,1,2,0,1,0,sov,AM,7200.00,7200,1,0,0.0,11,28.8,20.5110,20.5110,18.6107,1;3;4;5;6;7;8;9;10;11;12;,1;2;3;4;5;6;7;10;8;9;,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.098093 33.668220, -112.079717 33.668347, -112.062351 33.668466, -112.046196 33.668578, -112.038642 33.662300)";;;;;;;;;;,;;;;;;;;;;,1.950;1.892;1.816;2.078;1.891;2.059;1.704;1.610;1.498;0.987;,1.212;1.176;1.129;1.292;1.175;1.280;1.059;1.001;0.931;0.614;,
,2,1,2,1,3,0,sov,AM,7200.00,7200,1,0,0.0,12,29.6,20.5110,20.5110,18.6107,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.098093 33.668220, -112.079717 33.668347, -112.062351 33.668466, -112.046196 33.668578, -112.038642 33.662300, -112.029867 33.655286)";;;;;;;;;;;,;;;;;;;;;;;,1.950;1.892;1.816;2.078;1.891;2.059;1.704;1.610;1.498;0.987;1.125;,1.212;1.176;1.129;1.292;1.175;1.280;1.059;1.001;0.931;0.614;0.699;,
,3,1,42,0,2,0,sov,AM,100.00,100,1,0,0.0,6,14.8,9.0019,9.0019,10.0035,1;3;4;5;6;7;,1;2;3;4;5;,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067)";;;;;,;;;;;,1.950;1.892;1.816;2.078;1.891;,1.212;1.176;1.129;1.292;1.175;,
,4,42,43,0,11,0,sov,AM,100.00,100,1,0,0.0,6,2.1,2.3884,2.3884,4.1632,42;7;38;33;39;23;,61;56;40;42;58;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.115354 33.646833, -112.117340 33.639870)";;;;;,;;;;;,0.376;0.672;0.893;0.871;0.794;,0.216;0.386;0.512;0.500;0.455;,
,5,43,2,0,so,0,sov,AM,100.00,100,1,0,0.0,8,5.0,5.8104,5.8104,9.3917,43;23;24;25;26;27;28;29;,63;21;22;23;24;25;26;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.102573 33.639986, -112.087630 33.640089, -112.072485 33.640193, -112.059965 33.640279, -112.046435 33.640372, -112.038842 33.646568)";;;;;;;,;;;;;;;,0.557;1.369;1.386;1.405;1.161;1.255;0.984;,0.319;0.851;0.861;0.873;0.722;0.780;0.611;,
