link_id,from_node_id,to_node_id,time_period,volume,CA,CD,density,queue,travel_time,waiting_time_in_sec,speed
1,1,2,0130:00_0131:00,0,14,14,0.0,0,6.0,0,60.0
2,1,3,0130:00_0131:00,0,19,19,0.0,0,4.0,0,60.0
3,2,1,0130:00_0131:00,0,14,14,0.0,0,6.0,0,60.0
4,2,6,0130:00_0131:00,0,25,25,0.0,0,5.0,0,60.0
5,3,1,0130:00_0131:00,0,19,19,0.0,0,4.0,0,60.0
6,3,4,0130:00_0131:00,0,33,33,0.0,0,4.0,0,60.0
7,3,12,0130:00_0131:00,0,29,29,0.0,0,4.0,0,60.0
8,4,3,0130:00_0131:00,0,33,33,0.0,0,4.0,0,60.0
9,4,5,0130:00_0131:00,0,43,43,0.0,0,2.0,0,60.0
10,4,11,0130:00_0131:00,0,21,21,0.0,0,6.0,0,60.0
11,5,4,0130:00_0131:00,0,43,43,0.0,0,2.0,0,60.0
12,5,6,0130:00_0131:00,0,41,41,0.0,0,4.0,0,60.0
13,5,9,0130:00_0131:00,0,15,15,0.0,0,5.0,0,60.0
14,6,2,0130:00_0131:00,0,25,25,0.0,0,5.0,0,60.0
15,6,5,0130:00_0131:00,0,41,41,0.0,0,4.0,0,60.0
16,6,8,0130:00_0131:00,0,53,53,0.0,0,2.0,0,60.0
17,7,8,0130:00_0131:00,0,31,31,0.0,0,3.0,0,60.0
18,7,18,0130:00_0131:00,0,36,36,0.0,0,2.0,0,60.0
19,8,6,0130:00_0131:00,0,53,53,0.0,0,2.0,0,60.0
20,8,7,0130:00_0131:00,0,31,31,0.0,0,3.0,0,60.0
21,8,9,0130:00_0131:00,0,2,2,0.0,0,10.0,0,60.0
22,8,16,0130:00_0131:00,0,25,25,0.0,0,5.0,0,60.0
23,9,5,0130:00_0131:00,0,15,15,0.0,0,5.0,0,60.0
24,9,8,0130:00_0131:00,0,2,2,0.0,0,10.0,0,60.0
25,9,10,0130:00_0131:00,0,24,24,0.0,0,3.0,0,60.0
26,10,9,0130:00_0131:00,0,24,24,0.0,0,3.0,0,60.0
27,10,11,0130:00_0131:00,0,21,21,0.0,0,5.0,0,60.0
28,10,15,0130:00_0131:00,0,9,9,0.0,0,6.0,0,60.0
29,10,16,0130:00_0131:00,0,20,20,0.0,0,5.0,0,60.0
30,10,17,0130:00_0131:00,0,0,0,0.0,0,8.0,0,60.0
31,11,4,0130:00_0131:00,0,21,21,0.0,0,6.0,0,60.0
32,11,10,0130:00_0131:00,0,20,20,0.0,0,5.0,0,60.0
33,11,12,0130:00_0131:00,0,13,13,0.0,0,6.0,0,60.0
34,11,14,0130:00_0131:00,0,31,31,0.0,0,4.0,0,60.0
35,12,3,0130:00_0131:00,0,29,29,0.0,0,4.0,0,60.0
36,12,11,0130:00_0131:00,0,13,13,0.0,0,6.0,0,60.0
37,12,13,0130:00_0131:00,0,31,31,0.0,0,3.0,0,60.0
38,13,12,0130:00_0131:00,0,31,31,0.0,0,3.0,0,60.0
39,13,24,0130:00_0131:00,0,30,30,0.0,0,4.0,0,60.0
40,14,11,0130:00_0131:00,0,30,30,0.0,0,4.0,0,60.0
41,14,15,0130:00_0131:00,0,15,15,0.0,0,5.0,0,60.0
42,14,23,0130:00_0131:00,0,17,17,0.0,0,4.0,0,60.0
43,15,10,0130:00_0131:00,0,9,9,0.0,0,6.0,0,60.0
44,15,14,0130:00_0131:00,0,14,14,0.0,0,5.0,0,60.0
45,15,19,0130:00_0131:00,0,22,22,0.0,0,4.0,0,60.0
46,15,22,0130:00_0131:00,0,15,15,0.0,0,4.0,0,60.0
47,16,8,0130:00_0131:00,0,25,25,0.0,0,5.0,0,60.0
48,16,10,0130:00_0131:00,0,21,21,0.0,0,5.0,0,60.0
49,16,17,0130:00_0131:00,0,35,35,0.0,0,2.0,0,60.0
50,16,18,0130:00_0131:00,0,23,23,0.0,0,3.0,0,60.0
51,17,10,0130:00_0131:00,0,0,0,0.0,0,8.0,0,60.0
52,17,16,0130:00_0131:00,0,35,35,0.0,0,2.0,0,60.0
53,17,19,0130:00_0131:00,0,30,30,0.0,0,2.0,0,60.0
54,18,7,0130:00_0131:00,0,36,36,0.0,0,2.0,0,60.0
55,18,16,0130:00_0131:00,0,24,24,0.0,0,3.0,0,60.0
56,18,20,0130:00_0131:00,0,34,34,0.0,0,4.0,0,60.0
57,19,15,0130:00_0131:00,0,21,21,0.0,0,4.0,0,60.0
58,19,17,0130:00_0131:00,0,30,30,0.0,0,2.0,0,60.0
