node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,activity_type,is_boundary,main_node_id
74,,-112.03065,33.46196,,,,,motorway,0,
75,,-112.03771,33.46433,,,,,motorway,0,
76,,-112.03831,33.46007,,,,,motorway,0,
77,,-112.05293,33.46184,,,,,motorway,0,
78,,-112.0544,33.46214,,,signal,,motorway,0,
79,,-112.07809,33.46184,,,,,motorway,0,
80,,-112.08899,33.46169,,,,,motorway,0,
81,,-112.06561,33.46187,,,,,motorway,0,
82,,-112.06659,33.46302,,,,,motorway,0,
83,,-112.06558,33.46267,,,,,motorway,0,
84,,-112.06479,33.46183,,,,,motorway,0,
85,,-112.06387,33.46152,,,,,motorway,0,
86,,-112.06368,33.46269,,,,,motorway,0,
87,,-112.03828,33.43948,,,,,motorway,0,
88,,-112.03443,33.4376,,,,,motorway,0,
89,,-112.037,33.43957,,,,,motorway,0,
90,,-112.03442,33.43769,,,,,motorway,0,
91,,-112.08154,33.46062,,,,,motorway,0,
92,,-112.03836,33.46481,,,,,motorway,0,
93,,-112.03813,33.4596,,,,,motorway,0,
94,,-112.03871,33.46385,,,,,motorway,0,
95,,-112.04056,33.46129,,,,,motorway,0,
96,,-112.03737,33.46277,,,,,motorway,0,
97,,-112.03801,33.46151,,,,,motorway,0,
98,,-112.03034,33.46294,,,,,motorway,1,
99,,-112.03092,33.46246,,,,,motorway,0,
100,,-112.03188,33.46143,,,,,motorway,0,
101,,-112.03133,33.4615,,,,,motorway,0,
102,,-112.02907,33.46159,,,,,motorway,0,
103,,-112.02691,33.46176,,,signal,,motorway,0,
104,,-112.02356,33.46193,,,,,motorway,0,
105,,-112.03761,33.46517,,,,,motorway,0,
106,,-112.03767,33.46646,,,,,motorway,0,
107,,-112.04091,33.485,,,,,motorway,0,
108,,-112.03877,33.47736,,,,,motorway,1,
109,,-112.03795,33.47846,,,,,motorway,1,
110,,-112.03919,33.48228,,,,,motorway,0,
111,,-112.03876,33.47022,,,,,motorway,0,
112,,-112.03867,33.46689,,,,,motorway,0,
113,,-112.03862,33.46497,,,,,motorway,0,
114,,-112.03911,33.46574,,,,,motorway,1,
115,,-112.043,33.46196,,,,,motorway,0,
116,,-112.03663,33.46205,,,,,motorway,0,
117,,-112.03663,33.46211,,,,,motorway,0,
118,,-112.043,33.46201,,,,,motorway,0,
119,,-112.04672,33.46223,,,,,motorway,0,
120,,-112.04012,33.46118,,,,,motorway,0,
121,,-112.06097,33.46211,,,,,motorway,0,
122,,-112.06918,33.46271,,,,,motorway,0,
123,,-112.06669,33.46164,,,,,motorway,0,
124,,-112.07798,33.46146,,,,,motorway,0,
125,,-112.03677,33.45501,,,,,motorway,0,
126,,-112.03738,33.44852,,,,,motorway,0,
127,,-112.03655,33.45554,,,,,motorway,0,
128,,-112.03813,33.44648,,,,,motorway,0,
129,,-112.03706,33.44106,,,,,motorway,0,
130,,-112.0372,33.42695,,,,,motorway,0,
131,,-112.03759,33.43995,,,,,motorway,0,
132,,-112.03781,33.43756,,,,,motorway,0,
133,,-112.03758,33.4294,,,,,motorway,0,
134,,-112.0376,33.44477,,,,,motorway,0,
135,,-112.0381,33.44124,,,,,motorway,1,
136,,-112.0369,33.44124,,,,,motorway,1,
137,,-112.03658,33.44651,,,,,motorway,0,
138,,-112.03638,33.45154,,,,,motorway,0,
139,,-112.03649,33.45248,,,,,motorway,0,
140,,-112.03713,33.44476,,,,,motorway,0,
141,,-112.03732,33.44852,,,,,motorway,0,
142,,-112.0367,33.45498,,,,,motorway,0,
143,,-112.06918,33.4626,,,,,motorway,0,
144,,-112.07792,33.46167,,,signal,,motorway,1,
145,,-112.07989,33.46138,,,signal,,motorway,0,
146,,-112.08754,33.4615,,,,,motorway,0,
147,,-112.0816,33.46109,,,,,motorway,0,
148,,-112.07693,33.46184,,,,,motorway,0,
149,,-112.07815,33.46194,,,,,motorway,0,
150,,-112.07918,33.4619,,,,,motorway,0,
151,,-112.08159,33.46156,,,,,motorway,0,
152,,-112.08217,33.46138,,,,,motorway,0,
153,,-112.08218,33.46067,,,,,motorway,0,
154,,-112.08421,33.46049,,,,,motorway,0,
155,,-112.08316,33.46061,,,,,motorway,0,
156,,-112.0837,33.46154,,,,,motorway,0,
157,,-112.0854,33.46158,,,,,motorway,0,
158,,-112.08312,33.46139,,,,,motorway,0,
159,,-112.03777,33.43119,,,,,motorway,0,
160,,-112.03724,33.43687,,,,,motorway,1,
162,,-112.03833,33.43618,,,,,motorway,0,
163,,-112.03736,33.43325,,,,,motorway,0,
164,,-112.03706,33.43522,,,,,motorway,0,
165,,-112.03699,33.43598,,,,,motorway,0,
166,,-112.04223,33.42744,,,,,motorway,0,
167,,-112.03719,33.4312,,,,,motorway,0,
168,,-112.03728,33.43165,,,,,motorway,0,
169,,-112.05227,33.42753,,,,,motorway,0,
170,,-112.06092,33.42881,,,,,motorway,0,
171,,-112.04894,33.42689,,,,,motorway,1,
172,,-112.09966,33.4288,,,,,motorway,0,
173,,-112.06484,33.42904,,,,,motorway,0,
174,,-112.06866,33.42826,,,,,motorway,0,
175,,-112.06483,33.42889,,,,,motorway,0,
176,,-112.07346,33.4284,,,,,motorway,0,
177,,-112.09094,33.42956,,,,,motorway,0,
178,,-112.05275,33.42775,,,,,motorway,0,
179,,-112.0608,33.42893,,,,,motorway,0,
180,,-112.06427,33.42939,,,,,motorway,1,
181,,-112.06606,33.42833,,,,,motorway,1,
182,,-112.06549,33.42895,,,,,motorway,0,
183,,-112.06913,33.42837,,,,,motorway,0,
184,,-112.08653,33.42973,,,,,motorway,0,
185,,-112.09093,33.42969,,,,,motorway,0,
186,,-112.09968,33.42898,,,,,motorway,0,
187,,-112.07868,33.42903,,,,,motorway,0,
188,,-112.08324,33.42976,,,,,motorway,1,
189,,-112.08709,33.42978,,,,,motorway,0,
190,,-112.03743,33.46226,,,,,motorway,0,
191,,-112.03661,33.45874,,,,,motorway,0,
192,,-112.03687,33.46254,,,,,motorway,0,
193,,-112.03711,33.44337,,,,,motorway,0,
194,,-112.03699,33.44411,,,,,motorway,0,
195,,-112.03688,33.44467,,,,,motorway,0,
196,,-112.03713,33.44412,,,,,motorway,0,
197,,-112.0376,33.44413,,,,,motorway,0,
198,,-112.03782,33.44468,,,,,motorway,0,
199,,-112.03772,33.44411,,,,,motorway,0,
200,,-112.03819,33.44383,,,,,motorway,0,
201,,-112.0382,33.44463,,,,,motorway,0,
202,,-112.02583,33.42513,,,,,motorway,0,
203,,-112.03712,33.44707,,,,,motorway,0,
204,,-112.03733,33.44707,,,,,motorway,0,
205,,-112.03739,33.44706,,,,,motorway,0,
206,,-112.03758,33.44706,,,,,motorway,0,
207,,-112.03758,33.44857,,,,,motorway,0,
208,,-112.03643,33.45125,,,,,motorway,0,
209,,-112.03678,33.45116,,,,,motorway,0,
210,,-112.03673,33.45166,,,,,motorway,0,
211,,-112.03711,33.45117,,,,,motorway,0,
212,,-112.0371,33.45176,,,,,motorway,0,
213,,-112.03732,33.45116,,,,,motorway,0,
214,,-112.03739,33.45115,,,,,motorway,0,
215,,-112.0376,33.45175,,,,,motorway,0,
216,,-112.03756,33.45103,,,,,motorway,0,
217,,-112.03755,33.45174,,,,,motorway,0,
218,,-112.03668,33.45309,,,,,motorway,0,
219,,-112.03882,33.4628,,,,,motorway,0,
220,,-112.03474,33.46135,,,,,motorway,0,
221,,-112.03822,33.46009,,,,,motorway,0,
222,,-112.03837,33.46169,,,,,motorway,0,
223,,-112.03761,33.46204,,,,,motorway,0,
224,,-112.03644,33.4617,,,,,motorway,0,
225,,-112.03862,33.46236,,,,,motorway,0,
226,,-112.03383,33.46146,,,,,motorway,0,
227,,-112.03385,33.46151,,,,,motorway,0,
228,,-112.03066,33.46209,,,,,motorway,0,
229,,-112.03067,33.46216,,,,,motorway,0,
230,,-112.03067,33.46221,,,,,motorway,0,
231,,-112.02959,33.46217,,,,,motorway,0,
232,,-112.02959,33.46211,,,,,motorway,0,
233,,-112.02959,33.46193,,,,,motorway,0,
234,,-112.03864,33.46383,,,,,motorway,0,
235,,-112.03729,33.46364,,,,,motorway,0,
236,,-112.03745,33.46353,,,,,motorway,0,
237,,-112.0377,33.46409,,,,,motorway,0,
238,,-112.03823,33.46625,,,,,motorway,0,
239,,-112.038,33.46627,,,,,motorway,0,
240,,-112.06476,33.46253,,,,,motorway,0,
241,,-112.0692,33.46219,,,,,motorway,0,
242,,-112.07794,33.46136,,,,,motorway,0,
243,,-112.08275,33.46065,,,,,motorway,1,
244,,-112.03496,33.43775,,,,,motorway,0,
245,,-112.03497,33.43753,,,,,motorway,0,
246,,-112.03758,33.44119,,,,,motorway,0,
247,,-112.03713,33.44105,,,,,motorway,0,
248,,-112.03741,33.43653,,,,,motorway,0,
249,,-112.03784,33.43656,,,,,motorway,0,
250,,-112.03779,33.43167,,,,,motorway,0,
251,,-112.03734,33.43166,,,,,motorway,0,
252,,-112.03707,33.42849,,,,,motorway,0,
253,,-112.03082,33.42706,,,,,motorway,0,
254,,-112.03001,33.42645,,,,,motorway,0,
255,,-112.03,33.42672,,,,,motorway,0,
256,,-112.03002,33.42689,,,,,motorway,0,
259,,-112.03806,33.44826,,,,,motorway,0,
260,,-112.03806,33.44836,,,signal,,motorway,0,
262,,-112.0302,33.43681,,,signal,,motorway,1,
263,,-112.02511,33.43778,,,,,motorway,0,
264,,-112.03015,33.43709,,,,,motorway,0,
265,,-112.0262,33.43778,,,,,motorway,0,
266,,-112.0298,33.43769,,,,,motorway,0,
267,,-112.02979,33.43761,,,,,motorway,0,
268,,-112.03062,33.43761,,,,,motorway,0,
269,,-112.03062,33.43769,,,,,motorway,0,
270,,-112.03403,33.43769,,,,,motorway,0,
271,,-112.09404,33.46198,,,,,motorway,0,
272,,-112.09858,33.46196,,,,,motorway,0,
273,,-112.09859,33.46156,,,,,motorway,0,
274,,-112.09414,33.46156,,,,,motorway,0,
275,,-112.09093,33.46148,,,,,motorway,0,
276,,-112.09094,33.46189,,,,,motorway,0,
277,,-112.0981,33.46122,,,,,motorway,0,
278,,-112.09855,33.46214,,,,,motorway,0,
279,,-112.10014,33.42876,,,,,motorway,0,
280,,-112.10011,33.42896,,,,,motorway,0,
281,,-112.09145,33.42951,,,,,motorway,0,
282,,-112.09418,33.42941,,,,,motorway,0,
283,,-112.09569,33.42939,,,,,motorway,0,
284,,-112.09145,33.42965,,,,,motorway,0,
285,,-112.08656,33.42959,,,,,motorway,0,
286,,-112.0827,33.42925,,,,,motorway,0,
287,,-112.08217,33.4292,,,,,motorway,0,
288,,-112.07407,33.42846,,,,,motorway,0,
289,,-112.08272,33.42939,,,,,motorway,0,
290,,-112.08215,33.42934,,,,,motorway,0,
291,,-112.07406,33.4286,,,,,motorway,0,
292,,-112.07346,33.42855,,,,,motorway,0,
293,,-112.04753,33.42738,,,,,motorway,0,
294,,-112.04809,33.42724,,,,,motorway,0,
295,,-112.04751,33.42724,,,,,motorway,0,
296,,-112.04809,33.42738,,,,,motorway,0,
297,,-112.03845,33.4776,,,,,motorway,0,
298,,-112.04118,33.48562,,,,,motorway,0,
299,,-112.03848,33.4798,,,,,motorway,0,
300,,-112.03842,33.47791,,,,,motorway,0,
301,,-112.03825,33.47981,,,,,motorway,0,
302,,-112.03823,33.47777,,,,,motorway,0,
303,,-112.03839,33.48053,,,,,motorway,0,
304,,-112.04044,33.48478,,,,,motorway,0,
305,,-112.03947,33.48363,,,,,motorway,0,
306,,-112.04017,33.48461,,,,,motorway,0,
307,,-112.04076,33.4849,,,,,motorway,0,
308,,-112.04082,33.48544,,,,,motorway,0,
309,,-112.04068,33.48537,,,,,motorway,0,
310,,-112.04125,33.48566,,,,,motorway,0,
311,,-112.03039,33.46217,,,,,motorway,0,
312,,-112.06935,33.46236,,,signal,,motorway,1,
