agent_id,agent_type,o_node_id,d_node_id,departure_time_in_min,PCE,path_fixed_flag,path_node_sequence
1,v,1,1,1,1,0,
2,v,1,2,1,1,0,
3,v,1,3,1,1,0,
4,v,1,4,1,1,0,
5,v,1,5,1,1,0,
6,v,1,6,1,1,0,
7,v,1,7,1,1,0,
8,v,1,8,1,1,0,
9,v,1,9,1,1,0,
10,v,1,10,1,1,0,
11,v,1,11,1,1,0,
12,v,1,12,1,1,0,
13,v,1,13,1,1,0,
14,v,1,14,1,1,0,
15,v,1,15,1,1,0,
16,v,1,16,1,1,0,
17,v,1,17,1,1,0,
18,v,1,18,1,1,0,
19,v,1,19,1,1,0,
20,v,1,20,1,1,0,
21,v,1,21,1,1,0,
22,v,1,22,1,1,0,
23,v,1,23,1,1,0,
24,v,1,24,1,1,0,
25,v,2,1,1,1,0,
26,v,2,2,1,1,0,
27,v,2,3,1,1,0,
28,v,2,4,1,1,0,
29,v,2,5,1,1,0,
30,v,2,6,1,1,0,
31,v,2,7,1,1,0,
32,v,2,8,1,1,0,
33,v,2,9,1,1,0,
34,v,2,10,1,1,0,
35,v,2,11,1,1,0,
36,v,2,12,1,1,0,
37,v,2,13,1,1,0,
38,v,2,14,1,1,0,
39,v,2,15,1,1,0,
40,v,2,16,1,1,0,
41,v,2,17,1,1,0,
42,v,2,18,1,1,0,
43,v,2,19,1,1,0,
44,v,2,20,1,1,0,
45,v,2,21,1,1,0,
46,v,2,22,1,1,0,
47,v,2,23,1,1,0,
48,v,2,24,1,1,0,
49,v,3,1,1,1,0,
50,v,3,2,1,1,0,
51,v,3,3,1,1,0,
52,v,3,4,1,1,0,
53,v,3,5,1,1,0,
54,v,3,6,1,1,0,
55,v,3,7,1,1,0,
56,v,3,8,1,1,0,
57,v,3,9,1,1,0,
58,v,3,10,1,1,0,
59,v,3,11,1,1,0,
60,v,3,12,1,1,0,
61,v,3,13,1,1,0,
62,v,3,14,1,1,0,
63,v,3,15,1,1,0,
64,v,3,16,1,1,0,
65,v,3,17,1,1,0,
66,v,3,18,1,1,0,
67,v,3,19,1,1,0,
68,v,3,20,1,1,0,
69,v,3,21,1,1,0,
70,v,3,22,1,1,0,
71,v,3,23,1,1,0,
72,v,3,24,1,1,0,
73,v,4,1,1,1,0,
74,v,4,2,1,1,0,
75,v,4,3,1,1,0,
76,v,4,4,1,1,0,
77,v,4,5,1,1,0,
78,v,4,6,1,1,0,
79,v,4,7,1,1,0,
80,v,4,8,1,1,0,
81,v,4,9,1,1,0,
82,v,4,10,1,1,0,
83,v,4,11,1,1,0,
84,v,4,12,1,1,0,
85,v,4,13,1,1,0,
86,v,4,14,1,1,0,
87,v,4,15,1,1,0,
88,v,4,16,1,1,0,
89,v,4,17,1,1,0,
90,v,4,18,1,1,0,
91,v,4,19,1,1,0,
92,v,4,20,1,1,0,
93,v,4,21,1,1,0,
94,v,4,22,1,1,0,
95,v,4,23,1,1,0,
96,v,4,24,1,1,0,
97,v,5,1,1,1,0,
98,v,5,2,1,1,0,
99,v,5,3,1,1,0,
100,v,5,4,1,1,0,
101,v,5,5,1,1,0,
102,v,5,6,1,1,0,
103,v,5,7,1,1,0,
104,v,5,8,1,1,0,
105,v,5,9,1,1,0,
106,v,5,10,1,1,0,
107,v,5,11,1,1,0,
108,v,5,12,1,1,0,
109,v,5,13,1,1,0,
110,v,5,14,1,1,0,
111,v,5,15,1,1,0,
112,v,5,16,1,1,0,
113,v,5,17,1,1,0,
114,v,5,18,1,1,0,
115,v,5,19,1,1,0,
116,v,5,20,1,1,0,
117,v,5,21,1,1,0,
118,v,5,22,1,1,0,
119,v,5,23,1,1,0,
120,v,5,24,1,1,0,
121,v,6,1,1,1,0,
122,v,6,2,1,1,0,
123,v,6,3,1,1,0,
124,v,6,4,1,1,0,
125,v,6,5,1,1,0,
126,v,6,6,1,1,0,
127,v,6,7,1,1,0,
128,v,6,8,1,1,0,
129,v,6,9,1,1,0,
130,v,6,10,1,1,0,
131,v,6,11,1,1,0,
132,v,6,12,1,1,0,
133,v,6,13,1,1,0,
134,v,6,14,1,1,0,
135,v,6,15,1,1,0,
136,v,6,16,1,1,0,
137,v,6,17,1,1,0,
138,v,6,18,1,1,0,
139,v,6,19,1,1,0,
140,v,6,20,1,1,0,
141,v,6,21,1,1,0,
142,v,6,22,1,1,0,
143,v,6,23,1,1,0,
144,v,6,24,1,1,0,
145,v,7,1,1,1,0,
146,v,7,2,1,1,0,
147,v,7,3,1,1,0,
148,v,7,4,1,1,0,
149,v,7,5,1,1,0,
150,v,7,6,1,1,0,
151,v,7,7,1,1,0,
152,v,7,8,1,1,0,
153,v,7,9,1,1,0,
154,v,7,10,1,1,0,
155,v,7,11,1,1,0,
156,v,7,12,1,1,0,
157,v,7,13,1,1,0,
158,v,7,14,1,1,0,
159,v,7,15,1,1,0,
160,v,7,16,1,1,0,
161,v,7,17,1,1,0,
162,v,7,18,1,1,0,
163,v,7,19,1,1,0,
164,v,7,20,1,1,0,
165,v,7,21,1,1,0,
166,v,7,22,1,1,0,
167,v,7,23,1,1,0,
168,v,7,24,1,1,0,
169,v,8,1,1,1,0,
170,v,8,2,1,1,0,
171,v,8,3,1,1,0,
172,v,8,4,1,1,0,
173,v,8,5,1,1,0,
174,v,8,6,1,1,0,
175,v,8,7,1,1,0,
176,v,8,8,1,1,0,
177,v,8,9,1,1,0,
178,v,8,10,1,1,0,
179,v,8,11,1,1,0,
180,v,8,12,1,1,0,
