link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity1,free_speed_km,,link_type_name,link_type,link_type_code,cost,geometry,original_link_id,original_node_id,original_osm_node_id,main_node_id,movement_str,TMC,free_speed,VDF_alpha1,VDF_beta1,,VDF_fftt1,VDF_cap1,capacity_utdf,main_node_id,link_capacity,capacity,saturation_flow_rate,green_time,phase_id,cycle_length,priority
27,53701,361800,,,255.700798,1,,,,moto_1lane,11,a,,"LINESTRING (-112.11464 33.65782,-112.11464 33.65735,-112.11467 33.65692,-112.1147 33.65643,-112.11475 33.6558,-112.11477 33.65551)",28,,,,,,70,0.15,4,,0.136216353,1741,,,1741,1741,,,,,
28,54101,54000,,,208.2029592,1,,,,moto_1lane,11,a,,"LINESTRING (-112.11509 33.65392,-112.11506 33.65383,-112.11506 33.65347,-112.11507 33.65301,-112.11506 33.65254,-112.11506 33.65209,-112.11505 33.65204)",29,,,,,,70,0.15,4,,0.110913412,1741,,,1741,1741,,,,,
29,54402,163200,,,150.2337145,1,,,,moto_1lane,11,a,,"LINESTRING (-112.11452 33.65094,-112.11448 33.65114,-112.11445 33.6514,-112.11438 33.65196,-112.11433 33.65229)",30,,,,,,70,0.15,4,,0.080032166,1741,,,1741,1741,,,,,
30,54402,163300,,,150.1625861,1,,,,moto_1lane,11,a,,"LINESTRING (-112.11452 33.65094,-112.11452 33.65115,-112.11449 33.6514,-112.11443 33.65198,-112.1144 33.65229)",31,,,,,,70,0.15,4,,0.079994275,1741,,,1741,1741,,,,,
31,55801,274900,,,536.1493295,1,,72,,moto_1lane,11,a,,"LINESTRING (-112.11299 33.6713,-112.11294 33.67153,-112.11285 33.67212,-112.11272 33.67267,-112.11242 33.6734,-112.11233 33.67368,-112.11229 33.67387,-112.11226 33.67408,-112.11224 33.67464,-112.11219 33.67568,-112.11217 33.67606)",32,,,,,,70,0.15,4,,0.285616264,1741,,,1741,1741,,,,,
32,55302,55000,,,215.4686012,1,,,,moto_1lane,11,a,,"LINESTRING (-112.11363 33.66776,-112.11376 33.66721,-112.11381 33.66687,-112.1139 33.66637,-112.11406 33.66597,-112.11411 33.66587)",33,,,,,,70,0.15,4,,0.114783948,1741,,,1741,1741,,,,,
33,55600,347300,,,88.65897359,1,,,,secondary,4,a,,"LINESTRING (-112.10864 33.6621,-112.10861 33.66214,-112.10859 33.6622,-112.10858 33.66227,-112.10857 33.66289)",34,,,,,,40,0.15,4,,0.082652865,571,,,571,571,,,,,
34,347301,55601,,,74.82906431,2,,,,secondary,4,a,,"LINESTRING (-112.10867 33.66285,-112.10867 33.66228,-112.10868 33.66222,-112.10869 33.66218)",35,,,,,,40,0.15,4,,0.069759849,1142,,,1142,571,,,,,
35,57100,51700,,,34.06170528,4,,104,,motorway,1,f,,"LINESTRING (-112.0 33.66449,-111.99999 33.66437,-111.99997 33.66418)",36,,,,,,71,0.15,4,,0.017889708,6817,,,6817,1704.25,,,,,
36,173000,57000,,,424.38798,1,,104,,moto_1lane,11,a,,"LINESTRING (-111.9911 33.67309,-111.99211 33.67306,-111.99329 33.67299,-111.99502 33.67287,-111.99536 33.67284,-111.99566 33.6728)",37,,,,,,71,0.15,4,,0.222894798,1704,,,1704,1704,,,,,
