node_id,zone_id,x_coord,y_coord,original_node_id,activity_type,is_boundary
9041300,,-112.09745,33.64007,90413,,0
9041400,,-112.00331,33.64074,90414,,0
9041500,,-112.00331,33.6406,90415,,0
165500,,-112.11492,33.64216,1655,motorway,0
52900,,-112.11552,33.63727,529,motorway,0
9033300,,-111.96029,33.67634,90333,secondary,0
308400,,-111.96166,33.67634,3084,secondary,0
361700,,-112.11594,33.64211,3617,motorway,0
74800,,-112.11211,33.68681,748,motorway,0
9036200,,-112.08268,33.6403,90362,primary,0
9028600,,-112.08312,33.66918,90286,secondary,0
72300,,-112.08426,33.66917,723,secondary,0
285100,,-112.07501,33.65477,2851,secondary,0
15600,,-112.0759,33.65476,156,secondary,0
15601,,-112.0759,33.65466,156,secondary,0
285101,,-112.075,33.65467,2851,secondary,0
15602,,-112.07616,33.65475,156,secondary,0
7800,,-112.07752,33.65474,78,secondary,0
7801,,-112.07752,33.65464,78,secondary,0
15603,,-112.07616,33.65466,156,secondary,0
7802,,-112.07778,33.65474,78,secondary,0
15700,,-112.07862,33.65472,157,secondary,0
15701,,-112.07862,33.65463,157,secondary,0
7803,,-112.07778,33.65464,78,secondary,0
157000,,-112.01928,33.69865,1570,secondary,0
191400,,-112.00544,33.69872,1914,secondary,0
191401,,-112.00544,33.69878,1914,secondary,0
157001,,-112.01928,33.69871,1570,secondary,0
191402,,-112.00526,33.69872,1914,secondary,0
342500,,-112.00023,33.69871,3425,secondary,0
342501,,-112.00023,33.69878,3425,secondary,0
191403,,-112.00526,33.69878,1914,secondary,0
57700,,-111.97518,33.66866,577,secondary,0
308000,,-111.97245,33.66844,3080,secondary,0
308001,,-111.97243,33.6685,3080,secondary,0
57701,,-111.97518,33.66872,577,secondary,0
308002,,-111.97228,33.66841,3080,secondary,0
57800,,-111.97149,33.66824,578,secondary,0
57801,,-111.97147,33.6683,578,secondary,0
308003,,-111.97226,33.66847,3080,secondary,0
77600,,-112.12539,33.66885,776,motorway,0
73401,,-112.10798,33.66862,734,motorway,0
52300,,-112.10582,33.66863,523,motorway,0
164500,,-112.1165,33.63813,1645,motorway,0
9032700,,-112.11311,33.66202,90327,secondary,0
361800,,-112.11477,33.65551,3618,motorway,0
54000,,-112.11505,33.65204,540,motorway,0
163200,,-112.11433,33.65229,1632,motorway,0
163300,,-112.1144,33.65229,1633,motorway,0
274900,,-112.11217,33.67606,2749,motorway,0
55000,,-112.11411,33.66587,550,motorway,0
55600,,-112.10864,33.6621,556,secondary,0
347300,,-112.10857,33.66289,3473,secondary,0
347301,,-112.10867,33.66285,3473,secondary,0
55601,,-112.10869,33.66218,556,secondary,0
57100,,-112,33.66449,571,motorway,0
51700,,-111.99997,33.66418,517,motorway,0
173000,,-111.9911,33.67309,1730,motorway,0
57000,,-111.99566,33.6728,570,motorway,0
57001,,-111.99565,33.67274,570,motorway,0
173001,,-111.9911,33.67303,1730,motorway,0
143200,,-111.97759,33.67281,1432,motorway,0
142700,,-111.97722,33.67185,1427,motorway,0
148100,,-111.97722,33.67316,1481,motorway,0
143900,,-111.97726,33.67399,1439,motorway,0
143800,,-111.9776,33.674,1438,motorway,0
9039900,,-111.95981,33.66715,90399,secondary,0
175001,,-111.95944,33.66701,1750,motorway,0
59000,,-111.95917,33.6669,590,motorway,0
9040000,,-111.96032,33.66863,90400,secondary,0
60500,,-112.02881,33.67299,605,motorway,0
152800,,-112.03083,33.67248,1528,motorway,0
9036900,,-112.03106,33.67247,90369,motorway,0
9036901,,-112.03095,33.67232,90369,motorway,0
152400,,-112.03091,33.67227,1524,motorway,0
152401,,-112.03082,33.67218,1524,motorway,0
9040300,,-112.03122,33.67263,90403,primary,0
64700,,-112.11276,33.66747,647,motorway,0
65200,,-112.12663,33.66851,652,motorway,0
66000,,-112.11421,33.6671,660,motorway,0
77000,,-112.11416,33.671,770,motorway,0
71000,,-112.03422,33.67184,710,motorway,0
71100,,-112.03419,33.67111,711,motorway,0
152200,,-112.03117,33.67208,1522,motorway,0
152201,,-112.03109,33.67217,1522,motorway,0
9036902,,-112.03104,33.67228,90369,motorway,0
9036903,,-112.03095,33.67213,90369,motorway,0
9036904,,-112.03104,33.67229,90369,motorway,0
152700,,-112.03108,33.67233,1527,motorway,0
152701,,-112.03119,33.67241,1527,motorway,0
357000,,-112.06183,33.66935,3570,motorway,0
356800,,-112.0629,33.66863,3568,motorway,0
357200,,-112.06981,33.66922,3572,motorway,0
82900,,-112.07086,33.66859,829,motorway,0
357500,,-112.07992,33.66833,3575,motorway,0
357400,,-112.0788,33.66908,3574,motorway,0
72400,,-112.08588,33.66915,724,motorway,0
72700,,-112.08558,33.66843,727,motorway,0
72900,,-112.09754,33.67005,729,motorway,0
73100,,-112.09662,33.66928,731,motorway,0
200700,,-112.11277,33.66819,2007,motorway,0
200900,,-112.12148,33.66916,2009,motorway,0
73500,,-112.13731,33.66999,735,motorway,0
73900,,-112.13738,33.66921,739,motorway,0
74000,,-112.16511,33.66934,740,motorway,0
325300,,-112.1651,33.66871,3253,motorway,0
325500,,-112.17341,33.6687,3255,motorway,0
74300,,-112.1725,33.66798,743,motorway,0
359400,,-112.18449,33.66871,3594,motorway,0
201800,,-112.18295,33.66799,2018,motorway,0
136500,,-112.18846,33.66866,1365,motorway,0
356000,,-112.18949,33.66771,3560,motorway,0
356200,,-112.20043,33.66851,3562,motorway,0
177600,,-112.20121,33.66758,1776,motorway,0
37900,2733,-112.21015,33.66782,379,motorway,1
74600,,-112.20551,33.66741,746,motorway,0
45900,459,-112.11339,33.69086,459,secondary,1
348300,,-112.11324,33.68968,3483,secondary,0
46300,,-112.11213,33.67668,463,secondary,0
45600,,-112.11348,33.67633,456,secondary,0
172101,,-112.1135,33.67603,1721,motorway,0
327700,,-112.11358,33.67527,3277,motorway,0
9032800,,-112.11458,33.66177,90328,secondary,0
125500,,-112.11458,33.66152,1255,secondary,0
9032701,,-112.11326,33.66209,90327,secondary,0
345701,,-112.11327,33.66222,3457,motorway,0
46200,,-112.11327,33.66365,462,motorway,0
75400,,-112.11259,33.68345,754,motorway,0
128300,,-112.11229,33.68498,1283,motorway,0
75500,,-112.11228,33.68415,755,motorway,0
9028700,,-112.10853,33.66949,90287,secondary,0
191600,,-112.10858,33.67026,1916,secondary,0
291300,,-112.10852,33.66839,2913,secondary,0
327400,,-112.11261,33.68216,3274,motorway,0
108900,,-112.11281,33.67821,1089,motorway,0
76200,,-112.11315,33.66959,762,motorway,0
55302,,-112.11363,33.66776,553,motorway,0
76300,,-112.11312,33.67005,763,motorway,0
55801,,-112.11299,33.6713,558,motorway,0
76101,,-112.11352,33.66925,761,motorway,0
76401,,-112.11349,33.66964,764,motorway,0
358100,,-112.10663,33.66844,3581,motorway,0
64800,,-112.1176,33.66928,648,motorway,0
65701,,-112.11499,33.66735,657,motorway,0
76800,,-112.11721,33.66919,768,secondary,0
92900,,-112.11716,33.66589,929,secondary,0
349900,,-112.11717,33.66612,3499,secondary,0
76701,,-112.11761,33.66936,767,motorway,0
54900,,-112.11437,33.66538,549,motorway,0
290000,,-112.11459,33.66239,2900,motorway,0
290500,,-112.11346,33.66202,2905,secondary,0
9032801,,-112.11472,33.66202,90328,secondary,0
168900,,-112.11501,33.66202,1689,secondary,0
55200,,-112.11329,33.6658,552,motorway,0
1701,,-112.11321,33.66774,17,motorway,0
76601,,-112.11387,33.67098,766,motorway,0
46301,,-112.11199,33.67658,463,secondary,0
46302,,-112.11229,33.67658,463,secondary,0
172700,,-112.1123,33.67658,1727,secondary,0
275900,,-112.11315,33.67644,2759,secondary,0
78000,,-112.12538,33.66862,780,motorway,0
328200,,-112.11573,33.66863,3282,motorway,0
65300,,-112.12538,33.66846,653,motorway,0
65401,,-112.12386,33.66841,654,motorway,0
53900,,-112.11485,33.65428,539,motorway,0
54001,,-112.11502,33.65204,540,motorway,0
78100,,-112.11469,33.65428,781,motorway,0
78300,,-112.11434,33.65515,783,motorway,0
76001,,-112.11331,33.66774,760,motorway,0
78401,,-112.11418,33.65515,784,motorway,0
78500,,-112.00082,33.67127,785,motorway,0
326700,,-112.00163,33.67195,3267,motorway,0
79600,,-112.00785,33.67301,796,motorway,0
78600,,-111.99883,33.67125,786,motorway,0
79000,,-112.00009,33.66578,790,motorway,0
49900,,-112.00009,33.67032,499,motorway,0
49801,,-111.99961,33.66912,498,motorway,0
49700,,-111.99955,33.66413,497,motorway,0
84300,,-112.01321,33.67289,843,motorway,0
79400,,-112.009,33.67273,794,motorway,0
79301,,-112.01091,33.67292,793,motorway,0
79501,,-112.00884,33.67294,795,motorway,0
79701,,-112.00918,33.67294,797,motorway,0
79900,,-112.00858,33.67274,799,motorway,0
354200,,-112.00516,33.67225,3542,motorway,0
78701,,-112.00764,33.67271,787,motorway,0
153100,,-111.99437,33.67214,1531,motorway,0
80200,,-111.97672,33.67286,802,motorway,0
58100,,-111.9705,33.67226,581,motorway,0
56200,,-111.96602,33.67054,562,motorway,0
80001,,-111.97818,33.67308,800,motorway,0
4000,,-112.12755,33.66886,40,motorway,0
80800,,-112.11581,33.63958,808,motorway,0
600,,-112.11606,33.63638,6,motorway,0
167900,,-112.11632,33.63295,1679,motorway,0
81000,,-112.1155,33.64021,810,motorway,0
54301,,-112.1144,33.65427,543,motorway,0
63600,,-112.16894,33.6683,636,motorway,0
81801,,-112.16968,33.6685,818,motorway,0
48000,,-112.1405,33.66975,480,motorway,0
82001,,-112.13494,33.66937,820,motorway,0
63800,,-112.13429,33.66898,638,motorway,0
64001,,-112.12691,33.66862,640,motorway,0
51901,,-112.10731,33.66888,519,motorway,0
82101,,-112.10029,33.66945,821,motorway,0
75800,,-112.10582,33.66914,758,motorway,0
64600,,-112.09946,33.66929,646,motorway,0
52200,,-112.09944,33.66936,522,motorway,0
83600,,-112.06616,33.66882,836,motorway,0
51801,,-112.09935,33.66958,518,motorway,0
82500,,-112.07105,33.66899,825,motorway,0
71800,,-112.07086,33.66915,718,motorway,0
357300,,-112.07263,33.669,3573,motorway,0
70600,,-112.07037,33.66839,706,secondary,0
60400,,-112.05716,33.66874,604,secondary,0
286500,,-112.04979,33.66855,2865,secondary,0
72100,,-112.07032,33.66855,721,motorway,0
357100,,-112.06865,33.66843,3571,motorway,0
82401,,-112.07017,33.66878,824,motorway,0
8100,,-112.07407,33.66923,81,secondary,0
83201,,-112.07093,33.66932,832,secondary,0
83400,,-112.0828,33.66905,834,secondary,0
9028601,,-112.0828,33.6693,90286,secondary,0
357700,,-112.0828,33.66968,3577,secondary,0
82601,,-112.07018,33.669,826,motorway,0
83501,,-112.06616,33.66905,835,motorway,0
50600,,-112.06505,33.66884,506,motorway,0
71600,,-112.05772,33.66898,716,motorway,0
50500,,-112.0487,33.66891,505,motorway,0
51301,,-112.05843,33.66921,513,motorway,0
83701,,-112.04893,33.66913,837,motorway,0
83800,,-112.04812,33.6689,838,motorway,0
