[assignment],,,column_generation_iterations,simulation_iterations,,,,,
,,,20,0,,,,,
,,,,,,,,,
[agent_type],agent_type,name,,vot,flow_type,pce,real_time_info,,
,p,passenger,,10,0,1,0,,
,rt,passenger,,10,0,1,1,,
,dms,passenger,,10,0,1,2,,
,,,,,,,,,
,,,,,,,,,
[link_type],link_type,link_type_name,,agent_type_blocklist,type_code,traffic_flow_code,,,
,1,motorway,,,f,0,,,
,3,primary,,,a,0,,,
,4,residential,,,a,0,,,
,5,secondary,,,a,0,,,
,6,tertiary,,,a,0,,,
,11,unclassified,,,a,0,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
[demand_period],demand_period_id,demand_period,,time_period,,,,,
,1,AM,,0700_0800,,,,,
,,,,,,,,,
[demand_file_list],file_sequence_no,file_name,,format_type,demand_period,agent_type,scale_factor,,
,1,demand.csv,,column,AM,p,0.6,,0.005012563
,2,demand.csv,,column,AM,rt,0.2,0.99,0.994987437
,3,demand.csv,,column,AM,dms,0.2,0.99,0.99
