name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,991667720,crossing,,,,residential,0,24.8347327,60.1890233,,,
,1,25030680,,,,,residential,0,24.8352053,60.1895279,,,
,2,25032003,,,,,unclassified,0,24.8321895,60.18386,,,
,3,1703485005,turning_circle,,,,residential,2,24.8331223,60.1833804,,,
,4,6848107090,,,,,secondary,0,24.8098846,60.1857495,,,
,5,25032067,,,,,secondary,0,24.8101494,60.1858356,,,
,6,25032082,,,,,unclassified,0,24.8167046,60.1842814,,,
,7,8717816002,,,,,unclassified,0,24.8175171,60.1843572,,,
,8,4783666234,,,,,residential,2,24.8347787,60.1827212,,,
,9,25031767,,,,,residential,0,24.835477,60.182293,,,
,10,1933972669,crossing,,,,tertiary,0,24.8224301,60.1865332,,,
,12,25049573,,,,,unclassified,2,24.8249653,60.1894216,,,
,13,946039966,,,,,unclassified,0,24.8252361,60.1893356,,,
,14,25049618,,,,,tertiary,0,24.823314,60.1877757,,,
,15,25049701,crossing,,,,tertiary,0,24.8271256,60.1867553,,,
,16,264069891,,,,,residential,0,24.8339589,60.1906255,,,
Otaniemensilta,17,134888,,,,,secondary,0,24.8376015,60.1801221,,,
,18,134891,,,,,secondary,0,24.8358526,60.1798965,,,
,19,19475502,,,,,residential,0,24.8350633,60.1876736,,,
,20,991658900,,,,,residential,0,24.8390127,60.1897731,,,
,21,6749612317,,,,,tertiary,0,24.8282237,60.1839969,,,
,22,1433646678,,,,,tertiary,0,24.8277552,60.1834084,,,
,23,25090273,,,,,tertiary,0,24.8269029,60.1829426,,,
,24,25090279,,,,,tertiary,0,24.8251932,60.182141,,,
,25,1114070550,,,,,tertiary,0,24.8245127,60.1818316,,,
,26,25090325,,,,,tertiary,0,24.8294449,60.1791191,,,
,27,54771234,,,,,unclassified,0,24.8276538,60.1816165,,,
,28,25199573,,,,,tertiary,0,24.82262,60.1817522,,,
,29,301549931,,,,,unclassified,0,24.8231612,60.1822231,,,
,30,301543879,,,,,unclassified,2,24.8307923,60.1809653,,,
,31,25090329,,,,,tertiary,0,24.8319972,60.1794507,,,
,32,131938,,,,,secondary,0,24.8387437,60.1802596,,,
,33,25150495,,,,,unclassified,0,24.8307227,60.1820359,,,
,34,6749612315,,,,,tertiary,0,24.8314542,60.1830973,,,
,35,3037826341,,,,,tertiary,0,24.8317054,60.1833486,,,
,36,8365201915,,,,,secondary,0,24.8348266,60.179773,,,
,37,25150459,,,,,tertiary,0,24.8346068,60.1800061,,,
,38,25150458,,,,,tertiary,0,24.8344803,60.1801568,,,
,39,25150456,,,,,tertiary,0,24.8344696,60.1801752,,,
,40,8365235719,,,,,secondary,0,24.8346415,60.1797091,,,
,41,8365235721,,,,,secondary,0,24.8348018,60.1794989,,,
,42,25983344,,,,,tertiary,0,24.8350432,60.1791702,,,
,43,61705126,,,,,unclassified,0,24.8102847,60.1874078,,,
,44,3100296065,,,,,unclassified,0,24.810201,60.187511,,,
,45,297922361,crossing,,,,unclassified,0,24.8321431,60.1838246,,,
,46,1428976392,,,,,unclassified,0,24.8335435,60.1847613,,,
,47,4990394779,,,,,tertiary,0,24.8347261,60.1877622,,,
,48,25095336,,,,,trunk,0,24.8188226,60.1810297,,,
,49,25095333,,,,,trunk,0,24.8112644,60.1848929,,,
,50,6749636110,,,,,secondary,0,24.8328097,60.1789653,,,
,51,8365235718,,,,,secondary,0,24.8347126,60.1795236,,,
,52,295850354,,,,,secondary,0,24.8368144,60.1799514,,,
,53,8365201916,,,,,secondary,0,24.8350114,60.1795104,,,
,54,314922913,,,,,tertiary,0,24.8122748,60.1862846,,,
,55,25032062,,,,,tertiary,0,24.8123782,60.1863448,,,
,56,1110353055,,,,,tertiary,0,24.8124263,60.1864363,,,
,57,296912034,,,,,secondary,0,24.8100415,60.1859395,,,
,58,6848107089,,,,,secondary,0,24.8097952,60.1858504,,,
,59,57604633,,,,,tertiary,2,24.8350437,60.1791172,,,
,60,16200068,,,,,tertiary,0,24.8346234,60.1876859,,,
,61,1613231324,,,,,secondary,0,24.8107653,60.1860312,,,
,62,25090317,,,,,tertiary,0,24.8252607,60.1792043,,,
,63,921232139,,,,,tertiary,0,24.8255933,60.1790581,,,
,64,30470028,,,,,tertiary,0,24.8218633,60.1789567,,,
,65,5675703028,,,,,tertiary,0,24.8220095,60.1789653,,,
,66,3451480239,,,,,tertiary,0,24.8232075,60.1790792,,,
,67,5675703027,,,,,tertiary,0,24.8218533,60.1790506,,,
,68,1458131877,,,,,tertiary,-1,24.8213406,60.1790264,,,
,69,25090281,,,,,tertiary,0,24.8238171,60.1814474,,,
,70,291821412,traffic_signals,,signal,,tertiary,0,24.8250008,60.180024,,,
,71,5475246718,,,,,tertiary,0,24.8246576,60.1794901,,,
,72,25032083,,,,,tertiary,0,24.815908,60.1839778,,,
,73,301546928,,,,,tertiary,0,24.8160458,60.1837869,,,
,74,25095349,,,,,trunk,0,24.8153243,60.1823554,,,
