name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
Servin Maijan tie,0,4216844,0,1,1,62.21,1,40,1000,residential,6,"LINESTRING (24.8347327 60.1890233, 24.8347889 60.1890579, 24.8349506 60.1892637, 24.8352053 60.1895279)",auto,1,0,,
Servin Maijan tie,1,4216844,1,0,1,62.21,1,40,1000,residential,6,"LINESTRING (24.8352053 60.1895279, 24.8349506 60.1892637, 24.8347889 60.1890579, 24.8347327 60.1890233)",auto,1,0,,
Otakuja,2,4216930,2,3,1,75.8,1,30,1000,residential,6,"LINESTRING (24.8321895 60.1838600, 24.8322693 60.1838394, 24.8323156 60.1838286, 24.8323677 60.1837891, 24.8324113 60.1837343, 24.8325338 60.1836656, 24.8327934 60.1835342, 24.8330297 60.1834019, 24.8331223 60.1833804)",auto,1,0,,
Otakuja,3,4216930,3,2,1,75.8,1,30,1000,residential,6,"LINESTRING (24.8331223 60.1833804, 24.8330297 60.1834019, 24.8327934 60.1835342, 24.8325338 60.1836656, 24.8324113 60.1837343, 24.8323677 60.1837891, 24.8323156 60.1838286, 24.8322693 60.1838394, 24.8321895 60.1838600)",auto,1,0,,
Maarintie,4,4216935,4,5,1,17.54,4,80,1600,secondary,4,"LINESTRING (24.8098846 60.1857495, 24.8099312 60.1857646, 24.8101494 60.1858356)",auto,0,0,,
Tietotie,5,4216937,6,7,1,45.85,1,40,800,unclassified,11,"LINESTRING (24.8167046 60.1842814, 24.8175171 60.1843572)",auto,1,0,,
Tietotie,6,4216937,7,6,1,45.85,1,40,800,unclassified,11,"LINESTRING (24.8175171 60.1843572, 24.8167046 60.1842814)",auto,1,0,,
Otakallio,7,4217234,8,9,1,61.53,1,30,1000,residential,6,"LINESTRING (24.8347787 60.1827212, 24.8349330 60.1826446, 24.8352361 60.1824415, 24.8354770 60.1822930)",auto,1,0,,
Otakallio,8,4217234,9,8,1,61.53,1,30,1000,residential,6,"LINESTRING (24.8354770 60.1822930, 24.8352361 60.1824415, 24.8349330 60.1826446, 24.8347787 60.1827212)",auto,1,0,,
Konemiehentie,9,4217647,10,246,1,18.0,1,40,1200,tertiary,5,"LINESTRING (24.8224301 60.1865332, 24.8223711 60.1864424, 24.8223280 60.1863798)",auto,0,0,,
Sähkömiehentie,10,4217648,12,13,1,17.81,1,30,800,unclassified,11,"LINESTRING (24.8249653 60.1894216, 24.8250685 60.1893888, 24.8251552 60.1893613, 24.8251963 60.1893482, 24.8252361 60.1893356)",auto,1,0,,
Sähkömiehentie,11,4217648,13,12,1,17.81,1,30,800,unclassified,11,"LINESTRING (24.8252361 60.1893356, 24.8251963 60.1893482, 24.8251552 60.1893613, 24.8250685 60.1893888, 24.8249653 60.1894216)",auto,1,0,,
Puumiehenkuja,12,4217649,14,15,1,242.48,1,40,1200,tertiary,5,"LINESTRING (24.8233140 60.1877757, 24.8233792 60.1877852, 24.8234619 60.1877849, 24.8235154 60.1877813, 24.8236124 60.1877639, 24.8237656 60.1877226, 24.8242414 60.1875790, 24.8242868 60.1875653, 24.8244071 60.1875289, 24.8248310 60.1873998, 24.8249523 60.1873623, 24.8250447 60.1873360, 24.8255127 60.1872011, 24.8256009 60.1871757, 24.8264690 60.1869249, 24.8269783 60.1867737, 24.8270170 60.1867622, 24.8271256 60.1867553)",auto,1,0,,
Puumiehenkuja,13,4217649,15,14,1,242.48,1,40,1200,tertiary,5,"LINESTRING (24.8271256 60.1867553, 24.8270170 60.1867622, 24.8269783 60.1867737, 24.8264690 60.1869249, 24.8256009 60.1871757, 24.8255127 60.1872011, 24.8250447 60.1873360, 24.8249523 60.1873623, 24.8248310 60.1873998, 24.8244071 60.1875289, 24.8242868 60.1875653, 24.8242414 60.1875790, 24.8237656 60.1877226, 24.8236124 60.1877639, 24.8235154 60.1877813, 24.8234619 60.1877849, 24.8233792 60.1877852, 24.8233140 60.1877757)",auto,1,0,,
Servinkuja,14,4217758,16,1,1,141.11,1,30,1000,residential,6,"LINESTRING (24.8339589 60.1906255, 24.8344641 60.1902859, 24.8349218 60.1898709, 24.8351529 60.1895953, 24.8352053 60.1895279)",auto,1,0,,
Servinkuja,15,4217758,1,16,1,141.11,1,30,1000,residential,6,"LINESTRING (24.8352053 60.1895279, 24.8351529 60.1895953, 24.8349218 60.1898709, 24.8344641 60.1902859, 24.8339589 60.1906255)",auto,1,0,,
Kuusisaarentie,16,4217936,17,18,1,100.47,2,50,1600,secondary,4,"LINESTRING (24.8376015 60.1801221, 24.8372974 60.1801075, 24.8358526 60.1798965)",auto,0,0,,
Jämeräntaival,17,4220249,19,20,1,362.68,1,40,1000,residential,6,"LINESTRING (24.8350633 60.1876736, 24.8351113 60.1876712, 24.8351519 60.1876700, 24.8353122 60.1876656, 24.8354765 60.1876620, 24.8359816 60.1876529, 24.8361322 60.1876475, 24.8363606 60.1876523, 24.8366431 60.1876887, 24.8368379 60.1877350, 24.8369937 60.1877813, 24.8371276 60.1878378, 24.8373219 60.1879340, 24.8374966 60.1880440, 24.8375973 60.1881118, 24.8377732 60.1882351, 24.8379195 60.1883802, 24.8380258 60.1885094, 24.8381000 60.1886285, 24.8381707 60.1887490, 24.8382177 60.1888545, 24.8382692 60.1889609, 24.8384773 60.1892802, 24.8384941 60.1893052, 24.8386053 60.1894283, 24.8389595 60.1897281, 24.8390127 60.1897731)",auto,1,0,,
Jämeräntaival,18,4220249,20,19,1,362.68,1,40,1000,residential,6,"LINESTRING (24.8390127 60.1897731, 24.8389595 60.1897281, 24.8386053 60.1894283, 24.8384941 60.1893052, 24.8384773 60.1892802, 24.8382692 60.1889609, 24.8382177 60.1888545, 24.8381707 60.1887490, 24.8381000 60.1886285, 24.8380258 60.1885094, 24.8379195 60.1883802, 24.8377732 60.1882351, 24.8375973 60.1881118, 24.8374966 60.1880440, 24.8373219 60.1879340, 24.8371276 60.1878378, 24.8369937 60.1877813, 24.8368379 60.1877350, 24.8366431 60.1876887, 24.8363606 60.1876523, 24.8361322 60.1876475, 24.8359816 60.1876529, 24.8354765 60.1876620, 24.8353122 60.1876656, 24.8351519 60.1876700, 24.8351113 60.1876712, 24.8350633 60.1876736)",auto,1,0,,
Vuorimiehentie,19,4220254,21,22,1,72.01,1,40,1200,tertiary,5,"LINESTRING (24.8282237 60.1839969, 24.8281786 60.1839872, 24.8281302 60.1839628, 24.8280685 60.1839140, 24.8280340 60.1838794, 24.8279422 60.1837292, 24.8278427 60.1835291, 24.8277552 60.1834084)",auto,1,0,,
Vuorimiehentie,20,4220254,22,21,1,72.01,1,40,1200,tertiary,5,"LINESTRING (24.8277552 60.1834084, 24.8278427 60.1835291, 24.8279422 60.1837292, 24.8280340 60.1838794, 24.8280685 60.1839140, 24.8281302 60.1839628, 24.8281786 60.1839872, 24.8282237 60.1839969)",auto,1,0,,
Vuorimiehentie,21,4220254,22,23,1,70.57,1,40,1200,tertiary,5,"LINESTRING (24.8277552 60.1834084, 24.8276715 60.1833370, 24.8275906 60.1832831, 24.8275079 60.1832294, 24.8273873 60.1831713, 24.8269029 60.1829426)",auto,1,0,,
Vuorimiehentie,22,4220254,23,22,1,70.57,1,40,1200,tertiary,5,"LINESTRING (24.8269029 60.1829426, 24.8273873 60.1831713, 24.8275079 60.1832294, 24.8275906 60.1832831, 24.8276715 60.1833370, 24.8277552 60.1834084)",auto,1,0,,
Vuorimiehentie,23,4220254,23,24,1,130.26,1,40,1200,tertiary,5,"LINESTRING (24.8269029 60.1829426, 24.8268136 60.1829028, 24.8267291 60.1828633, 24.8264616 60.1827365, 24.8258656 60.1824600, 24.8255191 60.1823005, 24.8251932 60.1821410)",auto,1,0,,
Vuorimiehentie,24,4220254,24,23,1,130.26,1,40,1200,tertiary,5,"LINESTRING (24.8251932 60.1821410, 24.8255191 60.1823005, 24.8258656 60.1824600, 24.8264616 60.1827365, 24.8267291 60.1828633, 24.8268136 60.1829028, 24.8269029 60.1829426)",auto,1,0,,
Vuorimiehentie,25,4220254,24,25,1,51.12,1,40,1200,tertiary,5,"LINESTRING (24.8251932 60.1821410, 24.8251074 60.1820977, 24.8245127 60.1818316)",auto,1,0,,
Vuorimiehentie,26,4220254,25,24,1,51.12,1,40,1200,tertiary,5,"LINESTRING (24.8245127 60.1818316, 24.8251074 60.1820977, 24.8251932 60.1821410)",auto,1,0,,
Kivimiehentie,27,4223428,26,27,1,295.48,1,40,800,unclassified,11,"LINESTRING (24.8294449 60.1791191, 24.8293960 60.1791883, 24.8292734 60.1793666, 24.8292024 60.1794674, 24.8289194 60.1798404, 24.8287844 60.1800363, 24.8287004 60.1801413, 24.8285334 60.1803740, 24.8285196 60.1803916, 24.8283487 60.1806285, 24.8282573 60.1807490, 24.8282178 60.1808017, 24.8281625 60.1808804, 24.8280382 60.1810516, 24.8278014 60.1813654, 24.8277663 60.1814111, 24.8276661 60.1815795, 24.8276538 60.1816165)",auto,1,0,,
