node_id,x_coord,y_coord,meso_link_id,lane_no,activity_type,is_boundary
1,-112.04226,33.46148,0,1,,0
2,-112.04219,33.46147,0,1,,0
3,-112.04211,33.46146,0,1,,0
4,-112.04204,33.46145,0,1,,0
5,-112.04197,33.46144,0,1,,0
6,-112.04189,33.46143,0,1,,0
7,-112.04182,33.46142,0,1,,0
8,-112.04174,33.46141,0,1,,0
11,-112.04161,33.4614,0,1,,0
12,-112.04153,33.46139,0,1,,0
13,-112.04146,33.46138,0,1,,0
14,-112.04138,33.46137,0,1,,0
15,-112.04131,33.46136,0,1,,0
16,-112.04123,33.46135,0,1,,0
19,-112.04112,33.46134,0,1,,0
20,-112.04104,33.46133,0,1,,0
21,-112.04097,33.46133,0,1,,0
22,-112.04089,33.46132,0,1,,0
23,-112.04082,33.46131,0,1,,0
24,-112.04074,33.46131,0,1,,0
25,-112.04067,33.4613,0,1,,0
26,-112.04056,33.46129,0,1,,0
27,-112.04168,33.46141,0,1,,0
28,-112.04119,33.46135,0,1,,0
30,-112.03757,33.45211,1,1,,0
31,-112.03757,33.45205,1,1,,0
32,-112.03758,33.45199,1,1,,0
33,-112.03758,33.45192,1,1,,0
34,-112.03759,33.45186,1,1,,0
35,-112.03759,33.4518,1,1,,0
36,-112.0376,33.45175,1,1,,0
43,-112.08797,33.4611,2,1,,0
44,-112.08798,33.46107,2,2,,0
45,-112.0879,33.46109,2,1,,0
46,-112.08791,33.46106,2,2,,0
47,-112.08783,33.46108,2,1,,0
48,-112.08783,33.46105,2,2,,0
49,-112.08775,33.46107,2,1,,0
50,-112.08776,33.46103,2,2,,0
51,-112.08768,33.46105,2,1,,0
52,-112.08768,33.46102,2,2,,0
53,-112.0876,33.46104,2,1,,0
54,-112.08761,33.46101,2,2,,0
55,-112.08753,33.46103,2,1,,0
56,-112.08754,33.461,2,2,,0
57,-112.08746,33.46102,2,1,,0
58,-112.08746,33.46099,2,2,,0
59,-112.08738,33.46101,2,1,,0
60,-112.08739,33.46097,2,2,,0
61,-112.08731,33.46099,2,1,,0
62,-112.08731,33.46096,2,2,,0
63,-112.08723,33.46098,2,1,,0
64,-112.08724,33.46095,2,2,,0
65,-112.08716,33.46097,2,1,,0
66,-112.08717,33.46094,2,2,,0
67,-112.08709,33.46096,2,1,,0
68,-112.08709,33.46093,2,2,,0
69,-112.08701,33.46095,2,1,,0
70,-112.08702,33.46092,2,2,,0
71,-112.08694,33.46093,2,1,,0
72,-112.08694,33.4609,2,2,,0
73,-112.08686,33.46092,2,1,,0
74,-112.08687,33.46089,2,2,,0
75,-112.08679,33.46091,2,1,,0
76,-112.0868,33.46088,2,2,,0
77,-112.08672,33.4609,2,1,,0
78,-112.08672,33.46087,2,2,,0
79,-112.08664,33.46089,2,1,,0
80,-112.08665,33.46086,2,2,,0
81,-112.08657,33.46088,2,1,,0
82,-112.08657,33.46084,2,2,,0
83,-112.08649,33.46086,2,1,,0
84,-112.0865,33.46083,2,2,,0
85,-112.08642,33.46085,2,1,,0
86,-112.08643,33.46082,2,2,,0
87,-112.08635,33.46084,2,1,,0
88,-112.08635,33.46081,2,2,,0
89,-112.08627,33.46083,2,1,,0
90,-112.08628,33.4608,2,2,,0
91,-112.0862,33.46082,2,1,,0
92,-112.0862,33.46079,2,2,,0
93,-112.08612,33.4608,2,1,,0
94,-112.08613,33.46077,2,2,,0
95,-112.08605,33.46079,2,1,,0
96,-112.08606,33.46076,2,2,,0
97,-112.08598,33.46078,2,1,,0
98,-112.08598,33.46075,2,2,,0
99,-112.0859,33.46077,2,1,,0
100,-112.08591,33.46074,2,2,,0
101,-112.08583,33.46076,2,1,,0
102,-112.08583,33.46073,2,2,,0
103,-112.08575,33.46075,2,1,,0
104,-112.08576,33.46071,2,2,,0
105,-112.08568,33.46073,2,1,,0
