od_no,o_zone_id,d_zone_id,o_zone_agent_type_cover_flag,d_zone_agent_type_cover_flag,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,sensor_flag,toll,travel_time,VDF_travel_time,travel_time_without_access_link,distance_km
1,1,2,0,0,0,0,sov,AM,2000.00,2000,1,0,0.0,108.6,9107.0361,9107.0361,17.2869
2,1,42,0,0,0,0,sov,AM,100.00,100,1,0,0.0,6.9,6.2079,6.2079,9.9988
3,42,43,0,0,0,0,sov,AM,100.00,100,1,0,0.0,3.5,2.3935,2.3935,4.1658
4,43,2,0,0,0,0,sov,AM,100.00,100,1,0,0.0,6.6,5.8075,5.8075,9.3706
