node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry
0,,-111.952600,33.260930,,,0,0.100000,0.100000,"POINT (-111.952600 33.260930)"
2,,-111.952570,33.260870,,,0,0.100000,0.100000,"POINT (-111.952570 33.260870)"
3,,-111.952600,33.260860,,,0,0.100000,0.100000,"POINT (-111.952600 33.260860)"
4,,-111.952540,33.260820,,,0,0.100000,0.100000,"POINT (-111.952540 33.260820)"
5,,-111.952570,33.260800,,,0,0.100000,0.100000,"POINT (-111.952570 33.260800)"
6,,-111.952500,33.260760,,,0,0.100000,0.100000,"POINT (-111.952500 33.260760)"
7,,-111.952540,33.260740,,,0,0.100000,0.100000,"POINT (-111.952540 33.260740)"
8,,-111.952470,33.260700,,,0,0.100000,0.100000,"POINT (-111.952470 33.260700)"
9,,-111.952510,33.260690,,,0,0.100000,0.100000,"POINT (-111.952510 33.260690)"
14,,-111.952400,33.260580,,,0,0.100000,0.100000,"POINT (-111.952400 33.260580)"
15,,-111.952430,33.260560,,,0,0.100000,0.100000,"POINT (-111.952430 33.260560)"
16,,-111.952360,33.260530,,,0,0.100000,0.100000,"POINT (-111.952360 33.260530)"
17,,-111.952390,33.260510,,,0,0.100000,0.100000,"POINT (-111.952390 33.260510)"
18,,-111.952320,33.260470,,,0,0.100000,0.100000,"POINT (-111.952320 33.260470)"
19,,-111.952350,33.260460,,,0,0.100000,0.100000,"POINT (-111.952350 33.260460)"
20,,-111.952280,33.260420,,,0,0.100000,0.100000,"POINT (-111.952280 33.260420)"
21,,-111.952310,33.260400,,,0,0.100000,0.100000,"POINT (-111.952310 33.260400)"
22,,-111.952240,33.260370,,,0,0.100000,0.100000,"POINT (-111.952240 33.260370)"
23,,-111.952270,33.260350,,,0,0.100000,0.100000,"POINT (-111.952270 33.260350)"
24,,-111.952200,33.260310,,,0,0.100000,0.100000,"POINT (-111.952200 33.260310)"
25,,-111.952230,33.260300,,,0,0.100000,0.100000,"POINT (-111.952230 33.260300)"
26,,-111.952160,33.260260,,,0,0.100000,0.100000,"POINT (-111.952160 33.260260)"
27,,-111.952190,33.260240,,,0,0.100000,0.100000,"POINT (-111.952190 33.260240)"
28,,-111.952120,33.260200,,,0,0.100000,0.100000,"POINT (-111.952120 33.260200)"
29,,-111.952150,33.260190,,,0,0.100000,0.100000,"POINT (-111.952150 33.260190)"
30,,-111.952080,33.260150,,,0,0.100000,0.100000,"POINT (-111.952080 33.260150)"
31,,-111.952110,33.260130,,,0,0.100000,0.100000,"POINT (-111.952110 33.260130)"
32,,-111.952040,33.260100,,,0,0.100000,0.100000,"POINT (-111.952040 33.260100)"
33,,-111.952070,33.260080,,,0,0.100000,0.100000,"POINT (-111.952070 33.260080)"
34,,-111.952000,33.260040,,,0,0.100000,0.100000,"POINT (-111.952000 33.260040)"
35,,-111.952030,33.260030,,,0,0.100000,0.100000,"POINT (-111.952030 33.260030)"
36,,-111.951960,33.259990,,,0,0.100000,0.100000,"POINT (-111.951960 33.259990)"
37,,-111.952000,33.259970,,,0,0.100000,0.100000,"POINT (-111.952000 33.259970)"
38,,-111.951920,33.259940,,,0,0.100000,0.100000,"POINT (-111.951920 33.259940)"
39,,-111.951960,33.259920,,,0,0.100000,0.100000,"POINT (-111.951960 33.259920)"
40,,-111.951880,33.259880,,,0,0.100000,0.100000,"POINT (-111.951880 33.259880)"
41,,-111.951920,33.259870,,,0,0.100000,0.100000,"POINT (-111.951920 33.259870)"
42,,-111.951850,33.259830,,,0,0.100000,0.100000,"POINT (-111.951850 33.259830)"
43,,-111.951880,33.259810,,,0,0.100000,0.100000,"POINT (-111.951880 33.259810)"
44,,-111.951810,33.259770,,,0,0.100000,0.100000,"POINT (-111.951810 33.259770)"
45,,-111.951840,33.259760,,,0,0.100000,0.100000,"POINT (-111.951840 33.259760)"
46,,-111.951770,33.259720,,,0,0.100000,0.100000,"POINT (-111.951770 33.259720)"
47,,-111.951800,33.259700,,,0,0.100000,0.100000,"POINT (-111.951800 33.259700)"
48,,-111.951730,33.259670,,,0,0.100000,0.100000,"POINT (-111.951730 33.259670)"
49,,-111.951760,33.259650,,,0,0.100000,0.100000,"POINT (-111.951760 33.259650)"
50,,-111.951690,33.259610,,,0,0.100000,0.100000,"POINT (-111.951690 33.259610)"
51,,-111.951720,33.259600,,,0,0.100000,0.100000,"POINT (-111.951720 33.259600)"
52,,-111.951650,33.259560,,,0,0.100000,0.100000,"POINT (-111.951650 33.259560)"
53,,-111.951680,33.259540,,,0,0.100000,0.100000,"POINT (-111.951680 33.259540)"
54,,-111.951610,33.259510,,,0,0.100000,0.100000,"POINT (-111.951610 33.259510)"
55,,-111.951640,33.259490,,,0,0.100000,0.100000,"POINT (-111.951640 33.259490)"
56,,-111.951570,33.259450,,,0,0.100000,0.100000,"POINT (-111.951570 33.259450)"
57,,-111.951600,33.259440,,,0,0.100000,0.100000,"POINT (-111.951600 33.259440)"
58,,-111.951530,33.259400,,,0,0.100000,0.100000,"POINT (-111.951530 33.259400)"
59,,-111.951560,33.259380,,,0,0.100000,0.100000,"POINT (-111.951560 33.259380)"
64,,-111.951470,33.259310,,,0,0.100000,0.100000,"POINT (-111.951470 33.259310)"
65,,-111.951500,33.259290,,,0,0.100000,0.100000,"POINT (-111.951500 33.259290)"
66,,-111.951430,33.259250,,,0,0.100000,0.100000,"POINT (-111.951430 33.259250)"
67,,-111.951460,33.259240,,,0,0.100000,0.100000,"POINT (-111.951460 33.259240)"
68,,-111.951400,33.259200,,,0,0.100000,0.100000,"POINT (-111.951400 33.259200)"
69,,-111.951430,33.259180,,,0,0.100000,0.100000,"POINT (-111.951430 33.259180)"
70,,-111.951360,33.259140,,,0,0.100000,0.100000,"POINT (-111.951360 33.259140)"
71,,-111.951390,33.259130,,,0,0.100000,0.100000,"POINT (-111.951390 33.259130)"
72,,-111.951320,33.259090,,,0,0.100000,0.100000,"POINT (-111.951320 33.259090)"
73,,-111.951360,33.259070,,,0,0.100000,0.100000,"POINT (-111.951360 33.259070)"
74,,-111.951290,33.259030,,,0,0.100000,0.100000,"POINT (-111.951290 33.259030)"
75,,-111.951320,33.259020,,,0,0.100000,0.100000,"POINT (-111.951320 33.259020)"
76,,-111.951250,33.258980,,,0,0.100000,0.100000,"POINT (-111.951250 33.258980)"
77,,-111.951280,33.258960,,,0,0.100000,0.100000,"POINT (-111.951280 33.258960)"
78,,-111.951210,33.258920,,,0,0.100000,0.100000,"POINT (-111.951210 33.258920)"
79,,-111.951250,33.258910,,,0,0.100000,0.100000,"POINT (-111.951250 33.258910)"
80,,-111.951180,33.258870,,,0,0.100000,0.100000,"POINT (-111.951180 33.258870)"
81,,-111.951210,33.258850,,,0,0.100000,0.100000,"POINT (-111.951210 33.258850)"
82,,-111.951140,33.258810,,,0,0.100000,0.100000,"POINT (-111.951140 33.258810)"
83,,-111.951170,33.258800,,,0,0.100000,0.100000,"POINT (-111.951170 33.258800)"
84,,-111.951100,33.258760,,,0,0.100000,0.100000,"POINT (-111.951100 33.258760)"
85,,-111.951140,33.258740,,,0,0.100000,0.100000,"POINT (-111.951140 33.258740)"
86,,-111.951070,33.258700,,,0,0.100000,0.100000,"POINT (-111.951070 33.258700)"
87,,-111.951100,33.258690,,,0,0.100000,0.100000,"POINT (-111.951100 33.258690)"
88,,-111.951030,33.258650,,,0,0.100000,0.100000,"POINT (-111.951030 33.258650)"
89,,-111.951060,33.258630,,,0,0.100000,0.100000,"POINT (-111.951060 33.258630)"
90,,-111.951000,33.258590,,,0,0.100000,0.100000,"POINT (-111.951000 33.258590)"
91,,-111.951030,33.258580,,,0,0.100000,0.100000,"POINT (-111.951030 33.258580)"
92,,-111.950960,33.258540,,,0,0.100000,0.100000,"POINT (-111.950960 33.258540)"
93,,-111.950990,33.258520,,,0,0.100000,0.100000,"POINT (-111.950990 33.258520)"
94,,-111.950920,33.258480,,,0,0.100000,0.100000,"POINT (-111.950920 33.258480)"
95,,-111.950960,33.258460,,,0,0.100000,0.100000,"POINT (-111.950960 33.258460)"
100,,-111.950840,33.258350,,,0,0.100000,0.100000,"POINT (-111.950840 33.258350)"
101,,-111.950880,33.258340,,,0,0.100000,0.100000,"POINT (-111.950880 33.258340)"
102,,-111.950810,33.258300,,,0,0.100000,0.100000,"POINT (-111.950810 33.258300)"
103,,-111.950840,33.258280,,,0,0.100000,0.100000,"POINT (-111.950840 33.258280)"
104,,-111.950780,33.258240,,,0,0.100000,0.100000,"POINT (-111.950780 33.258240)"
105,,-111.950810,33.258220,,,0,0.100000,0.100000,"POINT (-111.950810 33.258220)"
106,,-111.950740,33.258180,,,0,0.100000,0.100000,"POINT (-111.950740 33.258180)"
107,,-111.950780,33.258170,,,0,0.100000,0.100000,"POINT (-111.950780 33.258170)"
108,,-111.950710,33.258130,,,0,0.100000,0.100000,"POINT (-111.950710 33.258130)"
109,,-111.950740,33.258110,,,0,0.100000,0.100000,"POINT (-111.950740 33.258110)"
