node_id,zone_id,x_coord,y_coord,meso_link_id,lane_no,is_boundary
0,0,24.8348605,60.1890628,0,1,0
1,,24.8349047,60.189119,0,1,0
2,,24.8349488,60.1891752,0,1,0
3,,24.834993,60.1892314,0,1,0
4,,24.8350425,60.1892864,0,1,0
5,,24.8350949,60.1893408,0,1,0
6,,24.8351473,60.1893952,0,1,0
7,,24.8351998,60.1894496,0,1,0
8,1,24.835086,60.1894767,1,1,0
9,,24.835027,60.1894155,1,1,0
10,,24.8349679,60.1893543,1,1,0
11,,24.8349089,60.1892931,1,1,0
12,,24.8348567,60.1892304,1,1,0
13,,24.834807,60.1891672,1,1,0
14,,24.8347573,60.1891039,1,1,0
15,2,24.8322828,60.1837962,2,1,0
16,,24.8323373,60.183742,2,1,0
17,,24.8324029,60.1836917,2,1,0
18,,24.8324841,60.1836462,2,1,0
19,,24.8325697,60.1836026,2,1,0
20,,24.8326554,60.1835592,2,1,0
21,,24.8327412,60.1835158,2,1,0
22,,24.8328228,60.1834705,2,1,0
23,,24.8329041,60.183425,2,1,0
24,,24.8329853,60.1833795,2,1,0
25,,24.833094,60.1833523,2,1,-1
26,3,24.8331473,60.1834093,3,1,1
27,,24.8330453,60.1834405,3,1,0
28,,24.8329643,60.1834858,3,1,0
29,,24.8328833,60.1835311,3,1,0
30,,24.8328003,60.1835755,3,1,0
31,,24.8327149,60.1836188,3,1,0
32,,24.8326294,60.183662,3,1,0
33,,24.8325459,60.1837061,3,1,0
34,,24.8324654,60.1837516,3,1,0
35,,24.8324188,60.1838076,3,1,0
36,,24.8323476,60.1838558,3,1,0
37,4,24.8098632,60.1857988,4,1,0
38,,24.8099653,60.185832,4,1,0
39,,24.8100674,60.1858652,4,1,0
40,,24.8098976,60.1857725,4,2,0
41,,24.8099998,60.1858057,4,2,0
42,,24.810102,60.1858389,4,2,0
43,,24.809932,60.1857461,4,3,0
44,,24.8100343,60.1857794,4,3,0
45,,24.8101365,60.1858126,4,3,0
46,,24.8099664,60.1857198,4,4,0
47,,24.8100687,60.185753,4,4,0
48,,24.810171,60.1857863,4,4,0
49,5,24.816858,60.1842637,5,1,0
50,,24.8169902,60.1842761,5,1,0
51,,24.8171225,60.1842884,5,1,0
52,,24.8172547,60.1843008,5,1,0
53,,24.8173869,60.1843131,5,1,0
54,6,24.8173637,60.1843749,6,1,0
55,,24.8172315,60.1843625,6,1,0
56,,24.8170992,60.1843502,6,1,0
57,,24.816967,60.1843379,6,1,0
58,,24.8168348,60.1843255,6,1,0
59,7,24.8347354,60.1826983,7,1,1
60,,24.8348201,60.1826563,7,1,0
61,,24.8349017,60.1826129,7,1,0
62,,24.834973,60.1825651,7,1,0
63,,24.8350443,60.1825173,7,1,0
64,,24.8351156,60.1824696,7,1,0
65,,24.835187,60.1824218,7,1,0
66,,24.8352621,60.1823755,7,1,0
67,,24.8353372,60.1823292,7,1,0
68,8,24.8354354,60.1823686,8,1,0
69,,24.8353592,60.1824156,8,1,0
70,,24.8352832,60.1824626,8,1,0
71,,24.8352108,60.1825111,8,1,0
72,,24.8351385,60.1825596,8,1,0
73,,24.8350662,60.1826081,8,1,0
74,,24.8349938,60.1826565,8,1,0
75,,24.8349104,60.1827002,8,1,0
76,,24.8348245,60.1827428,8,1,-1
78,9,24.8223746,60.1864478,9,1,0
79,10,24.8249329,60.1893946,10,1,1
80,,24.8250806,60.1893477,10,1,0
81,11,24.8251483,60.1894007,11,1,0
82,,24.8250007,60.1894476,11,1,-1
83,12,24.8234735,60.1877524,12,1,0
84,,24.8235936,60.1877332,12,1,0
85,,24.8237051,60.1877032,12,1,0
86,,24.8238144,60.1876711,12,1,0
87,,24.8239228,60.1876384,12,1,0
88,,24.8240313,60.1876057,12,1,0
89,,24.8241397,60.1875729,12,1,0
90,,24.8242482,60.1875402,12,1,0
91,,24.8243565,60.1875074,12,1,0
92,,24.8244647,60.1874745,12,1,0
93,,24.8245729,60.1874416,12,1,0
94,,24.8246811,60.1874086,12,1,0
95,,24.8247893,60.1873757,12,1,0
96,,24.824897,60.1873424,12,1,0
97,,24.8250066,60.1873106,12,1,0
98,,24.8251164,60.187279,12,1,0
99,,24.8252261,60.1872474,12,1,0
100,,24.8253359,60.1872158,12,1,0
101,,24.8254456,60.1871841,12,1,0
102,,24.8255554,60.1871525,12,1,0
103,,24.8256651,60.1871208,12,1,0
104,,24.8257748,60.1870891,12,1,0
105,,24.8258845,60.1870575,12,1,0
106,,24.8259941,60.1870258,12,1,0
107,,24.8261038,60.1869941,12,1,0
108,,24.8262135,60.1869624,12,1,0
109,,24.8263232,60.1869307,12,1,0
