link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,macro_node_id,macro_link_id,meso_link_id,cell_type,additional_cost,mvmt_txt_id
0,0,1,,1,6.72,1,1000,40,residential,6,,"LINESTRING (24.8348605 60.1890628, 24.8349047 60.1891190)",,0,0,1,0,
1,1,2,,1,6.72,1,1000,40,residential,6,,"LINESTRING (24.8349047 60.1891190, 24.8349488 60.1891752)",,0,0,1,0,
2,2,3,,1,6.72,1,1000,40,residential,6,,"LINESTRING (24.8349488 60.1891752, 24.8349930 60.1892314)",,0,0,1,0,
3,3,4,,1,6.71,1,1000,40,residential,6,,"LINESTRING (24.8349930 60.1892314, 24.8350425 60.1892864)",,0,0,1,0,
4,4,5,,1,6.72,1,1000,40,residential,6,,"LINESTRING (24.8350425 60.1892864, 24.8350949 60.1893408)",,0,0,1,0,
5,5,6,,1,6.72,1,1000,40,residential,6,,"LINESTRING (24.8350949 60.1893408, 24.8351473 60.1893952)",,0,0,1,0,
6,6,7,,1,6.72,1,1000,40,residential,6,,"LINESTRING (24.8351473 60.1893952, 24.8351998 60.1894496)",,0,0,1,0,
7,8,9,,1,7.56,1,1000,40,residential,6,,"LINESTRING (24.8350860 60.1894767, 24.8350270 60.1894155)",,1,1,1,0,
8,9,10,,1,7.56,1,1000,40,residential,6,,"LINESTRING (24.8350270 60.1894155, 24.8349679 60.1893543)",,1,1,1,0,
9,10,11,,1,7.56,1,1000,40,residential,6,,"LINESTRING (24.8349679 60.1893543, 24.8349089 60.1892931)",,1,1,1,0,
10,11,12,,1,7.56,1,1000,40,residential,6,,"LINESTRING (24.8349089 60.1892931, 24.8348567 60.1892304)",,1,1,1,0,
11,12,13,,1,7.56,1,1000,40,residential,6,,"LINESTRING (24.8348567 60.1892304, 24.8348070 60.1891672)",,1,1,1,0,
12,13,14,,1,7.56,1,1000,40,residential,6,,"LINESTRING (24.8348070 60.1891672, 24.8347573 60.1891039)",,1,1,1,0,
13,15,16,,1,6.75,1,1000,30,residential,6,,"LINESTRING (24.8322828 60.1837962, 24.8323373 60.1837420)",,2,2,1,0,
14,16,17,,1,6.68,1,1000,30,residential,6,,"LINESTRING (24.8323373 60.1837420, 24.8324029 60.1836917)",,2,2,1,0,
15,17,18,,1,6.78,1,1000,30,residential,6,,"LINESTRING (24.8324029 60.1836917, 24.8324841 60.1836462)",,2,2,1,0,
16,18,19,,1,6.78,1,1000,30,residential,6,,"LINESTRING (24.8324841 60.1836462, 24.8325697 60.1836026)",,2,2,1,0,
17,19,20,,1,6.78,1,1000,30,residential,6,,"LINESTRING (24.8325697 60.1836026, 24.8326554 60.1835592)",,2,2,1,0,
18,20,21,,1,6.78,1,1000,30,residential,6,,"LINESTRING (24.8326554 60.1835592, 24.8327412 60.1835158)",,2,2,1,0,
19,21,22,,1,6.78,1,1000,30,residential,6,,"LINESTRING (24.8327412 60.1835158, 24.8328228 60.1834705)",,2,2,1,0,
20,22,23,,1,6.78,1,1000,30,residential,6,,"LINESTRING (24.8328228 60.1834705, 24.8329041 60.1834250)",,2,2,1,0,
21,23,24,,1,6.78,1,1000,30,residential,6,,"LINESTRING (24.8329041 60.1834250, 24.8329853 60.1833795)",,2,2,1,0,
22,24,25,,1,6.75,1,1000,30,residential,6,,"LINESTRING (24.8329853 60.1833795, 24.8330940 60.1833523)",,2,2,1,0,
23,26,27,,1,6.64,1,1000,30,residential,6,,"LINESTRING (24.8331473 60.1834093, 24.8330453 60.1834405)",,3,3,1,0,
24,27,28,,1,6.76,1,1000,30,residential,6,,"LINESTRING (24.8330453 60.1834405, 24.8329643 60.1834858)",,3,3,1,0,
25,28,29,,1,6.76,1,1000,30,residential,6,,"LINESTRING (24.8329643 60.1834858, 24.8328833 60.1835311)",,3,3,1,0,
26,29,30,,1,6.75,1,1000,30,residential,6,,"LINESTRING (24.8328833 60.1835311, 24.8328003 60.1835755)",,3,3,1,0,
27,30,31,,1,6.76,1,1000,30,residential,6,,"LINESTRING (24.8328003 60.1835755, 24.8327149 60.1836188)",,3,3,1,0,
28,31,32,,1,6.76,1,1000,30,residential,6,,"LINESTRING (24.8327149 60.1836188, 24.8326294 60.1836620)",,3,3,1,0,
29,32,33,,1,6.75,1,1000,30,residential,6,,"LINESTRING (24.8326294 60.1836620, 24.8325459 60.1837061)",,3,3,1,0,
30,33,34,,1,6.75,1,1000,30,residential,6,,"LINESTRING (24.8325459 60.1837061, 24.8324654 60.1837516)",,3,3,1,0,
31,34,35,,1,6.75,1,1000,30,residential,6,,"LINESTRING (24.8324654 60.1837516, 24.8324188 60.1838076)",,3,3,1,0,
32,35,36,,1,6.67,1,1000,30,residential,6,,"LINESTRING (24.8324188 60.1838076, 24.8323476 60.1838558)",,3,3,1,0,
33,37,38,,1,6.76,1,1600,80,secondary,4,,"LINESTRING (24.8098632 60.1857988, 24.8099653 60.1858320)",,4,4,1,0,
34,38,39,,1,6.76,1,1600,80,secondary,4,,"LINESTRING (24.8099653 60.1858320, 24.8100674 60.1858652)",,4,4,1,0,
