[capacity_scenario],scenario_id,scenario_record_no,type_name,notes,from_node_id,to_node_id,time_period,capacity,demand_period,lr_price_sov,lr_price_info,lr_price_vms,lr_price_activity,lr_rt_price_vms,lr_price_activity
,1,0,capacity_change,penalty,22726,22370,0600_0630,0,AM,0,999,0,0,9999,0
,,,,penalty,22370,22374,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22374,22378,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22378,22382,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22382,22386,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22726,22371,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22370,22375,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22374,22379,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22378,22383,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22382,22387,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22727,22371,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22371,22375,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22375,22379,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22379,22383,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22383,22387,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22359,22728,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22727,22372,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22371,22376,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22375,22380,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22379,22384,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22383,22388,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22727,22370,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22371,22374,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22375,22378,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22379,22382,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22383,22386,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22360,22728,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22728,22372,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22372,22376,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22376,22380,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22380,22384,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22384,22388,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22360,22729,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22728,22373,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22372,22377,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22376,22381,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22380,22385,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22384,22389,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22728,22371,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22372,22375,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22376,22379,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22380,22383,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22384,22387,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22361,22729,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22729,22373,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22373,22377,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22377,22381,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22381,22385,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22385,22389,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22361,22728,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22729,22372,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22373,22376,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22377,22380,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22381,22384,0600_0630,0,AM,0,999,0,0,9999,0
,,,,,22385,22388,0600_0630,0,AM,0,999,0,0,9999,0
