notes,link_id,from_node,to_node,geometry,
Across boundary in subarea,388,22915,429,"LINESTRING (-112.194070 33.668090, -112.194000 33.668150)"
Across boundary in subarea,389,429,430,"LINESTRING (-112.194000 33.668150, -112.193920 33.668150)"
Across boundary in subarea,40882,22911,21854,"LINESTRING (-112.194070 33.668220, -112.194000 33.668210)"
Across boundary in subarea,40883,21854,21858,"LINESTRING (-112.194000 33.668210, -112.193920 33.668210)"
Across boundary in subarea,41081,22911,21855,"LINESTRING (-112.194070 33.668220, -112.194000 33.668170)"
Across boundary in subarea,41082,21854,21859,"LINESTRING (-112.194000 33.668210, -112.193920 33.668170)"
Across boundary in subarea,41280,22912,21855,"LINESTRING (-112.194070 33.668190, -112.194000 33.668170)"
Across boundary in subarea,41281,21855,21859,"LINESTRING (-112.194000 33.668170, -112.193920 33.668170)"
Across boundary in subarea,41479,22912,21856,"LINESTRING (-112.194070 33.668190, -112.194000 33.668140)"
Across boundary in subarea,41480,21855,21860,"LINESTRING (-112.194000 33.668170, -112.193920 33.668140)"
Across boundary in subarea,41678,22912,21854,"LINESTRING (-112.194070 33.668190, -112.194000 33.668210)"
Across boundary in subarea,41679,21855,21858,"LINESTRING (-112.194000 33.668170, -112.193920 33.668210)"
Across boundary in subarea,41877,22913,21856,"LINESTRING (-112.194070 33.668160, -112.194000 33.668140)"
Across boundary in subarea,41878,21856,21860,"LINESTRING (-112.194000 33.668140, -112.193920 33.668140)"
Across boundary in subarea,42076,22913,21857,"LINESTRING (-112.194070 33.668160, -112.194000 33.668110)"
Across boundary in subarea,42077,21856,21861,"LINESTRING (-112.194000 33.668140, -112.193920 33.668110)"
Across boundary in subarea,42275,22913,21855,"LINESTRING (-112.194070 33.668160, -112.194000 33.668170)"
Across boundary in subarea,42276,21856,21859,"LINESTRING (-112.194000 33.668140, -112.193920 33.668170)"
Across boundary in subarea,42474,22914,21857,"LINESTRING (-112.194070 33.668130, -112.194000 33.668110)"
Across boundary in subarea,42475,21857,21861,"LINESTRING (-112.194000 33.668110, -112.193920 33.668110)"
Across boundary in subarea,42673,22914,21856,"LINESTRING (-112.194070 33.668130, -112.194000 33.668140)"
Across boundary in subarea,42674,21857,21860,"LINESTRING (-112.194000 33.668110, -112.193920 33.668140)"
