link_id,from_node_id,to_node_id,time_period,duration_in_sec,state,state_code
26807,14278,14282,0640:40.000_0640:46.000,6,1,g
26807,14278,14282,0640:46.000_0642:20.000,94,0,r
26807,14278,14282,0642:20.000_0642:26.000,6,1,g
26807,14278,14282,0642:26.000_0644:00.000,94,0,r
26807,14278,14282,0644:00.000_0644:06.000,6,1,g
26807,14278,14282,0644:06.000_0645:40.000,94,0,r
26807,14278,14282,0645:40.000_0645:46.000,6,1,g
26807,14278,14282,0645:46.000_0647:20.000,94,0,r
26807,14278,14282,0647:20.000_0647:26.000,6,1,g
26807,14278,14282,0647:26.000_0649:00.000,94,0,r
26807,14278,14282,0649:00.000_0649:06.000,6,1,g
26807,14278,14282,0649:06.000_0650:40.000,94,0,r
26807,14278,14282,0650:40.000_0650:46.000,6,1,g
26807,14278,14282,0650:46.000_0652:20.000,94,0,r
26807,14278,14282,0652:20.000_0652:26.000,6,1,g
26807,14278,14282,0652:26.000_0654:00.000,94,0,r
26807,14278,14282,0654:00.000_0654:06.000,6,1,g
26807,14278,14282,0654:06.000_0655:40.000,94,0,r
26807,14278,14282,0655:40.000_0655:46.000,6,1,g
26807,14278,14282,0655:46.000_0657:20.000,94,0,r
26807,14278,14282,0657:20.000_0657:26.000,6,1,g
26807,14278,14282,0657:26.000_0659:00.000,94,0,r
26807,14278,14282,0659:00.000_0659:06.000,6,1,g
26807,14278,14282,0659:06.000_0700:40.000,94,0,r
26807,14278,14282,0700:40.000_0700:46.000,6,1,g
26807,14278,14282,0700:46.000_0702:20.000,94,0,r
26807,14278,14282,0702:20.000_0702:26.000,6,1,g
26807,14278,14282,0702:26.000_0704:00.000,94,0,r
26807,14278,14282,0704:00.000_0704:06.000,6,1,g
26807,14278,14282,0704:06.000_0705:40.000,94,0,r
26807,14278,14282,0705:40.000_0705:46.000,6,1,g
26807,14278,14282,0705:46.000_0707:20.000,94,0,r
26807,14278,14282,0707:20.000_0707:26.000,6,1,g
26807,14278,14282,0707:26.000_0709:00.000,94,0,r
26807,14278,14282,0709:00.000_0709:06.000,6,1,g
26807,14278,14282,0709:06.000_0710:40.000,94,0,r
26807,14278,14282,0710:40.000_0710:46.000,6,1,g
26807,14278,14282,0710:46.000_0712:20.000,94,0,r
26807,14278,14282,0712:20.000_0712:26.000,6,1,g
26807,14278,14282,0712:26.000_0714:00.000,94,0,r
26807,14278,14282,0714:00.000_0714:06.000,6,1,g
26807,14278,14282,0714:06.000_0715:40.000,94,0,r
26807,14278,14282,0715:40.000_0715:46.000,6,1,g
26807,14278,14282,0715:46.000_0717:20.000,94,0,r
