agent_id,o_zone_id,d_zone_id,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,sensor_flag,toll,travel_time,VDF_travel_time,distance
1,1,2,0,0,sov,AM,7200.00,7200,1,0,0.0,6.7,232.1143,5.1442,
2,1,3,0,0,sov,AM,100.00,100,1,0,0.0,2.0,93.4429,3.1068,
3,1,2,0,0,info,AM,1000.00,1000,1,0,0.0,0.7,199.7692,5.1619,
4,1,2,0,0,vms,AM,1000.00,1000,1,0,0.0,6.7,218.7940,5.1443,
5,1,2,0,0,activity,AM,7200.00,7200,1,0,0.0,26.6,388.4081,15.6062,
6,3,4,0,0,sov,AM,100.00,100,1,0,0.0,10.4,109.2902,4.5380,
7,4,2,0,0,sov,AM,100.00,100,1,0,0.0,5.7,185.6837,7.9614,
