cell_code,geometry
A3,"LINESTRING (-112.200000 33.670000,-112.195000 33.670000,-112.195000 33.665000,-112.200000 33.665000,-112.200000 33.670000,)"
A9,"LINESTRING (-112.200000 33.640000,-112.195000 33.640000,-112.195000 33.635000,-112.200000 33.635000,-112.200000 33.640000,)"
B3,"LINESTRING (-112.195000 33.670000,-112.190000 33.670000,-112.190000 33.665000,-112.195000 33.665000,-112.195000 33.670000,)"
B6,"LINESTRING (-112.195000 33.655000,-112.190000 33.655000,-112.190000 33.650000,-112.195000 33.650000,-112.195000 33.655000,)"
B9,"LINESTRING (-112.195000 33.640000,-112.190000 33.640000,-112.190000 33.635000,-112.195000 33.635000,-112.195000 33.640000,)"
C10,"LINESTRING (-112.190000 33.635000,-112.185000 33.635000,-112.185000 33.630000,-112.190000 33.630000,-112.190000 33.635000,)"
C2,"LINESTRING (-112.190000 33.675000,-112.185000 33.675000,-112.185000 33.670000,-112.190000 33.670000,-112.190000 33.675000,)"
C3,"LINESTRING (-112.190000 33.670000,-112.185000 33.670000,-112.185000 33.665000,-112.190000 33.665000,-112.190000 33.670000,)"
C4,"LINESTRING (-112.190000 33.665000,-112.185000 33.665000,-112.185000 33.660000,-112.190000 33.660000,-112.190000 33.665000,)"
C5,"LINESTRING (-112.190000 33.660000,-112.185000 33.660000,-112.185000 33.655000,-112.190000 33.655000,-112.190000 33.660000,)"
C6,"LINESTRING (-112.190000 33.655000,-112.185000 33.655000,-112.185000 33.650000,-112.190000 33.650000,-112.190000 33.655000,)"
C7,"LINESTRING (-112.190000 33.650000,-112.185000 33.650000,-112.185000 33.645000,-112.190000 33.645000,-112.190000 33.650000,)"
C8,"LINESTRING (-112.190000 33.645000,-112.185000 33.645000,-112.185000 33.640000,-112.190000 33.640000,-112.190000 33.645000,)"
C9,"LINESTRING (-112.190000 33.640000,-112.185000 33.640000,-112.185000 33.635000,-112.190000 33.635000,-112.190000 33.640000,)"
D3,"LINESTRING (-112.185000 33.670000,-112.180000 33.670000,-112.180000 33.665000,-112.185000 33.665000,-112.185000 33.670000,)"
D4,"LINESTRING (-112.185000 33.665000,-112.180000 33.665000,-112.180000 33.660000,-112.185000 33.660000,-112.185000 33.665000,)"
D6,"LINESTRING (-112.185000 33.655000,-112.180000 33.655000,-112.180000 33.650000,-112.185000 33.650000,-112.185000 33.655000,)"
D9,"LINESTRING (-112.185000 33.640000,-112.180000 33.640000,-112.180000 33.635000,-112.185000 33.635000,-112.185000 33.640000,)"
E3,"LINESTRING (-112.180000 33.670000,-112.175000 33.670000,-112.175000 33.665000,-112.180000 33.665000,-112.180000 33.670000,)"
E4,"LINESTRING (-112.180000 33.665000,-112.175000 33.665000,-112.175000 33.660000,-112.180000 33.660000,-112.180000 33.665000,)"
E5,"LINESTRING (-112.180000 33.660000,-112.175000 33.660000,-112.175000 33.655000,-112.180000 33.655000,-112.180000 33.660000,)"
E6,"LINESTRING (-112.180000 33.655000,-112.175000 33.655000,-112.175000 33.650000,-112.180000 33.650000,-112.180000 33.655000,)"
E9,"LINESTRING (-112.180000 33.640000,-112.175000 33.640000,-112.175000 33.635000,-112.180000 33.635000,-112.180000 33.640000,)"
F3,"LINESTRING (-112.175000 33.670000,-112.170000 33.670000,-112.170000 33.665000,-112.175000 33.665000,-112.175000 33.670000,)"
F6,"LINESTRING (-112.175000 33.655000,-112.170000 33.655000,-112.170000 33.650000,-112.175000 33.650000,-112.175000 33.655000,)"
F9,"LINESTRING (-112.175000 33.640000,-112.170000 33.640000,-112.170000 33.635000,-112.175000 33.635000,-112.175000 33.640000,)"
G10,"LINESTRING (-112.170000 33.635000,-112.165000 33.635000,-112.165000 33.630000,-112.170000 33.630000,-112.170000 33.635000,)"
G3,"LINESTRING (-112.170000 33.670000,-112.165000 33.670000,-112.165000 33.665000,-112.170000 33.665000,-112.170000 33.670000,)"
G4,"LINESTRING (-112.170000 33.665000,-112.165000 33.665000,-112.165000 33.660000,-112.170000 33.660000,-112.170000 33.665000,)"
G5,"LINESTRING (-112.170000 33.660000,-112.165000 33.660000,-112.165000 33.655000,-112.170000 33.655000,-112.170000 33.660000,)"
G6,"LINESTRING (-112.170000 33.655000,-112.165000 33.655000,-112.165000 33.650000,-112.170000 33.650000,-112.170000 33.655000,)"
G7,"LINESTRING (-112.170000 33.650000,-112.165000 33.650000,-112.165000 33.645000,-112.170000 33.645000,-112.170000 33.650000,)"
G8,"LINESTRING (-112.170000 33.645000,-112.165000 33.645000,-112.165000 33.640000,-112.170000 33.640000,-112.170000 33.645000,)"
G9,"LINESTRING (-112.170000 33.640000,-112.165000 33.640000,-112.165000 33.635000,-112.170000 33.635000,-112.170000 33.640000,)"
H1,"LINESTRING (-112.165000 33.680000,-112.160000 33.680000,-112.160000 33.675000,-112.165000 33.675000,-112.165000 33.680000,)"
H2,"LINESTRING (-112.165000 33.675000,-112.160000 33.675000,-112.160000 33.670000,-112.165000 33.670000,-112.165000 33.675000,)"
H3,"LINESTRING (-112.165000 33.670000,-112.160000 33.670000,-112.160000 33.665000,-112.165000 33.665000,-112.165000 33.670000,)"
H5,"LINESTRING (-112.165000 33.660000,-112.160000 33.660000,-112.160000 33.655000,-112.165000 33.655000,-112.165000 33.660000,)"
H6,"LINESTRING (-112.165000 33.655000,-112.160000 33.655000,-112.160000 33.650000,-112.165000 33.650000,-112.165000 33.655000,)"
H9,"LINESTRING (-112.165000 33.640000,-112.160000 33.640000,-112.160000 33.635000,-112.165000 33.635000,-112.165000 33.640000,)"
I3,"LINESTRING (-112.160000 33.670000,-112.155000 33.670000,-112.155000 33.665000,-112.160000 33.665000,-112.160000 33.670000,)"
I6,"LINESTRING (-112.160000 33.655000,-112.155000 33.655000,-112.155000 33.650000,-112.160000 33.650000,-112.160000 33.655000,)"
I9,"LINESTRING (-112.160000 33.640000,-112.155000 33.640000,-112.155000 33.635000,-112.160000 33.635000,-112.160000 33.640000,)"
J3,"LINESTRING (-112.155000 33.670000,-112.150000 33.670000,-112.150000 33.665000,-112.155000 33.665000,-112.155000 33.670000,)"
J4,"LINESTRING (-112.155000 33.665000,-112.150000 33.665000,-112.150000 33.660000,-112.155000 33.660000,-112.155000 33.665000,)"
J5,"LINESTRING (-112.155000 33.660000,-112.150000 33.660000,-112.150000 33.655000,-112.155000 33.655000,-112.155000 33.660000,)"
J6,"LINESTRING (-112.155000 33.655000,-112.150000 33.655000,-112.150000 33.650000,-112.155000 33.650000,-112.155000 33.655000,)"
J7,"LINESTRING (-112.155000 33.650000,-112.150000 33.650000,-112.150000 33.645000,-112.155000 33.645000,-112.155000 33.650000,)"
J8,"LINESTRING (-112.155000 33.645000,-112.150000 33.645000,-112.150000 33.640000,-112.155000 33.640000,-112.155000 33.645000,)"
J9,"LINESTRING (-112.155000 33.640000,-112.150000 33.640000,-112.150000 33.635000,-112.155000 33.635000,-112.155000 33.640000,)"
K2,"LINESTRING (-112.150000 33.675000,-112.145000 33.675000,-112.145000 33.670000,-112.150000 33.670000,-112.150000 33.675000,)"
K3,"LINESTRING (-112.150000 33.670000,-112.145000 33.670000,-112.145000 33.665000,-112.150000 33.665000,-112.150000 33.670000,)"
K4,"LINESTRING (-112.150000 33.665000,-112.145000 33.665000,-112.145000 33.660000,-112.150000 33.660000,-112.150000 33.665000,)"
K6,"LINESTRING (-112.150000 33.655000,-112.145000 33.655000,-112.145000 33.650000,-112.150000 33.650000,-112.150000 33.655000,)"
K9,"LINESTRING (-112.150000 33.640000,-112.145000 33.640000,-112.145000 33.635000,-112.150000 33.635000,-112.150000 33.640000,)"
L2,"LINESTRING (-112.145000 33.675000,-112.140000 33.675000,-112.140000 33.670000,-112.145000 33.670000,-112.145000 33.675000,)"
L3,"LINESTRING (-112.145000 33.670000,-112.140000 33.670000,-112.140000 33.665000,-112.145000 33.665000,-112.145000 33.670000,)"
L6,"LINESTRING (-112.145000 33.655000,-112.140000 33.655000,-112.140000 33.650000,-112.145000 33.650000,-112.145000 33.655000,)"
L9,"LINESTRING (-112.145000 33.640000,-112.140000 33.640000,-112.140000 33.635000,-112.145000 33.635000,-112.145000 33.640000,)"
