link_id,tmc_corridor_name,link_type_name,from_node_id,to_node_id,from_cell_code,lanes,length,free_speed,FFTT,time_period,volume,CA,CD,density,queue_length,discharge_rate,TD_free_flow_travel_time,waiting_time_in_sec,RT_speed,speed,geometry,notes
1,,,1,3,A1,3,1.000,60.000,1.000,0600:00.000_1000:00.000,16410.000,16471.000,16410.000,20.333,61.000,5700.000,1.000,0.017,59.983,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556)",simulation-based
2,,,3,4,A1,3,1.000,60.000,1.000,0600:00.000_1000:00.000,16336.000,16410.000,16336.000,24.667,74.000,5400.000,1.000,0.020,59.980,"LINESTRING (-112.203112 33.667556, -112.182704 33.667637)",simulation-based
3,,,4,5,B1,3,1.000,60.000,1.000,0600:00.000_1000:00.000,17275.000,17331.000,17275.000,18.667,56.000,5400.000,1.001,0.054,59.946,"LINESTRING (-112.182704 33.667637, -112.163116 33.667772)",simulation-based
4,,,5,6,C1,3,1.000,60.000,1.000,0600:00.000_1000:00.000,17202.000,17275.000,17202.000,24.333,73.000,5400.000,1.001,0.031,59.969,"LINESTRING (-112.163116 33.667772, -112.140701 33.667926)",simulation-based
5,,,6,7,D1,3,1.000,60.000,1.000,0600:00.000_1000:00.000,17139.000,17202.000,17139.000,21.000,63.000,5400.000,1.000,0.028,59.972,"LINESTRING (-112.140701 33.667926, -112.120306 33.668067)",simulation-based
6,,,7,8,E1,3,1.000,60.000,1.000,0600:00.000_1000:00.000,7015.000,7036.000,7015.000,7.000,21.000,5400.000,1.016,0.959,59.056,"LINESTRING (-112.120306 33.668067, -112.098093 33.668220)",simulation-based
7,,,8,9,F1,3,1.000,60.000,1.000,0600:00.000_1000:00.000,6983.000,7015.000,6983.000,10.667,32.000,5400.000,1.000,0.004,59.996,"LINESTRING (-112.098093 33.668220, -112.079717 33.668347)",simulation-based
8,,,10,11,G1,2,1.000,60.000,1.000,0600:00.000_1000:00.000,6931.000,6955.000,6931.000,12.000,24.000,3600.000,1.000,0.000,60.000,"LINESTRING (-112.062351 33.668466, -112.046196 33.668578)",simulation-based
9,,,11,12,H1,3,1.000,60.000,1.000,0600:00.000_1000:00.000,6908.000,6931.000,6908.000,7.667,23.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.046196 33.668578, -112.038642 33.662300)",simulation-based
10,,,9,10,F1,2,1.000,60.000,1.000,0600:00.000_1000:00.000,6955.000,6983.000,6955.000,14.000,28.000,3600.000,1.003,0.164,59.836,"LINESTRING (-112.079717 33.668347, -112.062351 33.668466)",simulation-based
11,,,1,14,A1,3,1.000,60.000,1.000,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.216413 33.653927, -112.211333 33.648451)",simulation-based
12,,,14,15,A2,3,1.000,60.000,1.000,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.211333 33.648451, -112.207035 33.644013)",simulation-based
13,,,15,16,A2,3,1.000,60.000,1.000,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.207035 33.644013, -112.202329 33.639298)",simulation-based
14,,,16,17,A2,3,1.000,60.000,1.000,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.202329 33.639298, -112.190818 33.639378)",simulation-based
15,,,17,18,B2,3,1.000,60.000,1.000,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.190818 33.639378, -112.179914 33.639453)",simulation-based
16,,,18,19,B2,3,1.000,60.000,1.000,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.179914 33.639453, -112.168202 33.639534)",simulation-based
17,,,19,20,C2,3,1.000,60.000,1.000,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.168202 33.639534, -112.155278 33.639623)",simulation-based
18,,,20,21,C2,3,1.000,60.000,1.000,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.155278 33.639623, -112.143162 33.639706)",simulation-based
19,,,21,22,D2,3,1.000,60.000,1.000,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.143162 33.639706, -112.128824 33.639805)",simulation-based
20,,,22,23,D2,3,1.000,60.000,1.000,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.128824 33.639805, -112.117340 33.639870)",simulation-based
21,,,23,24,E2,3,1.000,60.000,1.000,0600:00.000_1000:00.000,5697.000,5723.000,5697.000,8.667,26.000,5400.000,1.000,0.001,59.999,"LINESTRING (-112.117340 33.639870, -112.102573 33.639986)",simulation-based
22,,,24,25,E2,3,1.000,60.000,1.000,0600:00.000_1000:00.000,5674.000,5697.000,5674.000,7.667,23.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.102573 33.639986, -112.087630 33.640089)",simulation-based
23,,,25,26,F2,3,1.000,60.000,1.000,0600:00.000_1000:00.000,5647.000,5674.000,5647.000,9.000,27.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.087630 33.640089, -112.072485 33.640193)",simulation-based
24,,,26,27,G2,3,1.000,60.000,1.000,0600:00.000_1000:00.000,5624.000,5647.000,5624.000,7.667,23.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.072485 33.640193, -112.059965 33.640279)",simulation-based
25,,,27,28,G2,3,1.000,60.000,1.000,0600:00.000_1000:00.000,5598.000,5624.000,5598.000,8.667,26.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.059965 33.640279, -112.046435 33.640372)",simulation-based
26,,,28,29,H2,3,1.000,60.000,1.000,0600:00.000_1000:00.000,5579.000,5598.000,5579.000,6.333,19.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.046435 33.640372, -112.038842 33.646568)",simulation-based
27,,,29,2,H2,3,1.000,60.000,1.000,0600:00.000_1000:00.000,828.000,833.000,828.000,1.667,5.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.038842 33.646568, -112.029867 33.655286)",simulation-based
28,,,12,2,H1,4,1.000,60.000,1.000,0600:00.000_1000:00.000,6885.000,6908.000,6885.000,5.750,23.000,7200.000,1.000,0.000,60.000,"LINESTRING (-112.038642 33.662300, -112.029867 33.655286)",simulation-based
29,,,1,30,A1,2,1.000,30.000,2.000,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,3600.000,2.000,0.000,30.000,"LINESTRING (-112.216413 33.653927, -112.188587 33.654193)",simulation-based
30,,,30,31,B1,2,1.000,30.000,2.000,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1800.000,2.000,0.000,30.000,"LINESTRING (-112.188587 33.654193, -112.161528 33.654379)",simulation-based
31,,,31,32,C1,2,1.000,30.000,2.000,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,3600.000,2.000,0.000,30.000,"LINESTRING (-112.161528 33.654379, -112.136488 33.654552)",simulation-based
32,,,32,33,D1,2,1.000,30.000,2.000,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1800.000,2.000,0.000,30.000,"LINESTRING (-112.136488 33.654552, -112.115040 33.654688)",simulation-based
33,,,34,2,G1,2,1.000,20.000,3.000,0600:00.000_1000:00.000,1412.000,1432.000,1412.000,10.000,20.000,3600.000,3.000,0.000,20.000,"LINESTRING (-112.063388 33.655055, -112.029867 33.655286)",simulation-based
34,,,33,35,E1,2,1.000,30.000,2.000,0600:00.000_1000:00.000,1473.000,1482.000,1473.000,4.500,9.000,1800.000,2.000,0.017,29.996,"LINESTRING (-112.115040 33.654688, -112.088630 33.654881)",simulation-based
35_credit,,,35,34,F1,2,1.000,10.000,6.000,0600:00.000_1000:00.000,1432.000,1473.000,1432.000,20.500,41.000,1800.000,6.009,0.569,9.984,"LINESTRING (-112.088630 33.654881, -112.063388 33.655055)",simulation-based
36,,,36,31,C1,3,1.000,30.000,2.000,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,3000.000,2.000,0.000,30.000,"LINESTRING (-112.168880 33.660658, -112.161528 33.654379)",simulation-based
37,,,31,36,C1,3,1.000,65.000,0.923,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.923,0.000,65.000,"LINESTRING (-112.161528 33.654380, -112.168880 33.660658)",simulation-based
38,,,31,37,C1,3,1.000,65.000,0.923,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.923,0.000,65.000,"LINESTRING (-112.161528 33.654380, -112.168717 33.648094)",simulation-based
39,,,37,31,C2,3,1.000,65.000,0.923,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.923,0.000,65.000,"LINESTRING (-112.168717 33.648093, -112.161528 33.654379)",simulation-based
40,,,38,33,E1,3,1.000,65.000,0.923,0600:00.000_1000:00.000,7265.000,7295.000,7265.000,10.000,30.000,5700.000,0.923,-0.002,65.003,"LINESTRING (-112.117524 33.662468, -112.115041 33.654688)",simulation-based
41,,,33,38,E1,3,1.000,65.000,0.923,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.923,0.000,65.000,"LINESTRING (-112.115040 33.654688, -112.117523 33.662469)",simulation-based
42,,,33,39,E1,3,1.000,65.000,0.923,0600:00.000_1000:00.000,5759.000,5783.000,5759.000,8.000,24.000,5700.000,0.923,-0.002,65.003,"LINESTRING (-112.115041 33.654688, -112.115355 33.646833)",simulation-based
43,,,39,33,E2,3,1.000,65.000,0.923,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.923,0.000,65.000,"LINESTRING (-112.115354 33.646833, -112.115040 33.654688)",simulation-based
44,,,40,35,F1,3,1.000,65.000,0.923,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.923,0.000,65.000,"LINESTRING (-112.094357 33.660427, -112.088630 33.654881)",simulation-based
45,,,35,40,F1,3,1.000,65.000,0.923,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.923,0.000,65.000,"LINESTRING (-112.088630 33.654882, -112.094356 33.660427)",simulation-based
46,,,35,41,F1,3,1.000,65.000,0.923,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.923,0.000,65.000,"LINESTRING (-112.088630 33.654882, -112.099647 33.647918)",simulation-based
47,,,41,35,F2,3,1.000,65.000,0.923,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.923,0.000,65.000,"LINESTRING (-112.099647 33.647918, -112.088630 33.654881)",simulation-based
48,,,4,36,B1,2,1.000,30.000,2.000,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,1400.000,2.000,0.000,30.000,"LINESTRING (-112.182704 33.667637, -112.168880 33.660658)",simulation-based
49,,,2,34,H1,3,1.000,65.000,0.923,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.923,0.000,65.000,"LINESTRING (-112.029867 33.655287, -112.063388 33.655056)",simulation-based
50,,,34,35,G1,3,1.000,65.000,0.923,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.923,0.000,65.000,"LINESTRING (-112.063388 33.655056, -112.088630 33.654882)",simulation-based
51,,,35,33,F1,3,1.000,65.000,0.923,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.923,0.000,65.000,"LINESTRING (-112.088630 33.654882, -112.115041 33.654688)",simulation-based
52,,,33,32,E1,3,1.000,65.000,0.923,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.923,0.000,65.000,"LINESTRING (-112.115041 33.654688, -112.136488 33.654552)",simulation-based
53,,,32,31,D1,3,1.000,65.000,0.923,0600:00.000_1000:00.000,0.000,0.000,0.000,0.000,0.000,5700.000,0.923,0.000,65.000,"LINESTRING (-112.136488 33.654552, -112.161528 33.654380)",simulation-based
