node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,info_type,production,attraction,geometry
1,,-112.216413,33.653927,,,1,,0.1,0.1,POINT (-112.216413 33.653927)
2,,-112.029867,33.655286,,,2,,0.1,0.1,POINT (-112.029867 33.655286)
3,,-112.203112,33.667556,,,0,,0.1,0.1,POINT (-112.203112 33.667556)
4,,-112.182704,33.667637,,,4,1,0.1,0.1,POINT (-112.182704 33.667637)
5,,-112.163116,33.667772,,,0,,0.1,0.1,POINT (-112.163116 33.667772)
6,,-112.140701,33.667926,,,0,,0.1,0.1,POINT (-112.140701 33.667926)
7,,-112.120306,33.668067,,,0,,0.1,0.1,POINT (-112.120306 33.668067)
8,,-112.098093,33.66822,,,0,,0.1,0.1,POINT (-112.098093 33.668220)
9,,-112.079717,33.668347,,,0,,0.1,0.1,POINT (-112.079717 33.668347)
10,,-112.062351,33.668466,,,0,,0.1,0.1,POINT (-112.062351 33.668466)
11,,-112.046196,33.668578,,,0,,0.1,0.1,POINT (-112.046196 33.668578)
12,,-112.038642,33.6623,,,0,,0.1,0.1,POINT (-112.038642 33.662300)
14,,-112.211333,33.648451,,,0,,0.1,0.1,POINT (-112.211333 33.648451)
15,,-112.207035,33.644013,,,0,,0.1,0.1,POINT (-112.207035 33.644013)
16,,-112.202329,33.639298,,,0,,0.1,0.1,POINT (-112.202329 33.639298)
17,,-112.190818,33.639378,,,0,,0.1,0.1,POINT (-112.190818 33.639378)
18,,-112.179914,33.639453,,,0,,0.1,0.1,POINT (-112.179914 33.639453)
19,,-112.168202,33.639534,,,0,,0.1,0.1,POINT (-112.168202 33.639534)
20,,-112.155278,33.639623,,,0,,0.1,0.1,POINT (-112.155278 33.639623)
21,,-112.143162,33.639706,,,0,,0.1,0.1,POINT (-112.143162 33.639706)
22,,-112.128824,33.639805,,,0,,0.1,0.1,POINT (-112.128824 33.639805)
23,,-112.11734,33.63987,,,0,,0.1,0.1,POINT (-112.117340 33.639870)
24,,-112.102573,33.639986,,,0,,0.1,0.1,POINT (-112.102573 33.639986)
25,,-112.08763,33.640089,,,0,,0.1,0.1,POINT (-112.087630 33.640089)
26,,-112.072485,33.640193,,,0,,0.1,0.1,POINT (-112.072485 33.640193)
27,,-112.059965,33.640279,,,0,,0.1,0.1,POINT (-112.059965 33.640279)
28,,-112.046435,33.640372,,,0,,0.1,0.1,POINT (-112.046435 33.640372)
29,,-112.038842,33.646568,,,0,,0.1,0.1,POINT (-112.038842 33.646568)
30,,-112.188587,33.654193,,,0,,0.1,0.1,POINT (-112.188587 33.654193)
31,,-112.161528,33.654379,,,0,,0.1,0.1,POINT (-112.161528 33.654379)
32,,-112.136488,33.654552,,,0,,0.1,0.1,POINT (-112.136488 33.654552)
33,,-112.115041,33.654688,,,0,,0.1,0.1,POINT (-112.115041 33.654688)
34,,-112.063388,33.655056,,,0,,0.1,0.1,POINT (-112.063388 33.655056)
35,,-112.08863,33.654882,,,0,,0.1,0.1,POINT (-112.088630 33.654882)
36,,-112.16888,33.660658,,,0,,0.1,0.1,POINT (-112.168880 33.660658)
37,,-112.168717,33.648093,,,0,,0.1,0.1,POINT (-112.168717 33.648093)
38,,-112.117523,33.662469,,,0,,0.1,0.1,POINT (-112.117523 33.662469)
39,,-112.115354,33.646833,,,0,,0.1,0.1,POINT (-112.115354 33.646833)
40,,-112.094357,33.660427,,,0,,0.1,0.1,POINT (-112.094357 33.660427)
41,,-112.099647,33.647918,,,0,,0.1,0.1,POINT (-112.099647 33.647918)
42,,-112.119622,33.671412,,,42,,0,0,POINT (-112.119622 33.671412)
43,,-112.116949,33.634858,,,43,,0,0,POINT (-112.116949 33.634858)
44,,-112.005727,33.668752,,,0,,0,0,POINT (-112.005727 33.668752)
45,,-111.96373,33.667623,,,0,,0,0,POINT (-111.963730 33.667623)
46,,-111.932894,33.66277,,,0,,0,0,POINT (-111.932894 33.662770)
47,,-112.00247,33.654895,,,0,,0,0,POINT (-112.002470 33.654895)
48,,-111.964208,33.653639,,,0,,0,0,POINT (-111.964208 33.653639)
49,,-111.929702,33.653978,,,0,,0,0,POINT (-111.929702 33.653978)
50,,-112.001827,33.639197,,,0,,0,0,POINT (-112.001827 33.639197)
