link_id,tmc_corridor_name,link_type_name,from_node_id,to_node_id,from_cell_code,lanes,length,free_speed,FFTT,time_period,volume,CA,CD,density,queue_length,discharge_rate,TD_free_flow_travel_time,waiting_time_in_sec,RT_speed,speed,geometry,notes
1,,,1,3,A1,3,1.000,60.000,1.000,0600:00.000_0700:00.000,3119.000,3187.000,3119.000,22.667,68.000,5700.000,1.000,0.000,60.000,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556)",simulation-based
1,,,1,3,A1,3,1.000,60.000,1.000,0700:00.000_0800:00.000,4664.000,7864.000,7783.000,27.000,81.000,5700.000,1.000,0.000,60.000,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556)",simulation-based
1,,,1,3,A1,3,1.000,60.000,1.000,0800:00.000_0900:00.000,4767.000,12624.000,12550.000,24.667,74.000,5700.000,1.000,0.000,60.000,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556)",simulation-based
1,,,1,3,A1,3,1.000,60.000,1.000,0900:00.000_1000:00.000,3860.000,16471.000,16410.000,20.333,61.000,5700.000,1.000,0.000,60.000,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556)",simulation-based
2,,,3,4,A1,3,1.000,60.000,1.000,0600:00.000_0700:00.000,3061.000,3119.000,3061.000,19.333,58.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.203112 33.667556, -112.182704 33.667637)",simulation-based
2,,,3,4,A1,3,1.000,60.000,1.000,0700:00.000_0800:00.000,4644.000,7783.000,7705.000,26.000,78.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.203112 33.667556, -112.182704 33.667637)",simulation-based
2,,,3,4,A1,3,1.000,60.000,1.000,0800:00.000_0900:00.000,4776.000,12550.000,12481.000,23.000,69.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.203112 33.667556, -112.182704 33.667637)",simulation-based
2,,,3,4,A1,3,1.000,60.000,1.000,0900:00.000_1000:00.000,3855.000,16410.000,16336.000,24.667,74.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.203112 33.667556, -112.182704 33.667637)",simulation-based
3,,,4,5,B1,3,1.000,60.000,1.000,0600:00.000_0700:00.000,3174.000,3231.000,3174.000,19.000,57.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.182704 33.667637, -112.163116 33.667772)",simulation-based
3,,,4,5,B1,3,1.000,60.000,1.000,0700:00.000_0800:00.000,4886.000,8162.000,8060.000,34.000,102.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.182704 33.667637, -112.163116 33.667772)",simulation-based
3,,,4,5,B1,3,1.000,60.000,1.000,0800:00.000_0900:00.000,5085.000,13228.000,13145.000,27.667,83.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.182704 33.667637, -112.163116 33.667772)",simulation-based
3,,,4,5,B1,3,1.000,60.000,1.000,0900:00.000_1000:00.000,4130.000,17331.000,17275.000,18.667,56.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.182704 33.667637, -112.163116 33.667772)",simulation-based
4,,,5,6,C1,3,1.000,60.000,1.000,0600:00.000_0700:00.000,3102.000,3174.000,3102.000,24.000,72.000,5400.000,1.000,0.000,60.000,"LINESTRING (-112.163116 33.667772, -112.140701 33.667926)",simulation-based
