link_id,from_node_id,to_node_id,from_cell_code,time_period,volume,background_volume,major_path_volume,ratio_of_major_path_flow,geometry,notes
1,1,3,A1,0600_1000,16500.000,0.000,16500.000,1.000,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556)",
2,3,4,A1,0600_1000,16500.000,0.000,16500.000,1.000,"LINESTRING (-112.203112 33.667556, -112.182704 33.667637)",
3,4,5,B1,0600_1000,17500.000,0.000,17500.000,1.000,"LINESTRING (-112.182704 33.667637, -112.163116 33.667772)",
4,5,6,C1,0600_1000,17500.000,0.000,17500.000,1.000,"LINESTRING (-112.163116 33.667772, -112.140701 33.667926)",
5,6,7,D1,0600_1000,17500.000,0.000,17500.000,1.000,"LINESTRING (-112.140701 33.667926, -112.120306 33.668067)",
6,7,8,E1,0600_1000,7200.000,0.000,7200.000,1.000,"LINESTRING (-112.120306 33.668067, -112.098093 33.668220)",
7,8,9,F1,0600_1000,7200.000,0.000,7200.000,1.000,"LINESTRING (-112.098093 33.668220, -112.079717 33.668347)",
8,10,11,G1,0600_1000,7200.000,0.000,7200.000,1.000,"LINESTRING (-112.062351 33.668466, -112.046196 33.668578)",
9,11,12,H1,0600_1000,7200.000,0.000,7200.000,1.000,"LINESTRING (-112.046196 33.668578, -112.038642 33.662300)",
10,9,10,F1,0600_1000,7200.000,0.000,7200.000,1.000,"LINESTRING (-112.079717 33.668347, -112.062351 33.668466)",
11,1,14,A1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.216413 33.653927, -112.211333 33.648451)",
12,14,15,A2,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.211333 33.648451, -112.207035 33.644013)",
13,15,16,A2,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.207035 33.644013, -112.202329 33.639298)",
14,16,17,A2,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.202329 33.639298, -112.190818 33.639378)",
15,17,18,B2,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.190818 33.639378, -112.179914 33.639453)",
16,18,19,B2,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.179914 33.639453, -112.168202 33.639534)",
17,19,20,C2,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.168202 33.639534, -112.155278 33.639623)",
18,20,21,C2,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.155278 33.639623, -112.143162 33.639706)",
19,21,22,D2,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.143162 33.639706, -112.128824 33.639805)",
20,22,23,D2,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.128824 33.639805, -112.117340 33.639870)",
21,23,24,E2,0600_1000,8300.000,0.000,8300.000,1.000,"LINESTRING (-112.117340 33.639870, -112.102573 33.639986)",
22,24,25,E2,0600_1000,8300.000,0.000,8300.000,1.000,"LINESTRING (-112.102573 33.639986, -112.087630 33.640089)",
23,25,26,F2,0600_1000,8300.000,0.000,8300.000,1.000,"LINESTRING (-112.087630 33.640089, -112.072485 33.640193)",
24,26,27,G2,0600_1000,8300.000,0.000,8300.000,1.000,"LINESTRING (-112.072485 33.640193, -112.059965 33.640279)",
25,27,28,G2,0600_1000,8300.000,0.000,8300.000,1.000,"LINESTRING (-112.059965 33.640279, -112.046435 33.640372)",
26,28,29,H2,0600_1000,8300.000,0.000,8300.000,1.000,"LINESTRING (-112.046435 33.640372, -112.038842 33.646568)",
27,29,2,H2,0600_1000,8300.000,0.000,8300.000,1.000,"LINESTRING (-112.038842 33.646568, -112.029867 33.655286)",
28,12,2,H1,0600_1000,7200.000,0.000,7200.000,1.000,"LINESTRING (-112.038642 33.662300, -112.029867 33.655286)",
29,1,30,A1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.216413 33.653927, -112.188587 33.654193)",
30,30,31,B1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.188587 33.654193, -112.161528 33.654379)",
31,31,32,C1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.161528 33.654379, -112.136488 33.654552)",
32,32,33,D1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.136488 33.654552, -112.115040 33.654688)",
33,34,2,G1,0600_1000,2000.000,0.000,2000.000,1.000,"LINESTRING (-112.063388 33.655055, -112.029867 33.655286)",
34,33,35,E1,0600_1000,2000.000,0.000,2000.000,1.000,"LINESTRING (-112.115040 33.654688, -112.088630 33.654881)",
35_credit,35,34,F1,0600_1000,2000.000,0.000,2000.000,1.000,"LINESTRING (-112.088630 33.654881, -112.063388 33.655055)",
36,36,31,C1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.168880 33.660658, -112.161528 33.654379)",
37,31,36,C1,0600_1000,0.000,0.000,0.000,-1.000,"LINESTRING (-112.161528 33.654380, -112.168880 33.660658)",
