link_id,from_node_id,to_node_id,link_type_name,link_type_code,time_period,volume,travel_time,speed,speed_ratio,VOC,capacity,queue,density,geometry,notes
46,35,41,,,0600_1000,0.000,0.923,65.000,1.000,0.0,5700.000,0,0,"LINESTRING (-112.088630 33.654882, -112.099647 33.647918)",period-based
47,41,35,,,0600_1000,0.000,0.923,65.000,1.000,0.0,5700.000,0,0,"LINESTRING (-112.099647 33.647918, -112.088630 33.654881)",period-based
48,4,36,,,0600_1000,0.000,2.000,30.000,1.000,0.0,1400.000,0,0,"LINESTRING (-112.182704 33.667637, -112.168880 33.660658)",period-based
49,2,34,,,0600_1000,0.000,0.923,65.000,1.000,0.0,5700.000,0,0,"LINESTRING (-112.029867 33.655287, -112.063388 33.655056)",period-based
50,34,35,,,0600_1000,0.000,0.923,65.000,1.000,0.0,5700.000,0,0,"LINESTRING (-112.063388 33.655056, -112.088630 33.654882)",period-based
51,35,33,,,0600_1000,0.000,0.923,65.000,1.000,0.0,5700.000,0,0,"LINESTRING (-112.088630 33.654882, -112.115041 33.654688)",period-based
52,33,32,,,0600_1000,0.000,0.923,65.000,1.000,0.0,5700.000,0,0,"LINESTRING (-112.115041 33.654688, -112.136488 33.654552)",period-based
53,32,31,,,0600_1000,0.000,0.923,65.000,1.000,0.0,5700.000,0,0,"LINESTRING (-112.136488 33.654552, -112.161528 33.654380)",period-based
54,31,30,,,0600_1000,0.000,0.923,65.000,1.000,0.0,5700.000,0,0,"LINESTRING (-112.161528 33.654380, -112.188588 33.654193)",period-based
55,30,1,,,0600_1000,0.000,0.923,65.000,1.000,0.0,5700.000,0,0,"LINESTRING (-112.188588 33.654193, -112.216413 33.653927)",period-based
56,7,38,,,0600_1000,10300.000,120.504,0.498,0.008,5.4,1900.000,0,0,"LINESTRING (-112.120306 33.668067, -112.117524 33.662468)",period-based
57,38,7,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-112.117523 33.662469, -112.120306 33.668067)",period-based
58,39,23,,,0600_1000,8300.000,51.346,1.169,0.018,4.4,1900.000,0,0,"LINESTRING (-112.115355 33.646833, -112.117340 33.639870)",period-based
59,23,39,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-112.117340 33.639870, -112.115354 33.646833)",period-based
60,7,42,,,0600_1000,7300.000,31.095,1.930,0.030,3.8,1900.000,0,0,"LINESTRING (-112.120306 33.668067, -112.119621 33.671412)",period-based
61,42,7,,,0600_1000,7300.000,31.095,1.930,0.030,3.8,1900.000,0,0,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067)",period-based
62,23,43,,,0600_1000,7300.000,31.095,1.930,0.030,3.8,1900.000,0,0,"LINESTRING (-112.117340 33.639870, -112.116949 33.634858)",period-based
63,43,23,,,0600_1000,7300.000,31.095,1.930,0.030,3.8,1900.000,0,0,"LINESTRING (-112.116948 33.634858, -112.117340 33.639870)",period-based
64,11,44,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-112.046196 33.668577, -112.005727 33.668752)",period-based
65,44,11,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-112.005727 33.668753, -112.046196 33.668578)",period-based
66,44,45,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-112.005727 33.668752, -111.963730 33.667623)",period-based
67,45,44,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-111.963730 33.667624, -112.005727 33.668753)",period-based
68,45,46,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-111.963730 33.667623, -111.932894 33.662770)",period-based
69,46,45,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-111.932894 33.662771, -111.963730 33.667624)",period-based
70,2,47,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-112.029867 33.655286, -112.002470 33.654895)",period-based
71,47,2,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-112.002470 33.654896, -112.029867 33.655287)",period-based
72,47,48,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-112.002470 33.654895, -111.964208 33.653639)",period-based
73,48,47,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-111.964207 33.653640, -112.002470 33.654896)",period-based
74,48,49,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-111.964207 33.653639, -111.929702 33.653978)",period-based
75,49,48,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-111.929702 33.653979, -111.964208 33.653640)",period-based
76,44,47,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-112.005728 33.668752, -112.002470 33.654895)",period-based
77,47,44,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-112.002470 33.654895, -112.005727 33.668752)",period-based
78,47,50,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-112.002470 33.654895, -112.001827 33.639197)",period-based
79,50,47,,,0600_1000,0.000,0.923,65.000,1.000,0.0,1900.000,0,0,"LINESTRING (-112.001826 33.639197, -112.002470 33.654895)",period-based
