agent_id,o_zone_id,d_zone_id,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,sensor_flag,toll,travel_time,VDF_travel_time,distance,path_code,node_sequence,link_sequence,time_sequence,geometry
1,1,2,0,0,sov,AM,7200.00,7200,1,0,0.0,12.8,90.6151,11.0000,,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0800:00.000;0811:31.944;0825:36.463;0843:09.166;0900:41.868;0918:14.571;0919:43.015;0921:11.458;0924:35.460;0927:59.461;0929:27.905;0930:36.906;,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.098093 33.668220, -112.079717 33.668347, -112.062351 33.668466, -112.046196 33.668578, -112.038642 33.662300, -112.029867 33.655286)"
2,1,42,0,0,sov,AM,100.00,100,1,0,0.0,11.8,109.3381,6.0000,,1;3;4;5;6;7;42;,1;2;3;4;5;60;,0800:00.000;0811:31.944;0825:36.463;0843:09.166;0900:41.868;0918:14.571;0949:20.284;,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.119622 33.671412)"
3,1,2,0,0,info,AM,1000.00,1000,1,0,0.0,29.3,266.8986,16.0000,,1;3;4;5;6;7;38;33;39;23;24;25;26;27;28;29;2;,1;2;3;4;5;56;40;42;58;21;22;23;24;25;26;27;,0800:00.000;0811:31.944;0825:36.463;0843:09.166;0900:41.868;0918:14.571;1118:44.838;1121:08.803;1122:41.539;1214:02.292;1215:52.525;1217:42.758;1219:33.0-8;1221:23.225;1223:13.458;1225:03.691;1226:53.924;,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.115354 33.646833, -112.117340 33.639870, -112.102573 33.639986, -112.087630 33.640089, -112.072485 33.640193, -112.059965 33.640279, -112.046435 33.640372, -112.038842 33.646568, -112.029867 33.655286)"
4,1,2,0,0,vms,AM,1000.00,1000,1,0,0.0,30.6,214.0186,10.0000,,1;3;4;5;6;7;38;33;35;34;2;,1;2;3;4;5;56;40;34;35_credit;33;,0800:00.000;0811:31.944;0825:36.463;0843:09.166;0900:41.868;0918:14.571;1118:44.838;1121:08.803;1123:36.240;1130:58.546;1134:01.116;,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.088630 33.654882, -112.063388 33.655056, -112.029867 33.655286)"
5,1,2,0,0,activity,AM,7200.00,7200,1,0,0.0,29.6,391.2794,20.0000,,1;3;4;5;6;7;42;7;38;33;39;23;43;23;24;25;26;27;28;29;2;,1;2;3;4;5;60;61;56;40;42;58;62;63;21;22;23;24;25;26;27;,0800:00.000;0811:31.944;0825:36.463;0843:09.166;0900:41.868;0918:14.571;0949:20.284;1020:26.0-2;1220:56.264;1223:20.229;1224:52.965;1316:13.718;1347:19.431;1418:25.144;1420:15.377;1422:05.610;1423:55.843;1425:46.076;1427:36.309;1429:26.542;1431:16.776;,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.119622 33.671412, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.115354 33.646833, -112.117340 33.639870, -112.116949 33.634858, -112.117340 33.639870, -112.102573 33.639986, -112.087630 33.640089, -112.072485 33.640193, -112.059965 33.640279, -112.046435 33.640372, -112.038842 33.646568, -112.029867 33.655286)"
6,4,1,0,0,vms,AM,1.00,0,1,0,0.0,5.8,5.8462,4.0000,,4;36;31;30;1;,48;36;54;55;,0800:00.000;0802:00.000;0804:00.000;0804:55.383;0805:50.767;,"LINESTRING (-112.182704 33.667637, -112.168880 33.660658, -112.161528 33.654379, -112.188587 33.654193, -112.216413 33.653927)"
7,4,2,0,0,vms,AM,1000.00,1000,1,0,0.0,28.8,188.4109,8.0000,,4;5;6;7;38;33;35;34;2;,3;4;5;56;40;34;35_credit;33;,0800:00.000;0817:32.704;0835:05.408;0852:38.111;1053:08.378;1055:32.343;1057:59.780;1105:22.086;1108:24.656;,"LINESTRING (-112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.088630 33.654882, -112.063388 33.655056, -112.029867 33.655286)"
8,4,42,0,0,vms,AM,1.00,0,1,0,0.0,83.7,83.7304,4.0000,,4;5;6;7;42;,3;4;5;60;,0800:00.000;0817:32.704;0835:05.408;0852:38.111;0923:43.824;,"LINESTRING (-112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.119622 33.671412)"
9,4,43,0,0,vms,AM,1.00,0,1,0,0.0,259.5,259.5257,8.0000,,4;5;6;7;38;33;39;23;43;,3;4;5;56;40;42;58;62;,0800:00.000;0817:32.704;0835:05.408;0852:38.111;1053:08.378;1055:32.343;1057:05.079;1148:25.832;1219:31.545;,"LINESTRING (-112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.115354 33.646833, -112.117340 33.639870, -112.116949 33.634858)"
10,42,1,0,0,sov,AM,0.00,0,1,0,0.0,157.7,157.6914,7.0000,,42;7;38;33;32;31;30;1;,61;56;40;52;53;54;55;,0800:00.000;0831:05.712;1031:36.-19;1033:59.945;1034:55.330;1035:50.716;1036:46.102;1037:41.488;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.136488 33.654552, -112.161528 33.654379, -112.188587 33.654193, -112.216413 33.653927)"
11,42,2,0,0,sov,AM,0.00,0,1,0,0.0,43.5,43.4675,7.0000,,42;7;8;9;10;11;12;2;,61;6;7;10;8;9;28;,0800:00.000;0831:05.712;0832:34.156;0834:02.600;0837:26.601;0840:50.603;0842:19.046;0843:28.048;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.098093 33.668220, -112.079717 33.668347, -112.062351 33.668466, -112.046196 33.668578, -112.038642 33.662300, -112.029867 33.655286)"
12,42,4,0,0,sov,AM,0.00,0,1,0,0.0,183.3,183.2991,9.0000,,42;7;38;33;32;31;30;1;3;4;,61;56;40;52;53;54;55;1;2;,0800:00.000;0831:05.712;1031:36.-19;1033:59.945;1034:55.330;1035:50.716;1036:46.102;1037:41.488;1049:13.432;1103:17.951;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.136488 33.654552, -112.161528 33.654379, -112.188587 33.654193, -112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637)"
13,42,43,0,0,sov,AM,100.00,100,1,0,0.0,21.1,237.9858,6.0000,,42;7;38;33;39;23;43;,61;56;40;42;58;62;,0800:00.000;0831:05.712;1031:36.-19;1033:59.945;1035:32.680;1126:53.433;1157:59.146;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.115354 33.646833, -112.117340 33.639870, -112.116949 33.634858)"
14,42,1,0,0,info,AM,0.00,0,1,0,0.0,157.7,157.6914,7.0000,,42;7;38;33;32;31;30;1;,61;56;40;52;53;54;55;,0800:00.000;0831:05.712;1031:36.-19;1033:59.945;1034:55.330;1035:50.716;1036:46.102;1037:41.488;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.136488 33.654552, -112.161528 33.654379, -112.188587 33.654193, -112.216413 33.653927)"
