agent_id,o_zone_id,d_zone_id,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,sensor_flag,toll,travel_time,VDF_travel_time,distance
1,1,2,0,0,sov,AM,7200.00,7200,1,0,0.0,12.8,90.6151,11.0000,
2,1,42,0,0,sov,AM,100.00,100,1,0,0.0,11.8,109.3381,6.0000,
3,1,2,0,0,info,AM,1000.00,1000,1,0,0.0,29.3,266.8986,16.0000,
4,1,2,0,0,vms,AM,1000.00,1000,1,0,0.0,30.6,214.0186,10.0000,
5,1,2,0,0,activity,AM,7200.00,7200,1,0,0.0,29.6,391.2794,20.0000,
6,42,43,0,0,sov,AM,100.00,100,1,0,0.0,21.1,237.9858,6.0000,
7,43,2,0,0,sov,AM,100.00,100,1,0,0.0,8.8,43.9556,8.0000,
